Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Player,Position
2020-2021,20,Monaco,fr FRA,1. Ligue 1,3rd,36,36,3063,34.0,2,4,6,2,0,0,9,1,4.1,4.1,1.9,6.1,42,197,52,0.06,0.12,0.18,0.06,0.18,0.12,0.06,0.18,0.12,0.18,Aurélien Tchouaméni,"MF,DF"
2021-2022,21,Monaco,fr FRA,1. Ligue 1,3rd,35,33,2929,32.5,3,2,5,3,0,0,11,1,2.0,2.0,2.8,4.8,47,250,39,0.09,0.06,0.15,0.09,0.15,0.06,0.08,0.15,0.06,0.15,Aurélien Tchouaméni,"MF,DF"
2022-2023,22,Real Madrid,es ESP,1. La Liga,2nd,33,24,2119,23.5,0,4,4,0,0,0,2,0,1.8,1.8,2.2,4.0,41,142,23,0.00,0.17,0.17,0.00,0.17,0.08,0.09,0.17,0.08,0.17,Aurélien Tchouaméni,"MF,DF"
2023-2024,23,Real Madrid,es ESP,1. La Liga,1st,27,22,1987,22.1,3,1,4,3,0,0,7,0,1.3,1.3,0.9,2.1,28,111,15,0.14,0.05,0.18,0.14,0.18,0.06,0.04,0.10,0.06,0.10,Aurélien Tchouaméni,"MF,DF"
2024-2025,24,Real Madrid,es ESP,1. La Liga,1st,15,15,1274,14.2,0,0,0,0,0,0,1,0,0.9,0.9,0.5,1.4,13,98,6,0.00,0.00,0.00,0.00,0.00,0.06,0.04,0.10,0.06,0.10,Aurélien Tchouaméni,"MF,DF"
2019-2020,16,Birmingham City,eng ENG,2. Championship,20th,41,32,2694,29.9,4,2,6,4,0,0,7,0,5.1,5.1,3.7,8.8,63,102,113,0.13,0.07,0.20,0.13,0.20,0.17,0.12,0.29,0.17,0.29,Jude Bellingham,MF
2020-2021,17,Dortmund,de GER,1. Bundesliga,3rd,29,19,1697,18.9,1,3,4,1,0,0,6,1,2.5,2.5,3.2,5.8,28,93,80,0.05,0.16,0.21,0.05,0.21,0.13,0.17,0.31,0.13,0.31,Jude Bellingham,MF
2021-2022,18,Dortmund,de GER,1. Bundesliga,2nd,32,32,2790,31.0,3,8,11,3,0,0,9,0,4.8,4.8,6.0,10.8,78,144,138,0.10,0.26,0.35,0.10,0.35,0.15,0.19,0.35,0.15,0.35,Jude Bellingham,MF
2022-2023,19,Dortmund,de GER,1. Bundesliga,2nd,31,30,2691,29.9,8,4,12,7,1,1,8,0,8.2,7.4,4.0,11.4,97,252,139,0.27,0.13,0.40,0.23,0.37,0.27,0.14,0.41,0.25,0.38,Jude Bellingham,MF
2023-2024,20,Real Madrid,es ESP,1. La Liga,1st,28,27,2315,25.7,19,6,25,18,1,1,5,1,11.1,10.3,5.3,15.6,85,196,177,0.74,0.23,0.97,0.70,0.93,0.43,0.21,0.64,0.40,0.61,Jude Bellingham,MF
2024-2025,21,Real Madrid,es ESP,1. La Liga,1st,15,15,1230,13.7,7,5,12,6,1,2,2,0,4.5,2.9,2.2,5.1,37,98,67,0.51,0.37,0.88,0.44,0.80,0.33,0.16,0.49,0.21,0.37,Jude Bellingham,MF
2018-2019,18,Real Madrid,es ESP,1. La Liga,3rd,18,9,869,9.7,2,0,2,2,0,0,0,0,3.6,3.6,1.5,5.1,76,17,141,0.21,0.00,0.21,0.21,0.21,0.37,0.16,0.53,0.37,0.53,Vinicius Júnior,FW
2019-2020,19,Real Madrid,es ESP,1. La Liga,1st,29,12,1364,15.2,3,1,4,3,0,0,4,0,4.3,4.3,3.4,7.7,110,31,224,0.20,0.07,0.26,0.20,0.26,0.28,0.22,0.51,0.28,0.51,Vinicius Júnior,FW
2020-2021,20,Real Madrid,es ESP,1. La Liga,2nd,35,22,1969,21.9,3,3,6,3,0,0,3,0,6.5,6.5,4.8,11.3,127,54,283,0.14,0.14,0.27,0.14,0.27,0.30,0.22,0.52,0.30,0.52,Vinicius Júnior,FW
