Season,Age,Squad,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Player,Position
2018-2019,20,Porto,pt POR,1. Primeira Liga,2nd,28.9,1317,1636,80.5,27090,9900,399,473,84.4,707,811,87.2,193,306,63.1,2,1.9,1.5,+0.1,11,94,10,4,130,Éder Militão,DF
2019-2020,21,Real Madrid,es ESP,1. La Liga,1st,11.4,602,694,86.7,11847,3620,205,218,94.0,320,354,90.4,70,102,68.6,0,0.1,0.1,-0.1,2,19,1,1,26,Éder Militão,DF
2020-2021,22,Real Madrid,es ESP,1. La Liga,2nd,12.6,714,791,90.3,14621,4670,230,240,95.8,368,391,94.1,106,140,75.7,0,0.0,0.2,0.0,0,34,1,1,24,Éder Militão,DF
2021-2022,23,Real Madrid,es ESP,1. La Liga,1st,33.7,1801,2037,88.4,34764,12063,650,688,94.5,893,953,93.7,220,314,70.1,2,1.1,1.5,+0.9,12,137,5,1,102,Éder Militão,DF
2022-2023,24,Real Madrid,es ESP,1. La Liga,2nd,30.0,1660,1881,88.3,31882,10563,648,691,93.8,794,862,92.1,188,273,68.9,0,0.6,0.8,-0.6,6,138,5,1,98,Éder Militão,DF
2023-2024,25,Real Madrid,es ESP,1. La Liga,1st,5.5,297,329,90.3,5567,1956,110,114,96.5,156,165,94.5,28,40,70.0,0,0.0,0.0,0.0,0,13,0,0,15,Éder Militão,DF
2024-2025,26,Real Madrid,es ESP,1. La Liga,1st,10.4,636,712,89.3,13095,4633,189,201,94.0,372,394,94.4,72,110,65.5,1,0.5,0.2,+0.5,6,56,3,0,46,Éder Militão,DF
2014-2015,19,Le Havre,fr FRA,2. Ligue 2,7th,1.0,,,,,,,,,,,,,,,0,,,,,,,,,Ferland Mendy,DF
2015-2016,20,Le Havre,fr FRA,2. Ligue 2,4th,7.9,,,,,,,,,,,,,,,1,,,,,,,,,Ferland Mendy,DF
2016-2017,21,Le Havre,fr FRA,2. Ligue 2,8th,34.5,,,,,,,,,,,,,,,5,,,,,,,,,Ferland Mendy,DF
2017-2018,22,Lyon,fr FRA,1. Ligue 1,3rd,23.6,1341,1575,85.1,19206,5697,803,862,93.2,428,511,83.8,65,103,63.1,5,2.4,2.3,+2.6,27,85,25,10,131,Ferland Mendy,DF
2018-2019,23,Lyon,fr FRA,1. Ligue 1,3rd,28.1,1636,1974,82.9,25824,6954,935,1034,90.4,510,608,83.9,142,203,70.0,1,3.2,3.6,-2.2,40,115,24,9,163,Ferland Mendy,DF
2019-2020,24,Real Madrid,es ESP,1. La Liga,1st,20.1,1060,1252,84.7,15809,4180,635,681,93.2,311,382,81.4,76,113,67.3,3,2.4,1.6,+0.6,20,46,21,9,64,Ferland Mendy,DF
2020-2021,25,Real Madrid,es ESP,1. La Liga,2nd,24.5,1302,1466,88.8,18267,4613,781,820,95.2,386,443,87.1,68,92,73.9,0,0.9,2.1,-0.9,18,49,24,4,97,Ferland Mendy,DF
2021-2022,26,Real Madrid,es ESP,1. La Liga,1st,19.3,1226,1351,90.7,16815,4718,757,797,95.0,367,399,92.0,47,63,74.6,1,1.4,2.3,-0.4,19,85,14,1,99,Ferland Mendy,DF
2022-2023,27,Real Madrid,es ESP,1. La Liga,2nd,15.0,794,862,92.1,10969,2745,507,532,95.3,223,246,90.7,34,38,89.5,1,0.6,0.6,+0.4,13,54,9,0,56,Ferland Mendy,DF
2023-2024,28,Real Madrid,es ESP,1. La Liga,1st,19.1,1201,1275,94.2,16396,4875,759,781,97.2,356,383,93.0,41,50,82.0,0,0.9,0.7,-0.9,11,63,10,1,84,Ferland Mendy,DF
2024-2025,29,Real Madrid,es ESP,1. La Liga,1st,9.2,522,560,93.2,7661,2116,320,332,96.4,166,177,93.8,29,35,82.9,0,0.0,0.2,0.0,1,33,1,0,31,Ferland Mendy,DF
2020-2021,20,Rayo Vallecano,es ESP,2. La Liga 2,6th,36.5,1304,1875,69.5,21054,7643,662,784,84.4,515,698,73.8,90,258,34.9,2,2.9,2.9,-0.9,26,102,30,19,133,Fran Garcia,DF
2021-2022,21,Rayo Vallecano,es ESP,1. La Liga,12th,33.6,1310,1690,77.5,21253,7515,667,734,90.9,515,647,79.6,95,213,44.6,0,1.7,2.0,-1.7,29,96,35,22,133,Fran Garcia,DF
2022-2023,22,Rayo Vallecano,es ESP,1. La Liga,11th,37.9,1626,2071,78.5,26531,8312,800,879,91.0,684,830,82.4,107,244,43.9,3,1.6,2.0,+1.4,29,139,31,26,147,Fran Garcia,DF
2023-2024,23,Real Madrid,es ESP,1. La Liga,1st,15.5,841,997,84.4,12143,3312,518,554,93.5,280,327,85.6,28,68,41.2,5,2.4,1.8,+2.6,16,38,14,6,60,Fran Garcia,DF
2024-2025,24,Real Madrid,es ESP,1. La Liga,1st,8.5,489,564,86.7,7125,1729,305,325,93.8,142,170,83.5,26,41,63.4,0,0.2,0.5,-0.2,5,27,7,4,43,Fran Garcia,DF
2007-2008,21,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,21.9,,,,,,,,,,,,,,,11,,,,,,,,,Luka Modrić,MF
2008-2009,22,Tottenham,eng ENG,1. Premier League,8th,30.8,,,,,,,,,,,,,,,6,,,,,,,,,Luka Modrić,MF
2009-2010,23,Tottenham,eng ENG,1. Premier League,4th,21.2,,,,,,,,,,,,,,,3,,,,,,,,,Luka Modrić,MF
2010-2011,24,Tottenham,eng ENG,1. Premier League,5th,31.0,,,,,,,,,,,,,,,2,,,,,,,,,Luka Modrić,MF
2011-2012,25,Tottenham,eng ENG,1. Premier League,4th,35.7,,,,,,,,,,,,,,,4,,,,,,,,,Luka Modrić,MF
2012-2013,26,Real Madrid,es ESP,1. La Liga,2nd,24.2,,,,,,,,,,,,,,,3,,,,,,,,,Luka Modrić,MF
2013-2014,27,Real Madrid,es ESP,1. La Liga,3rd,29.3,,,,,,,,,,,,,,,6,,,,,,,,,Luka Modrić,MF
2014-2015,28,Real Madrid,es ESP,1. La Liga,2nd,14.3,,,,,,,,,,,,,,,3,,,,,,,,,Luka Modrić,MF
2015-2016,29,Real Madrid,es ESP,1. La Liga,2nd,29.1,,,,,,,,,,,,,,,4,,,,,,,,,Luka Modrić,MF
2016-2017,30,Real Madrid,es ESP,1. La Liga,1st,21.0,,,,,,,,,,,,,,,2,,,,,,,,,Luka Modrić,MF
