Season,Age,Squad,Country,Comp,LgRank,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Player,Position
2015-2016,23,Real Madrid,es ESP,1. La Liga,2nd,18.1,,,,,,,,,,,,,,,,,Dani Carvajal,DF
2016-2017,24,Real Madrid,es ESP,1. La Liga,1st,22.4,,,,,,,,,,,,,,,,,Dani Carvajal,DF
2017-2018,25,Real Madrid,es ESP,1. La Liga,3rd,24.7,70,2.84,63,2,3,1,0,1,5,0.20,4,0,1,0,0,0,Dani Carvajal,DF
2018-2019,26,Real Madrid,es ESP,1. La Liga,3rd,23.4,60,2.56,53,1,3,2,1,0,5,0.21,3,0,0,1,1,0,Dani Carvajal,DF
2019-2020,27,Real Madrid,es ESP,1. La Liga,1st,30.4,85,2.79,72,6,3,2,2,0,8,0.26,5,2,0,0,1,0,Dani Carvajal,DF
2020-2021,28,Real Madrid,es ESP,1. La Liga,2nd,10.6,19,1.80,15,0,2,1,0,1,5,0.47,5,0,0,0,0,0,Dani Carvajal,DF
2021-2022,29,Real Madrid,es ESP,1. La Liga,1st,17.2,38,2.21,36,0,1,0,0,1,6,0.35,5,0,1,0,0,0,Dani Carvajal,DF
2022-2023,30,Real Madrid,es ESP,1. La Liga,2nd,19.8,40,2.02,37,0,0,1,1,1,1,0.05,1,0,0,0,0,0,Dani Carvajal,DF
2023-2024,31,Real Madrid,es ESP,1. La Liga,1st,24.1,44,1.82,41,0,1,0,2,0,7,0.29,6,0,0,0,1,0,Dani Carvajal,DF
2024-2025,32,Real Madrid,es ESP,1. La Liga,1st,6.8,12,1.77,10,2,0,0,0,0,2,0.30,1,1,0,0,0,0,Dani Carvajal,DF
2016-2017,16,Manchester City,eng ENG,Jr. PL2 — Div. 1,2nd,16.6,,,,,,,,,,,,,,,,,Brahim Díaz,"FW,MF"
2017-2018,17,Manchester City,eng ENG,Jr. PL2 — Div. 1,6th,12.0,,,,,,,,,,,,,,,,,Brahim Díaz,"FW,MF"
2017-2018,17,Manchester City,eng ENG,1. Premier League,1st,0.6,2,3.27,0,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Brahim Díaz,"FW,MF"
2018-2019,18,Real Madrid,es ESP,1. La Liga,3rd,4.2,21,5.03,11,0,7,0,3,0,3,0.72,1,0,2,0,0,0,Brahim Díaz,"FW,MF"
2019-2020,19,Real Madrid,es ESP,1. La Liga,1st,0.7,1,1.38,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Brahim Díaz,"FW,MF"
2020-2021,20,Milan,it ITA,1. Serie A,2nd,13.6,48,3.51,29,5,3,3,8,0,10,0.73,7,1,1,0,1,0,Brahim Díaz,"FW,MF"
2021-2022,21,Milan,it ITA,1. Serie A,1st,20.6,78,3.78,61,2,4,3,5,3,10,0.48,7,1,0,2,0,0,Brahim Díaz,"FW,MF"
2022-2023,22,Milan,it ITA,1. Serie A,4th,21.4,96,4.49,69,1,12,6,7,1,18,0.84,8,0,6,2,1,1,Brahim Díaz,"FW,MF"
2023-2024,23,Real Madrid,es ESP,1. La Liga,1st,17.2,75,4.37,49,2,13,6,4,1,18,1.05,12,1,5,0,0,0,Brahim Díaz,"FW,MF"
2024-2025,24,Real Madrid,es ESP,1. La Liga,1st,6.8,28,4.14,23,0,3,1,0,1,9,1.33,6,0,1,1,0,1,Brahim Díaz,"FW,MF"
2021-2022,16,Fenerbahçe,tr TUR,1. Süper Lig,2nd,3.2,,,,,,,,,,,,,,,,,Arda Güler,"MF,FW"
2022-2023,17,Fenerbahçe,tr TUR,1. Süper Lig,2nd,10.1,,,,,,,,,,,,,,,,,Arda Güler,"MF,FW"
2023-2024,18,Real Madrid,es ESP,1. La Liga,1st,4.2,18,4.30,11,1,2,2,2,0,2,0.48,1,0,1,0,0,0,Arda Güler,"MF,FW"
