Season,Age,Squad,Country,Comp,LgRank,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Player,Position
2019-2020,33,Real Madrid,es ESP,1. La Liga,1st,22.2,1674,19,246,896,552,33,1674,62,43,69.4,19,30.6,1139,6659,2869,64,51,7,32,27,1304,83,Luka Modrić,MF
2020-2021,34,Real Madrid,es ESP,1. La Liga,2nd,30.4,2554,33,430,1369,782,51,2554,74,55,74.3,19,25.7,1757,9193,4100,67,75,13,42,33,2026,108,Luka Modrić,MF
2021-2022,35,Real Madrid,es ESP,1. La Liga,1st,22.6,1875,18,336,922,631,50,1874,48,32,66.7,16,33.3,1330,6778,3299,67,39,14,30,22,1495,87,Luka Modrić,MF
2022-2023,36,Real Madrid,es ESP,1. La Liga,2nd,19.4,1681,19,213,885,592,47,1680,47,19,40.4,21,44.7,1132,5681,2532,50,49,14,31,19,1361,87,Luka Modrić,MF
2023-2024,37,Real Madrid,es ESP,1. La Liga,1st,18.8,1812,22,256,977,593,49,1812,45,21,46.7,17,37.8,1202,6071,2795,53,57,13,12,19,1427,85,Luka Modrić,MF
2024-2025,38,Real Madrid,es ESP,1. La Liga,1st,9.3,923,18,155,519,261,9,923,6,4,66.7,2,33.3,582,3078,1562,25,23,4,15,8,719,29,Luka Modrić,MF
2012-2013,20,Leverkusen,de GER,1. Bundesliga,3rd,30.8,,,,,,,,,,,,,,,,,,,,,,,Dani Carvajal,DF
2013-2014,21,Real Madrid,es ESP,1. La Liga,3rd,24.9,,,,,,,,,,,,,,,,,,,,,,,Dani Carvajal,DF
2014-2015,22,Real Madrid,es ESP,1. La Liga,2nd,25.2,,,,,,,,,,,,,,,,,,,,,,,Dani Carvajal,DF
2015-2016,23,Real Madrid,es ESP,1. La Liga,2nd,18.1,,,,,,,,,,,,,,,,,,,,,,,Dani Carvajal,DF
2016-2017,24,Real Madrid,es ESP,1. La Liga,1st,22.4,,,,,,,,,,,,,,,,,,,,,,,Dani Carvajal,DF
2017-2018,25,Real Madrid,es ESP,1. La Liga,3rd,24.7,2127,89,506,1000,651,58,2127,46,32,69.6,14,30.4,1219,5469,3021,69,45,10,30,19,1424,216,Dani Carvajal,DF
2018-2019,26,Real Madrid,es ESP,1. La Liga,3rd,23.4,2069,82,540,949,603,58,2069,56,34,60.7,22,39.3,1114,5653,3310,72,58,18,26,18,1400,152,Dani Carvajal,DF
2019-2020,27,Real Madrid,es ESP,1. La Liga,1st,30.4,2727,101,756,1116,879,65,2727,53,25,47.2,28,52.8,1533,7470,4224,91,81,19,41,24,1831,195,Dani Carvajal,DF
2020-2021,28,Real Madrid,es ESP,1. La Liga,2nd,10.6,942,44,279,411,259,18,942,14,8,57.1,6,42.9,497,2116,1098,21,15,5,19,3,605,62,Dani Carvajal,DF
2021-2022,29,Real Madrid,es ESP,1. La Liga,1st,17.2,1366,73,399,527,451,37,1366,18,10,55.6,8,44.4,749,3038,1414,29,33,6,24,9,907,108,Dani Carvajal,DF
2022-2023,30,Real Madrid,es ESP,1. La Liga,2nd,19.8,1512,85,412,580,526,39,1512,17,9,52.9,5,29.4,864,3105,1547,22,30,3,23,7,1049,147,Dani Carvajal,DF
