Season,Age,Squad,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Player,Position
2013-2014,27,Real Madrid,es ESP,1. La Liga,3rd,29.3,,,,,,,,,,,,,,,,Luka Modrić,MF
2014-2015,28,Real Madrid,es ESP,1. La Liga,2nd,14.3,,,,,,,,,,,,,,,,Luka Modrić,MF
2015-2016,29,Real Madrid,es ESP,1. La Liga,2nd,29.1,,,,,,,54,,,,,,,,,Luka Modrić,MF
2016-2017,30,Real Madrid,es ESP,1. La Liga,1st,21.0,,,,,,,29,,,,,,,,,Luka Modrić,MF
2017-2018,31,Real Madrid,es ESP,1. La Liga,3rd,21.9,1572,1530,36,29,11,33,18,1,6,0,4,0,1394,6,21,Luka Modrić,MF
2018-2019,32,Real Madrid,es ESP,1. La Liga,3rd,29.0,1986,1871,105,57,6,46,73,12,36,10,21,1,1714,10,34,Luka Modrić,MF
2019-2020,33,Real Madrid,es ESP,1. La Liga,1st,22.2,1452,1376,67,43,7,36,52,2,22,6,11,0,1247,9,20,Luka Modrić,MF
2020-2021,34,Real Madrid,es ESP,1. La Liga,2nd,30.4,2312,2162,143,83,8,58,79,16,44,13,18,0,1979,7,35,Luka Modrić,MF
2021-2022,35,Real Madrid,es ESP,1. La Liga,1st,22.6,1706,1587,112,64,11,35,48,12,30,10,7,0,1500,7,28,Luka Modrić,MF
2022-2023,36,Real Madrid,es ESP,1. La Liga,2nd,19.4,1521,1415,104,41,7,22,62,10,44,22,12,0,1336,2,23,Luka Modrić,MF
2023-2024,37,Real Madrid,es ESP,1. La Liga,1st,18.8,1669,1506,156,67,6,27,90,9,69,15,38,0,1452,7,23,Luka Modrić,MF
2024-2025,38,Real Madrid,es ESP,1. La Liga,1st,9.3,852,770,80,41,7,10,48,1,38,17,12,1,744,2,9,Luka Modrić,MF
2012-2013,20,Leverkusen,de GER,1. Bundesliga,3rd,30.8,,,,,,,,,,,,,,,,Dani Carvajal,DF
2013-2014,21,Real Madrid,es ESP,1. La Liga,3rd,24.9,,,,,,,,,,,,,,,,Dani Carvajal,DF
2014-2015,22,Real Madrid,es ESP,1. La Liga,2nd,25.2,,,,,,,,,,,,,,,,Dani Carvajal,DF
2015-2016,23,Real Madrid,es ESP,1. La Liga,2nd,18.1,,,,,,,69,,,,,,,,,Dani Carvajal,DF
2016-2017,24,Real Madrid,es ESP,1. La Liga,1st,22.4,,,,,,,75,,,,,,,,,Dani Carvajal,DF
2017-2018,25,Real Madrid,es ESP,1. La Liga,3rd,24.7,1898,1628,261,31,4,20,91,230,0,0,0,0,1595,9,40,Dani Carvajal,DF
2018-2019,26,Real Madrid,es ESP,1. La Liga,3rd,23.4,1840,1572,265,34,1,32,57,230,1,0,0,0,1575,3,40,Dani Carvajal,DF
2019-2020,27,Real Madrid,es ESP,1. La Liga,1st,30.4,2408,2080,320,24,5,20,109,296,0,0,0,0,2024,8,47,Dani Carvajal,DF
2020-2021,28,Real Madrid,es ESP,1. La Liga,2nd,10.6,810,686,120,13,0,8,31,107,0,0,0,0,673,4,18,Dani Carvajal,DF
2021-2022,29,Real Madrid,es ESP,1. La Liga,1st,17.2,1193,1031,159,16,3,10,40,143,0,0,0,0,1020,3,16,Dani Carvajal,DF
2022-2023,30,Real Madrid,es ESP,1. La Liga,2nd,19.8,1333,1185,146,15,2,10,49,131,0,0,0,0,1133,2,27,Dani Carvajal,DF
2023-2024,31,Real Madrid,es ESP,1. La Liga,1st,24.1,1475,1284,190,37,3,3,49,153,0,0,0,0,1265,1,34,Dani Carvajal,DF
2024-2025,32,Real Madrid,es ESP,1. La Liga,1st,6.8,463,409,53,7,0,0,14,46,0,0,0,0,399,1,9,Dani Carvajal,DF
2016-2017,16,Manchester City,eng ENG,Jr. PL2 — Div. 1,2nd,16.6,,,,,,,,,,,,,,,,Brahim Díaz,"FW,MF"
2017-2018,17,Manchester City,eng ENG,Jr. PL2 — Div. 1,6th,12.0,,,,,,,,,,,,,,,,Brahim Díaz,"FW,MF"
2017-2018,17,Manchester City,eng ENG,1. Premier League,1st,0.6,29,29,0,0,0,0,1,0,0,0,0,0,25,0,0,Brahim Díaz,"FW,MF"
2018-2019,18,Real Madrid,es ESP,1. La Liga,3rd,4.2,170,166,3,1,2,0,4,2,0,0,0,0,142,1,3,Brahim Díaz,"FW,MF"
2019-2020,19,Real Madrid,es ESP,1. La Liga,1st,0.7,41,39,1,1,0,0,0,0,0,0,0,0,33,1,3,Brahim Díaz,"FW,MF"
2020-2021,20,Milan,it ITA,1. Serie A,2nd,13.6,488,456,29,6,1,0,16,3,15,6,3,0,415,3,8,Brahim Díaz,"FW,MF"
2021-2022,21,Milan,it ITA,1. Serie A,1st,20.6,721,674,37,5,5,2,11,1,3,0,0,0,605,10,11,Brahim Díaz,"FW,MF"
2022-2023,22,Milan,it ITA,1. Serie A,4th,21.4,719,677,37,8,11,2,20,9,6,0,4,0,575,5,24,Brahim Díaz,"FW,MF"
2023-2024,23,Real Madrid,es ESP,1. La Liga,1st,17.2,740,705,29,8,7,2,31,6,7,3,2,0,624,6,12,Brahim Díaz,"FW,MF"
2024-2025,24,Real Madrid,es ESP,1. La Liga,1st,6.8,305,293,10,6,3,0,5,3,0,0,0,0,259,2,7,Brahim Díaz,"FW,MF"
2021-2022,16,Fenerbahçe,tr TUR,1. Süper Lig,2nd,3.2,,,,,,,14,,,,,,,,,Arda Güler,"MF,FW"
2022-2023,17,Fenerbahçe,tr TUR,1. Süper Lig,2nd,10.1,,,,,,,77,,,,,,,,,Arda Güler,"MF,FW"
2023-2024,18,Real Madrid,es ESP,1. La Liga,1st,4.2,218,205,13,4,0,3,13,2,6,5,0,0,183,0,4,Arda Güler,"MF,FW"
2024-2025,19,Real Madrid,es ESP,1. La Liga,1st,6.4,349,324,24,9,2,5,15,6,9,6,2,0,300,1,9,Arda Güler,"MF,FW"
2018-2019,15,Rennes,fr FRA,1. Ligue 1,10th,4.0,144,141,2,2,2,0,0,0,0,0,0,0,121,1,3,Eduardo Camavinga,"MF,DF"
2019-2020,16,Rennes,fr FRA,1. Ligue 1,3rd,23.4,980,949,28,27,0,10,1,1,0,0,0,0,856,3,7,Eduardo Camavinga,"MF,DF"
2020-2021,17,Rennes,fr FRA,1. Ligue 1,6th,26.7,1604,1571,32,26,3,8,4,6,0,0,0,0,1425,1,18,Eduardo Camavinga,"MF,DF"
2021-2022,18,Rennes,fr FRA,1. Ligue 1,4th,1.6,74,69,5,3,0,1,0,2,0,0,0,0,67,0,0,Eduardo Camavinga,"MF,DF"
2021-2022,18,Real Madrid,es ESP,1. La Liga,1st,13.7,847,829,17,15,6,6,3,1,0,0,0,0,760,1,10,Eduardo Camavinga,"MF,DF"
2022-2023,19,Real Madrid,es ESP,1. La Liga,2nd,22.3,1504,1389,107,34,4,6,6,73,0,0,0,0,1364,8,15,Eduardo Camavinga,"MF,DF"
2023-2024,20,Real Madrid,es ESP,1. La Liga,1st,20.2,1328,1278,44,24,4,9,4,20,0,0,0,0,1205,6,12,Eduardo Camavinga,"MF,DF"
2024-2025,21,Real Madrid,es ESP,1. La Liga,1st,5.8,395,369,22,7,1,2,0,15,0,0,0,0,350,4,3,Eduardo Camavinga,"MF,DF"
2013-2014,16,Betis,es ESP,1. La Liga,20th,0.1,,,,,,,,,,,,,,,,Dani Ceballos,MF
2014-2015,17,Betis,es ESP,2. La Liga 2,1st,25.3,,,,,,,,,,,,,,,,Dani Ceballos,MF
2015-2016,18,Betis,es ESP,1. La Liga,10th,23.7,,,,,,,19,,,,,,,,,Dani Ceballos,MF
2016-2017,19,Betis,es ESP,1. La Liga,15th,26.0,,,,,,,37,,,,,,,,,Dani Ceballos,MF
2017-2018,20,Real Madrid,es ESP,1. La Liga,3rd,4.5,380,362,17,8,1,3,2,4,3,0,1,0,353,1,4,Dani Ceballos,MF
2018-2019,21,Real Madrid,es ESP,1. La Liga,3rd,13.9,1037,995,39,26,2,12,8,11,2,0,0,0,953,3,21,Dani Ceballos,MF
2019-2020,22,Arsenal,eng ENG,1. Premier League,8th,18.8,1329,1220,106,38,6,20,70,5,63,23,12,2,1114,3,20,Dani Ceballos,MF
2020-2021,23,Arsenal,eng ENG,1. Premier League,8th,17.9,1310,1258,51,26,7,11,29,8,17,8,6,0,1126,1,24,Dani Ceballos,MF
2021-2022,24,Real Madrid,es ESP,1. La Liga,1st,3.1,262,257,5,4,2,4,1,1,0,0,0,0,240,0,2,Dani Ceballos,MF
2022-2023,25,Real Madrid,es ESP,1. La Liga,2nd,17.4,1504,1437,57,26,6,26,16,20,9,2,2,0,1362,10,25,Dani Ceballos,MF
2023-2024,26,Real Madrid,es ESP,1. La Liga,1st,6.6,542,519,22,11,5,5,8,5,6,1,2,0,486,1,10,Dani Ceballos,MF
2024-2025,27,Real Madrid,es ESP,1. La Liga,1st,5.6,521,494,25,18,1,5,6,5,2,2,0,0,485,2,4,Dani Ceballos,MF
