Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Player,Position
2020-2021,20,Milan,it ITA,1. Serie A,2nd,13.6,18,10,7,7,4,10,23,43.5,13,10,0,10,2,20,2,0,Brahim Díaz,"FW,MF"
2021-2022,21,Milan,it ITA,1. Serie A,1st,20.6,23,17,3,11,9,8,22,36.4,14,11,0,11,8,31,4,0,Brahim Díaz,"FW,MF"
2022-2023,22,Milan,it ITA,1. Serie A,4th,21.4,32,15,5,22,5,5,15,33.3,10,11,0,11,7,39,6,0,Brahim Díaz,"FW,MF"
2023-2024,23,Real Madrid,es ESP,1. La Liga,1st,17.2,29,19,4,16,9,6,13,46.2,7,16,1,15,5,34,2,0,Brahim Díaz,"FW,MF"
2024-2025,24,Real Madrid,es ESP,1. La Liga,1st,6.8,15,11,6,7,2,2,7,28.6,5,10,0,10,2,17,1,0,Brahim Díaz,"FW,MF"
2021-2022,16,Fenerbahçe,tr TUR,1. Süper Lig,2nd,3.2,,6,,,,,,,,,,,4,,,,Arda Güler,"MF,FW"
2022-2023,17,Fenerbahçe,tr TUR,1. Süper Lig,2nd,10.1,,20,,,,,,,,,,,2,,,,Arda Güler,"MF,FW"
2023-2024,18,Real Madrid,es ESP,1. La Liga,1st,4.2,6,4,1,3,2,5,8,62.5,3,0,0,0,2,8,5,0,Arda Güler,"MF,FW"
2024-2025,19,Real Madrid,es ESP,1. La Liga,1st,6.4,15,6,6,2,7,6,13,46.2,7,9,0,9,3,18,6,0,Arda Güler,"MF,FW"
2018-2019,15,Rennes,fr FRA,1. Ligue 1,10th,4.0,23,15,8,12,3,8,18,44.4,10,13,2,11,4,27,4,0,Eduardo Camavinga,"MF,DF"
2019-2020,16,Rennes,fr FRA,1. Ligue 1,3rd,23.4,105,64,45,56,4,48,96,50.0,48,26,8,18,34,139,35,0,Eduardo Camavinga,"MF,DF"
2020-2021,17,Rennes,fr FRA,1. Ligue 1,6th,26.7,98,58,39,48,11,38,77,49.4,39,36,2,34,23,121,15,1,Eduardo Camavinga,"MF,DF"
2021-2022,18,Rennes,fr FRA,1. Ligue 1,4th,1.6,4,1,2,1,1,2,5,40.0,3,1,1,0,1,5,3,0,Eduardo Camavinga,"MF,DF"
2021-2022,18,Real Madrid,es ESP,1. La Liga,1st,13.7,52,35,22,20,10,20,38,52.6,18,20,2,18,17,69,14,1,Eduardo Camavinga,"MF,DF"
2022-2023,19,Real Madrid,es ESP,1. La Liga,2nd,22.3,68,48,32,21,15,24,64,37.5,40,24,5,19,17,85,25,0,Eduardo Camavinga,"MF,DF"
2023-2024,20,Real Madrid,es ESP,1. La Liga,1st,20.2,76,47,39,29,8,23,39,59.0,16,36,8,28,29,105,29,1,Eduardo Camavinga,"MF,DF"
2024-2025,21,Real Madrid,es ESP,1. La Liga,1st,5.8,19,13,8,8,3,9,15,60.0,6,11,4,7,8,27,8,0,Eduardo Camavinga,"MF,DF"
2013-2014,16,Betis,es ESP,1. La Liga,20th,0.1,,,,,,,,,,,,,,,,,Dani Ceballos,MF
2014-2015,17,Betis,es ESP,2. La Liga 2,1st,25.3,,,,,,,,,,,,,,,,,Dani Ceballos,MF
2015-2016,18,Betis,es ESP,1. La Liga,10th,23.7,,55,,,,,,,,,,,38,,,,Dani Ceballos,MF
2016-2017,19,Betis,es ESP,1. La Liga,15th,26.0,,66,,,,,,,,,,,53,,,,Dani Ceballos,MF
2017-2018,20,Real Madrid,es ESP,1. La Liga,3rd,4.5,8,7,3,2,3,4,16,25.0,12,6,0,6,5,13,1,0,Dani Ceballos,MF
2018-2019,21,Real Madrid,es ESP,1. La Liga,3rd,13.9,32,21,9,16,7,11,31,35.5,20,26,1,25,15,47,6,0,Dani Ceballos,MF
