Season,Age,Squad,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Player,Position
2015-2016,20,Le Havre,fr FRA,2. Ligue 2,4th,7.9,2,0,,18,,,,,,,,,,,,,Ferland Mendy,DF
2016-2017,21,Le Havre,fr FRA,2. Ligue 2,8th,34.5,8,0,0,42,0,0,0,0,0,0,0,0,,,,,Ferland Mendy,DF
2017-2018,22,Lyon,fr FRA,1. Ligue 1,3rd,23.6,4,0,0,30,46,0,58,25,28,1,3,0,149,37,25,59.7,Ferland Mendy,DF
2018-2019,23,Lyon,fr FRA,1. Ligue 1,3rd,28.1,2,0,0,28,44,0,80,34,28,0,1,0,195,46,36,56.1,Ferland Mendy,DF
2019-2020,24,Real Madrid,es ESP,1. La Liga,1st,20.1,8,1,1,25,29,1,66,22,26,1,0,0,97,26,19,57.8,Ferland Mendy,DF
2020-2021,25,Real Madrid,es ESP,1. La Liga,2nd,24.5,3,0,0,22,39,5,35,26,16,0,0,0,119,10,14,41.7,Ferland Mendy,DF
2021-2022,26,Real Madrid,es ESP,1. La Liga,1st,19.3,4,0,0,15,24,3,28,18,14,1,1,0,98,11,13,45.8,Ferland Mendy,DF
2022-2023,27,Real Madrid,es ESP,1. La Liga,2nd,15.0,2,0,0,4,18,0,7,14,12,0,0,0,77,7,8,46.7,Ferland Mendy,DF
2023-2024,28,Real Madrid,es ESP,1. La Liga,1st,19.1,5,0,0,17,15,0,5,13,10,0,0,0,97,6,5,54.5,Ferland Mendy,DF
2024-2025,29,Real Madrid,es ESP,1. La Liga,1st,9.2,1,1,0,5,5,0,1,9,13,0,0,0,30,3,2,60.0,Ferland Mendy,DF
2020-2021,20,Rayo Vallecano,es ESP,2. La Liga 2,6th,36.5,3,0,0,32,32,4,161,43,31,1,2,1,203,35,44,44.3,Fran Garcia,DF
2021-2022,21,Rayo Vallecano,es ESP,1. La Liga,12th,33.6,4,0,0,24,15,2,128,45,35,0,0,0,210,25,37,40.3,Fran Garcia,DF
2022-2023,22,Rayo Vallecano,es ESP,1. La Liga,11th,37.9,1,0,0,22,26,3,156,44,54,0,2,0,229,7,20,25.9,Fran Garcia,DF
2023-2024,23,Real Madrid,es ESP,1. La Liga,1st,15.5,2,0,0,10,15,10,60,19,17,0,0,0,104,7,15,31.8,Fran Garcia,DF
2024-2025,24,Real Madrid,es ESP,1. La Liga,1st,8.5,0,0,0,2,11,1,22,7,8,0,0,0,41,6,5,54.5,Fran Garcia,DF
2007-2008,21,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,21.9,1,0,,,,,,,,,,,,,,,Luka Modrić,MF
2008-2009,22,Tottenham,eng ENG,1. Premier League,8th,30.8,5,0,,29,,,,,,,,,,,,,Luka Modrić,MF
2009-2010,23,Tottenham,eng ENG,1. Premier League,4th,21.2,2,0,,19,,,,,,,,,,,,,Luka Modrić,MF
2010-2011,24,Tottenham,eng ENG,1. Premier League,5th,31.0,3,0,,18,,,,,,,,,,,,,Luka Modrić,MF
2011-2012,25,Tottenham,eng ENG,1. Premier League,4th,35.7,2,0,,18,,,,,,,,,,,,,Luka Modrić,MF
2012-2013,26,Real Madrid,es ESP,1. La Liga,2nd,24.2,8,0,,20,,,,,,,,,,,,,Luka Modrić,MF
2013-2014,27,Real Madrid,es ESP,1. La Liga,3rd,29.3,6,0,,36,,,,,,,,,,,,,Luka Modrić,MF
2014-2015,28,Real Madrid,es ESP,1. La Liga,2nd,14.3,4,0,,16,,,,,,,,,,,,,Luka Modrić,MF
2015-2016,29,Real Madrid,es ESP,1. La Liga,2nd,29.1,5,0,0,26,44,2,54,62,39,1,0,0,,,,,Luka Modrić,MF
2016-2017,30,Real Madrid,es ESP,1. La Liga,1st,21.0,2,0,0,26,31,1,29,42,25,1,0,0,,,,,Luka Modrić,MF
2017-2018,31,Real Madrid,es ESP,1. La Liga,3rd,21.9,3,0,0,20,31,0,18,31,22,1,0,0,149,7,12,36.8,Luka Modrić,MF
2018-2019,32,Real Madrid,es ESP,1. La Liga,3rd,29.0,6,0,0,28,46,4,73,31,30,0,0,0,158,12,14,46.2,Luka Modrić,MF
2019-2020,33,Real Madrid,es ESP,1. La Liga,1st,22.2,7,1,0,32,28,1,52,22,18,1,0,0,132,11,23,32.4,Luka Modrić,MF
2020-2021,34,Real Madrid,es ESP,1. La Liga,2nd,30.4,4,0,0,30,33,1,79,48,23,0,0,0,185,19,21,47.5,Luka Modrić,MF
2021-2022,35,Real Madrid,es ESP,1. La Liga,1st,22.6,4,0,0,24,32,1,48,20,10,0,0,0,123,6,14,30.0,Luka Modrić,MF
2022-2023,36,Real Madrid,es ESP,1. La Liga,2nd,19.4,7,0,0,21,16,3,62,10,9,0,0,0,86,11,14,44.0,Luka Modrić,MF
2023-2024,37,Real Madrid,es ESP,1. La Liga,1st,18.8,2,0,0,19,21,2,90,21,15,0,0,0,92,8,8,50.0,Luka Modrić,MF
2024-2025,38,Real Madrid,es ESP,1. La Liga,1st,9.3,5,0,0,13,8,0,48,11,4,0,0,0,55,2,6,25.0,Luka Modrić,MF
2012-2013,20,Leverkusen,de GER,1. Bundesliga,3rd,30.8,7,0,,45,,,,,,,,,,,,,Dani Carvajal,DF
2013-2014,21,Real Madrid,es ESP,1. La Liga,3rd,24.9,5,0,,45,,,,,,,,,,,,,Dani Carvajal,DF
2014-2015,22,Real Madrid,es ESP,1. La Liga,2nd,25.2,12,0,,37,,,,,,,,,,,,,Dani Carvajal,DF
2015-2016,23,Real Madrid,es ESP,1. La Liga,2nd,18.1,6,0,0,26,26,2,69,39,22,0,0,0,,,,,Dani Carvajal,DF
2016-2017,24,Real Madrid,es ESP,1. La Liga,1st,22.4,11,0,0,31,24,2,75,45,41,1,0,0,,,,,Dani Carvajal,DF
2017-2018,25,Real Madrid,es ESP,1. La Liga,3rd,24.7,11,1,0,48,32,3,91,38,40,0,2,0,155,19,27,41.3,Dani Carvajal,DF
2018-2019,26,Real Madrid,es ESP,1. La Liga,3rd,23.4,10,0,0,30,34,2,57,26,24,0,0,0,137,20,22,47.6,Dani Carvajal,DF
2019-2020,27,Real Madrid,es ESP,1. La Liga,1st,30.4,11,0,0,42,30,3,109,36,46,1,0,0,178,27,33,45.0,Dani Carvajal,DF
2020-2021,28,Real Madrid,es ESP,1. La Liga,2nd,10.6,5,0,0,17,10,0,31,13,20,0,1,0,62,14,7,66.7,Dani Carvajal,DF
2021-2022,29,Real Madrid,es ESP,1. La Liga,1st,17.2,1,0,0,19,11,0,40,20,28,0,1,0,97,14,14,50.0,Dani Carvajal,DF
2022-2023,30,Real Madrid,es ESP,1. La Liga,2nd,19.8,8,1,1,22,15,5,49,15,18,0,1,0,109,10,9,52.6,Dani Carvajal,DF
2023-2024,31,Real Madrid,es ESP,1. La Liga,1st,24.1,5,1,1,23,19,2,49,22,32,0,0,0,120,21,19,52.5,Dani Carvajal,DF
2024-2025,32,Real Madrid,es ESP,1. La Liga,1st,6.8,1,0,0,3,6,0,14,10,8,0,0,0,21,7,5,58.3,Dani Carvajal,DF
2016-2017,16,Manchester City,eng ENG,Jr. PL2 — Div. 1,2nd,16.6,0,0,0,,,,,,,,,0,,,,,Brahim Díaz,"FW,MF"
2017-2018,17,Manchester City,eng ENG,Jr. PL2 — Div. 1,6th,12.0,0,0,0,,,,,,,,,0,,,,,Brahim Díaz,"FW,MF"
2017-2018,17,Manchester City,eng ENG,1. Premier League,1st,0.6,0,0,0,1,4,0,1,1,0,0,0,0,8,0,3,0.0,Brahim Díaz,"FW,MF"
2018-2019,18,Real Madrid,es ESP,1. La Liga,3rd,4.2,0,0,0,4,14,0,4,0,7,0,0,0,13,0,5,0.0,Brahim Díaz,"FW,MF"
2019-2020,19,Real Madrid,es ESP,1. La Liga,1st,0.7,1,0,0,1,6,0,0,0,0,0,0,0,2,0,1,0.0,Brahim Díaz,"FW,MF"
2020-2021,20,Milan,it ITA,1. Serie A,2nd,13.6,2,0,0,14,29,0,16,2,10,1,0,0,56,4,27,12.9,Brahim Díaz,"FW,MF"
2021-2022,21,Milan,it ITA,1. Serie A,1st,20.6,4,0,0,22,33,4,11,8,17,0,0,0,108,4,40,9.1,Brahim Díaz,"FW,MF"
2022-2023,22,Milan,it ITA,1. Serie A,4th,21.4,3,0,0,29,50,2,20,7,15,1,0,0,100,4,24,14.3,Brahim Díaz,"FW,MF"
2023-2024,23,Real Madrid,es ESP,1. La Liga,1st,17.2,0,0,0,22,41,5,31,5,19,0,0,0,74,3,9,25.0,Brahim Díaz,"FW,MF"
