Season,Age,Squad,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Player,Position
2023-2024,24,Milan,it ITA,1. Serie A,2nd,28.9,832,1074,77.5,11830,2542,483,555,87.0,282,348,81.0,32,63,50.8,8,4.8,4.5,+3.2,44,42,43,18,87,Christian Pulisic,"MF,FW"
2024-2025,25,Milan,it ITA,1. Serie A,8th,10.9,345,445,77.5,5148,1126,199,221,90.0,118,150,78.7,17,50,34.0,4,2.8,2.5,+1.2,28,21,17,4,49,Christian Pulisic,"MF,FW"
2016-2017,18,Alavés,es ESP,1. La Liga,9th,30.3,,,,,,,,,,,,,,,3,,,,,,,,,Theo Hernández,DF
2017-2018,19,Real Madrid,es ESP,1. La Liga,3rd,10.7,541,642,84.3,7234,2246,365,393,92.9,134,168,79.8,19,37,51.4,0,1.1,0.6,-1.1,8,43,12,6,45,Theo Hernández,DF
2018-2019,20,Real Sociedad,es ESP,1. La Liga,9th,22.0,937,1167,80.3,13917,4109,541,606,89.3,333,398,83.7,38,88,43.2,2,1.8,1.7,+0.2,18,44,17,8,72,Theo Hernández,DF
2019-2020,21,Milan,it ITA,1. Serie A,6th,31.3,1645,1995,82.5,24842,7567,964,1060,90.9,539,644,83.7,97,167,58.1,3,4.4,4.7,-1.4,42,109,34,11,144,Theo Hernández,DF
2020-2021,22,Milan,it ITA,1. Serie A,2nd,32.6,1527,1891,80.8,23126,8040,878,970,90.5,495,599,82.6,103,182,56.6,5,4.9,4.7,+0.1,42,125,42,13,133,Theo Hernández,DF
2021-2022,23,Milan,it ITA,1. Serie A,1st,30.1,1404,1741,80.6,23589,7820,727,822,88.4,531,633,83.9,121,208,58.2,5,5.8,5.8,-0.8,51,89,34,11,116,Theo Hernández,DF
2022-2023,24,Milan,it ITA,1. Serie A,4th,30.8,1391,1751,79.4,23094,7593,686,765,89.7,554,672,82.4,112,203,55.2,3,3.3,2.9,-0.3,37,90,36,12,128,Theo Hernández,DF
2023-2024,25,Milan,it ITA,1. Serie A,2nd,31.0,1717,1994,86.1,26200,9027,934,995,93.9,637,709,89.8,91,172,52.9,4,4.3,4.6,-0.3,44,103,40,12,166,Theo Hernández,DF
2024-2025,26,Milan,it ITA,1. Serie A,8th,12.0,555,652,85.1,8563,2597,299,311,96.1,204,235,86.8,31,69,44.9,2,1.5,1.3,+0.5,18,45,9,4,48,Theo Hernández,DF
2017-2018,15,Schalke U17,de GER,Jr. U17 Bundesliga,10th,18.1,,,,,,,,,,,,,,,,,,,,,,,,Malick Thiaw,DF
2018-2019,16,Schalke U19,de GER,Jr. U19 Bundesliga,6th,24.1,,,,,,,,,,,,,,,,,,,,,,,,Malick Thiaw,DF
2019-2020,17,Schalke U19,de GER,Jr. U19 Bundesliga,16th,18.8,,,,,,,,,,,,,,,,,,,,,,,,Malick Thiaw,DF
2019-2020,17,Schalke 04,de GER,1. Bundesliga,12th,0.8,27,36,75.0,445,170,13,15,86.7,13,15,86.7,1,6,16.7,0,0.0,0.0,0.0,0,3,0,0,3,Malick Thiaw,DF
2020-2021,18,Schalke 04,de GER,1. Bundesliga,18th,16.1,613,764,80.2,11772,4068,206,243,84.8,342,387,88.4,58,109,53.2,0,0.1,0.1,-0.1,2,22,1,0,28,Malick Thiaw,DF
2021-2022,19,Schalke 04,de GER,2. 2. Bundesliga,1st,28.3,1380,1652,83.5,26900,10316,457,533,85.7,754,827,91.2,158,253,62.5,0,0.9,0.5,-0.9,12,76,8,1,110,Malick Thiaw,DF
2022-2023,20,Schalke 04,de GER,1. Bundesliga,17th,3.0,108,123,87.8,2266,690,25,30,83.3,72,79,91.1,11,14,78.6,0,0.0,0.0,0.0,0,4,0,0,3,Malick Thiaw,DF
2022-2023,20,Milan,it ITA,1. Serie A,4th,15.1,932,1056,88.3,18898,6496,275,311,88.4,541,576,93.9,112,154,72.7,0,0.2,0.2,-0.2,2,53,5,0,67,Malick Thiaw,DF
2023-2024,21,Milan,it ITA,1. Serie A,2nd,18.0,1084,1184,91.6,20626,6291,366,389,94.1,628,664,94.6,85,115,73.9,1,0.1,0.2,+0.9,4,62,2,0,70,Malick Thiaw,DF
