Season,Age,Squad,Country,Comp,LgRank,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Player,Position
2018-2019,25,Atlético Madrid,es ESP,1. La Liga,2nd,12.0,25,2.08,11,0,4,0,9,1,4,0.33,2,0,1,0,1,0,Álvaro Morata,"FW,MF"
2019-2020,26,Atlético Madrid,es ESP,1. La Liga,3rd,23.3,61,2.62,42,0,5,10,4,0,5,0.21,3,0,1,0,1,0,Álvaro Morata,"FW,MF"
2020-2021,27,Juventus,it ITA,1. Serie A,4th,22.4,72,3.22,55,0,4,8,5,0,15,0.67,12,0,0,2,1,0,Álvaro Morata,"FW,MF"
2021-2022,28,Juventus,it ITA,1. Serie A,4th,25.6,81,3.17,60,0,3,5,12,1,13,0.51,9,0,1,2,1,0,Álvaro Morata,"FW,MF"
2022-2023,29,Atlético Madrid,es ESP,1. La Liga,3rd,21.1,48,2.27,30,0,6,5,7,0,9,0.43,4,0,3,1,1,0,Álvaro Morata,"FW,MF"
2023-2024,30,Atlético Madrid,es ESP,1. La Liga,4th,21.2,40,1.89,25,0,6,4,5,0,10,0.47,5,0,4,0,1,0,Álvaro Morata,"FW,MF"
2024-2025,31,Milan,it ITA,1. Serie A,8th,10.1,19,1.88,14,0,1,1,2,1,3,0.30,2,0,0,1,0,0,Álvaro Morata,"FW,MF"
2019-2020,19,Milan,it ITA,1. Serie A,6th,7.6,7,0.93,6,0,0,0,1,0,1,0.13,1,0,0,0,0,0,Matteo Gabbia,DF
2020-2021,20,Milan,it ITA,1. Serie A,2nd,6.2,2,0.32,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matteo Gabbia,DF
2021-2022,21,Milan,it ITA,1. Serie A,1st,6.0,3,0.50,3,0,0,0,0,0,2,0.34,2,0,0,0,0,0,Matteo Gabbia,DF
2022-2023,22,Milan,it ITA,1. Serie A,4th,6.8,4,0.59,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matteo Gabbia,DF
2023-2024,23,Villarreal,es ESP,1. La Liga,8th,5.3,5,0.94,5,0,0,0,0,0,1,0.19,1,0,0,0,0,0,Matteo Gabbia,DF
2023-2024,23,Milan,it ITA,1. Serie A,2nd,14.2,8,0.56,4,1,0,2,0,1,1,0.07,0,0,0,1,0,0,Matteo Gabbia,DF
2024-2025,24,Milan,it ITA,1. Serie A,8th,9.7,7,0.72,4,1,0,0,1,1,2,0.21,1,0,0,0,0,1,Matteo Gabbia,DF
