Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Player,Position
2016-2017,20,Chelsea,eng ENG,1. Premier League,1st,0.4,,0,,,,,,,,,,,0,,,,Ruben Loftus-Cheek,MF
2017-2018,21,Crystal Palace,eng ENG,1. Premier League,11th,20.8,21,15,7,13,1,7,30,23.3,23,19,2,17,22,43,31,0,Ruben Loftus-Cheek,MF
2018-2019,22,Chelsea,eng ENG,1. Premier League,3rd,11.1,18,12,7,7,4,3,12,25.0,9,10,4,6,11,29,5,0,Ruben Loftus-Cheek,MF
2019-2020,23,Chelsea,eng ENG,Jr. PL2 — Div. 1,1st,1.0,,,,,,,,,,,,,,,,,Ruben Loftus-Cheek,MF
2019-2020,23,Chelsea,eng ENG,1. Premier League,4th,2.3,0,0,0,0,0,0,2,0.0,2,1,1,0,2,2,2,0,Ruben Loftus-Cheek,MF
2020-2021,24,Fulham,eng ENG,1. Premier League,18th,21.2,25,14,7,15,3,7,23,30.4,16,20,2,18,7,32,18,0,Ruben Loftus-Cheek,MF
2020-2021,24,Chelsea,eng ENG,1. Premier League,4th,0.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ruben Loftus-Cheek,MF
2021-2022,25,Chelsea,eng ENG,1. Premier League,3rd,15.5,29,10,16,11,2,10,19,52.6,9,15,6,9,11,40,17,0,Ruben Loftus-Cheek,MF
2022-2023,26,Chelsea,eng ENG,1. Premier League,12th,17.1,25,14,8,14,3,12,22,54.5,10,15,2,13,12,37,23,0,Ruben Loftus-Cheek,MF
2023-2024,27,Milan,it ITA,1. Serie A,2nd,23.0,28,18,7,14,7,15,27,55.6,12,24,12,12,9,37,10,1,Ruben Loftus-Cheek,MF
2024-2025,28,Milan,it ITA,1. Serie A,8th,7.6,14,6,3,7,4,4,7,57.1,3,1,0,1,2,16,9,0,Ruben Loftus-Cheek,MF
2015-2016,17,Chelsea,eng ENG,1. Premier League,10th,0.6,,,,,,,,,,,,,,,,,Tammy Abraham,FW
2016-2017,18,Bristol City,eng ENG,2. Championship,17th,37.9,,0,,,,,,,,,,,0,,,,Tammy Abraham,FW
2017-2018,19,Swansea City,eng ENG,1. Premier League,18th,19.2,10,8,1,7,2,1,13,7.7,12,8,1,7,1,11,11,0,Tammy Abraham,FW
2018-2019,20,Chelsea,eng ENG,Jr. PL2 — Div. 1,6th,1.0,,,,,,,,,,,,,,,,,Tammy Abraham,FW
