Season,Age,Squad,Country,Comp,LgRank,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Player,Position
2020-2021,22,Eint Frankfurt,de GER,1. Bundesliga,5th,9.9,389,7,22,222,150,46,389,26,14,53.8,12,46.2,243,1252,445,15,13,7,27,19,325,62,Luka Jović,FW
2020-2021,22,Real Madrid,es ESP,1. La Liga,2nd,1.7,52,0,3,20,30,13,52,2,2,100.0,0,0.0,24,98,61,2,2,1,2,1,41,4,Luka Jović,FW
2021-2022,23,Real Madrid,es ESP,1. La Liga,1st,4.1,121,4,15,53,53,25,121,6,3,50.0,3,50.0,71,335,153,4,2,1,9,6,85,17,Luka Jović,FW
2022-2023,24,Fiorentina,it ITA,1. Serie A,8th,17.0,437,11,27,196,219,79,436,22,15,68.2,6,27.3,214,1023,316,8,8,4,25,16,326,75,Luka Jović,FW
2023-2024,25,Milan,it ITA,1. Serie A,2nd,9.7,269,8,19,148,106,36,269,13,7,53.8,6,46.2,154,874,229,6,7,0,21,12,193,47,Luka Jović,FW
2024-2025,26,Milan,it ITA,1. Serie A,8th,0.9,23,0,1,13,9,2,23,1,1,100.0,0,0.0,16,61,13,1,0,0,1,0,21,7,Luka Jović,FW
2024-2025,17,Milan,it ITA,1. Serie A,8th,0.7,38,0,1,21,16,2,38,1,0,0.0,0,0.0,30,121,71,1,0,0,1,2,30,4,Mattia Liberali,MF
2023-2024,18,Milan,it ITA,1. Serie A,2nd,0.3,10,2,4,4,2,0,10,0,0,,0,,5,26,18,0,0,0,0,1,5,2,Kevin Zeroli,MF
2024-2025,19,Milan,it ITA,1. Serie A,8th,0.1,9,0,1,4,5,0,9,0,0,,0,,7,48,42,1,1,0,0,1,8,3,Kevin Zeroli,MF
2023-2024,17,Milan,it ITA,1. Serie A,2nd,0.9,51,8,25,18,8,0,51,1,0,0.0,1,100.0,23,157,53,1,3,0,1,2,29,4,Davide Bartesaghi,DF
2024-2025,18,Milan,it ITA,1. Serie A,8th,0.1,3,0,0,3,0,0,3,0,0,,0,,3,4,3,0,0,0,0,0,3,0,Davide Bartesaghi,DF
2022-2023,17,Saint-Étienne,fr FRA,2. Ligue 2,8th,0.3,9,9,9,0,0,0,9,0,0,,0,,2,13,8,0,0,0,0,0,1,0,Noah Raveyre,GK
2013-2014,21,Atalanta,it ITA,1. Serie A,11th,3.0,,,,,,,,,,,,,,,,,,,,,,,Marco Sportiello,GK
2014-2015,22,Atalanta,it ITA,1. Serie A,17th,37.0,,,,,,,,,,,,,,,,,,,,,,,Marco Sportiello,GK
2015-2016,23,Atalanta,it ITA,1. Serie A,13th,36.0,,,,,,,,,,,,,,,,,,,,,,,Marco Sportiello,GK
2016-2017,24,Atalanta,it ITA,1. Serie A,4th,8.0,,,,,,,,,,,,,,,,,,,,,,,Marco Sportiello,GK
2016-2017,24,Fiorentina,it ITA,1. Serie A,8th,2.0,,,,,,,,,,,,,,,,,,,,,,,Marco Sportiello,GK
2017-2018,25,Fiorentina,it ITA,1. Serie A,8th,35.6,1126,1007,1122,4,0,0,1126,0,0,,0,,521,3146,2192,0,0,0,2,0,420,0,Marco Sportiello,GK
2018-2019,26,Frosinone,it ITA,1. Serie A,19th,35.0,1316,1136,1309,7,0,0,1316,0,0,,0,,620,3629,2549,0,0,0,0,0,404,0,Marco Sportiello,GK
2019-2020,27,Atalanta,it ITA,1. Serie A,3rd,5.8,159,134,157,2,0,0,159,0,0,,0,,98,419,203,0,0,0,0,0,75,0,Marco Sportiello,GK
2020-2021,28,Atalanta,it ITA,1. Serie A,3rd,14.0,403,319,402,1,0,0,403,0,0,,0,,248,883,520,0,0,0,0,0,190,0,Marco Sportiello,GK
2021-2022,29,Atalanta,it ITA,1. Serie A,8th,5.0,145,123,143,2,0,0,145,0,0,,0,,87,403,248,0,0,0,0,0,56,0,Marco Sportiello,GK
2022-2023,30,Atalanta,it ITA,1. Serie A,5th,14.9,486,429,481,5,0,0,486,0,0,,0,,277,1367,863,0,0,0,0,1,202,0,Marco Sportiello,GK
2023-2024,31,Milan,it ITA,1. Serie A,2nd,7.0,263,199,260,3,0,0,263,0,0,,0,,190,1070,685,0,0,0,0,0,157,0,Marco Sportiello,GK
2021-2022,16,Jong Ajax,nl NED,2. Eerste Divisie,7th,1.6,,,,,,,,,,,,,,,,,,,,,,,Silvano Vos,MF
2022-2023,17,Ajax,nl NED,1. Eredivisie,3rd,0.2,29,2,8,16,5,1,29,1,1,100.0,0,0.0,24,124,44,1,0,0,0,0,25,0,Silvano Vos,MF
2022-2023,17,Jong Ajax,nl NED,2. Eerste Divisie,13th,22.1,,,,,,,,,,,,,,,,,,,,,,,Silvano Vos,MF
2023-2024,18,Ajax,nl NED,1. Eredivisie,5th,3.9,212,15,48,146,21,1,212,6,2,33.3,2,33.3,114,587,214,1,3,0,6,2,140,2,Silvano Vos,MF
2023-2024,18,Jong Ajax,nl NED,2. Eerste Divisie,15th,17.9,,,,,,,,,,,,,,,,,,,,,,,Silvano Vos,MF
2024-2025,19,Jong Ajax,nl NED,2. Eerste Divisie,16th,0.7,,,,,,,,,,,,,,,,,,,,,,,Silvano Vos,MF
