Season,Age,Squad,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Player,Position
2019-2020,19,Milan,it ITA,1. Serie A,6th,7.6,449,438,10,10,0,7,0,0,0,0,0,0,395,1,4,Matteo Gabbia,DF
2020-2021,20,Milan,it ITA,1. Serie A,2nd,6.2,361,353,8,7,0,5,0,1,0,0,0,0,331,0,0,Matteo Gabbia,DF
2021-2022,21,Milan,it ITA,1. Serie A,1st,6.0,437,417,19,11,0,1,0,0,0,0,0,0,377,1,1,Matteo Gabbia,DF
2022-2023,22,Milan,it ITA,1. Serie A,4th,6.8,359,346,13,7,0,1,2,1,0,0,0,0,289,0,2,Matteo Gabbia,DF
2023-2024,23,Villarreal,es ESP,1. La Liga,8th,5.3,299,283,15,9,0,5,0,0,0,0,0,0,267,1,0,Matteo Gabbia,DF
2023-2024,23,Milan,it ITA,1. Serie A,2nd,14.2,902,862,39,19,0,2,0,4,0,0,0,0,815,1,7,Matteo Gabbia,DF
2024-2025,24,Milan,it ITA,1. Serie A,8th,9.7,593,572,21,16,0,5,2,4,0,0,0,0,535,0,2,Matteo Gabbia,DF
2018-2019,19,Villarreal,es ESP,1. La Liga,14th,19.0,537,526,7,0,2,5,24,5,2,0,0,0,377,4,30,Samuel Chukwueze,FW
2019-2020,20,Villarreal,es ESP,1. La Liga,5th,22.8,762,744,15,2,6,11,34,7,4,0,0,0,546,3,28,Samuel Chukwueze,FW
2020-2021,21,Villarreal,es ESP,1. La Liga,7th,15.2,531,514,15,1,3,4,26,6,7,1,0,0,395,2,10,Samuel Chukwueze,FW
2021-2022,22,Villarreal,es ESP,1. La Liga,7th,14.8,465,455,6,0,9,3,16,5,1,0,0,0,337,4,17,Samuel Chukwueze,FW
2022-2023,23,Villarreal,es ESP,1. La Liga,5th,26.0,908,873,30,3,9,4,28,15,12,3,0,0,697,5,32,Samuel Chukwueze,FW
2023-2024,24,Milan,it ITA,1. Serie A,2nd,11.3,421,410,10,0,7,1,20,7,3,2,0,0,330,1,11,Samuel Chukwueze,FW
2024-2025,25,Milan,it ITA,1. Serie A,8th,8.2,332,305,25,4,2,5,40,9,12,8,1,0,254,2,7,Samuel Chukwueze,FW
2018-2019,17,Partizan,rs SRB,1. SuperLiga,3rd,11.0,,,,,,,,,,,,,,,,Strahinja Pavlović,DF
2019-2020,18,Partizan,rs SRB,1. SuperLiga,2nd,25.6,,,,,,,,,,,,,,,,Strahinja Pavlović,DF
2020-2021,19,Cercle Brugge,be BEL,1. First Division A,16th,10.7,399,378,19,15,0,5,2,4,0,0,0,0,287,2,5,Strahinja Pavlović,DF
