Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,Player
La Liga (3 Seasons),La Liga (3 Seasons),La Liga (3 Seasons),,,,76.9,31,19,3,15,13,13,31,41.9,18,42,6,36,12,43,49,0,,Robert Lewandowski
Ekstraklasa (2 Seasons),Ekstraklasa (2 Seasons),Ekstraklasa (2 Seasons),,,,54.9,,,,,,,,,,,,,,0,,,,Robert Lewandowski
2017-2018,18,Bordeaux,fr FRA,1. Ligue 1,6th,17.7,26,19,19,7,0,13,17,76.5,4,14,11,3,14,40,97,0,Matches,Jules Koundé
2018-2019,19,Bordeaux,fr FRA,1. Ligue 1,14th,37.0,48,31,37,11,0,27,41,65.9,14,44,23,21,50,98,193,7,Matches,Jules Koundé
2019-2020,20,Sevilla,es ESP,1. La Liga,4th,25.7,23,12,14,5,4,10,18,55.6,8,16,12,4,23,46,91,2,Matches,Jules Koundé
2020-2021,21,Sevilla,es ESP,1. La Liga,4th,33.1,27,15,14,11,2,10,24,41.7,14,24,16,8,40,67,104,0,Matches,Jules Koundé
2021-2022,22,Sevilla,es ESP,1. La Liga,4th,30.4,40,17,27,10,3,18,28,64.3,10,33,18,15,21,61,101,2,Matches,Jules Koundé
2022-2023,23,Barcelona,es ESP,1. La Liga,1st,27.0,37,23,18,13,6,21,31,67.7,10,24,9,15,19,56,61,3,Matches,Jules Koundé
2023-2024,24,Barcelona,es ESP,1. La Liga,2nd,32.2,37,23,22,10,5,28,51,54.9,23,32,12,20,25,62,83,5,Matches,Jules Koundé
2024-2025,25,Barcelona,es ESP,1. La Liga,1st,14.9,35,24,15,15,5,28,37,75.7,9,17,3,14,7,42,38,2,Matches,Jules Koundé
8 Seasons,8 Seasons,3 Clubs,,2 Leagues,,217.9,273,164,166,82,25,155,247,62.8,92,204,104,100,199,472,768,21,,Jules Koundé
,,,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,Jules Koundé
Sevilla (3 Seasons),Sevilla (3 Seasons),Sevilla (3 Seasons),,1 League,,89.1,90,44,55,26,9,38,70,54.3,32,73,46,27,84,174,296,4,,Jules Koundé
Barcelona (3 Seasons),Barcelona (3 Seasons),Barcelona (3 Seasons),,1 League,,74.1,109,70,55,38,16,77,119,64.7,42,73,24,49,51,160,182,10,,Jules Koundé
Bordeaux (2 Seasons),Bordeaux (2 Seasons),Bordeaux (2 Seasons),,1 League,,54.7,74,50,56,18,0,40,58,69.0,18,58,34,24,64,138,290,7,,Jules Koundé
,,,,,,,,,,,,,,,,,,,,,,,,Jules Koundé
La Liga (6 Seasons),La Liga (6 Seasons),La Liga (6 Seasons),,,,163.2,199,114,110,64,25,115,189,60.8,74,146,70,76,135,334,478,14,,Jules Koundé
Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),,,,54.7,74,50,56,18,0,40,58,69.0,18,58,34,24,64,138,290,7,,Jules Koundé
2019-2020,16,Las Palmas,es ESP,2. La Liga 2,9th,31.4,49,30,18,19,12,20,80,25.0,60,41,1,40,20,69,15,0,Matches,Pedri
2020-2021,17,Barcelona,es ESP,1. La Liga,3rd,26.8,44,27,16,16,12,17,71,23.9,54,46,1,45,33,77,7,0,Matches,Pedri
2021-2022,18,Barcelona,es ESP,1. La Liga,2nd,9.8,20,12,9,8,3,7,20,35.0,13,13,0,13,5,25,7,1,Matches,Pedri
2022-2023,19,Barcelona,es ESP,1. La Liga,1st,22.0,39,22,15,17,7,13,45,28.9,32,27,0,27,13,52,8,1,Matches,Pedri
2023-2024,20,Barcelona,es ESP,1. La Liga,2nd,16.4,33,24,16,13,4,8,27,29.6,19,27,3,24,14,47,10,0,Matches,Pedri
2024-2025,21,Barcelona,es ESP,1. La Liga,1st,13.8,23,12,6,16,1,10,32,31.3,22,20,2,18,12,35,11,1,Matches,Pedri
6 Seasons,6 Seasons,2 Clubs,,2 Leagues,,120.2,208,127,80,89,39,75,275,27.3,200,174,7,167,97,305,58,3,,Pedri
,,,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,Pedri
Barcelona (5 Seasons),Barcelona (5 Seasons),Barcelona (5 Seasons),,1 League,,88.9,159,97,62,70,27,55,195,28.2,140,133,6,127,77,236,43,3,,Pedri
Las Palmas (1 Season),Las Palmas (1 Season),Las Palmas (1 Season),,1 League,,31.4,49,30,18,19,12,20,80,25.0,60,41,1,40,20,69,15,0,,Pedri
,,,,,,,,,,,,,,,,,,,,,,,,Pedri
La Liga (5 Seasons),La Liga (5 Seasons),La Liga (5 Seasons),,,,88.9,159,97,62,70,27,55,195,28.2,140,133,6,127,77,236,43,3,,Pedri
La Liga 2 (1 Season),La Liga 2 (1 Season),La Liga 2 (1 Season),,,,31.4,49,30,18,19,12,20,80,25.0,60,41,1,40,20,69,15,0,,Pedri
2022-2023,15,Barcelona,es ESP,1. La Liga,1st,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,Lamine Yamal
2023-2024,16,Barcelona,es ESP,1. La Liga,2nd,24.5,61,37,32,15,14,18,48,37.5,30,32,0,32,19,80,11,0,Matches,Lamine Yamal
2024-2025,17,Barcelona,es ESP,1. La Liga,1st,13.3,22,16,2,10,10,6,13,46.2,7,7,0,7,9,31,3,0,Matches,Lamine Yamal
3 Seasons,3 Seasons,1 Club,,1 League,,37.9,83,53,34,25,24,24,61,39.3,37,39,0,39,28,111,14,0,,Lamine Yamal
2021-2022,17,Barcelona,es ESP,1. La Liga,2nd,2.1,2,1,1,0,1,0,0,,0,2,2,0,1,3,1,0,Matches,Alejandro Balde
2022-2023,18,Barcelona,es ESP,1. La Liga,1st,27.5,42,30,22,16,4,24,41,58.5,17,25,3,22,12,54,17,1,Matches,Alejandro Balde
2023-2024,19,Barcelona,es ESP,1. La Liga,2nd,15.3,20,11,11,6,3,7,11,63.6,4,14,1,13,5,25,21,1,Matches,Alejandro Balde
2024-2025,20,Barcelona,es ESP,1. La Liga,1st,12.3,8,4,4,3,1,4,7,57.1,3,7,3,4,5,13,12,0,Matches,Alejandro Balde
4 Seasons,4 Seasons,1 Club,,1 League,,57.2,72,46,38,25,9,35,59,59.3,24,48,9,39,23,95,51,2,,Alejandro Balde
