Season,Age,Squad,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,Player
2023-2024,24,Barcelona,es ESP,1. La Liga,2nd,32.2,4,0,0,22,16,2,34,25,23,0,0,0,157,71,44,61.7,Matches,Jules Koundé
2024-2025,25,Barcelona,es ESP,1. La Liga,1st,14.9,2,0,0,13,8,5,33,7,24,0,0,0,57,13,12,52.0,Matches,Jules Koundé
8 Seasons,8 Seasons,3 Clubs,,2 Leagues,,217.9,25,2,0,147,126,15,164,199,164,1,5,1,1196,545,363,60.0,,Jules Koundé
,,,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,Jules Koundé
Sevilla (3 Seasons),Sevilla (3 Seasons),Sevilla (3 Seasons),,1 League,,89.1,12,2,0,56,62,5,55,84,44,1,3,0,493,272,163,62.5,,Jules Koundé
Barcelona (3 Seasons),Barcelona (3 Seasons),Barcelona (3 Seasons),,1 League,,74.1,8,0,0,57,36,9,103,51,70,0,0,1,371,127,78,62.0,,Jules Koundé
Bordeaux (2 Seasons),Bordeaux (2 Seasons),Bordeaux (2 Seasons),,1 League,,54.7,5,0,0,34,28,1,6,64,50,0,2,0,332,146,122,54.5,,Jules Koundé
,,,,,,,,,,,,,,,,,,,,,,,,Jules Koundé
La Liga (6 Seasons),La Liga (6 Seasons),La Liga (6 Seasons),,,,163.2,20,2,0,113,98,14,158,135,114,1,3,1,864,399,241,62.3,,Jules Koundé
Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),,,,54.7,5,0,0,34,28,1,6,64,50,0,2,0,332,146,122,54.5,,Jules Koundé
2019-2020,16,Las Palmas,es ESP,2. La Liga 2,9th,31.4,4,0,0,18,45,2,47,20,30,0,0,0,165,20,47,29.9,Matches,Pedri
2020-2021,17,Barcelona,es ESP,1. La Liga,3rd,26.8,2,0,0,17,42,0,11,33,27,1,0,0,142,5,9,35.7,Matches,Pedri
2021-2022,18,Barcelona,es ESP,1. La Liga,2nd,9.8,0,0,0,1,17,0,18,5,12,0,0,0,63,4,3,57.1,Matches,Pedri
2022-2023,19,Barcelona,es ESP,1. La Liga,1st,22.0,2,0,0,8,43,4,25,13,22,0,0,0,134,3,5,37.5,Matches,Pedri
2023-2024,20,Barcelona,es ESP,1. La Liga,2nd,16.4,3,0,0,11,22,1,9,14,24,0,0,0,82,3,5,37.5,Matches,Pedri
2024-2025,21,Barcelona,es ESP,1. La Liga,1st,13.8,2,0,0,6,22,1,18,12,12,0,0,0,96,1,4,20.0,Matches,Pedri
6 Seasons,6 Seasons,2 Clubs,,2 Leagues,,120.2,13,0,0,61,191,8,128,97,127,1,0,0,682,36,73,33.0,,Pedri
