Season,Age,Squad,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Player
2011-2012,20,Real Sociedad,es ESP,1. La Liga,12th,24.4,3,,6,,,0.25,,0.50,,,0,0,,,,,,Matches,Iñigo Martínez
2012-2013,21,Real Sociedad,es ESP,1. La Liga,4th,34.0,4,,8,,,0.24,,0.50,,,0,0,,,,,,Matches,Iñigo Martínez
2013-2014,22,Real Sociedad,es ESP,1. La Liga,7th,34.7,2,,5,,,0.14,,0.40,,,0,0,,,,,,Matches,Iñigo Martínez
2014-2015,23,Real Sociedad,es ESP,1. La Liga,12th,33.6,3,,5,,,0.15,,0.60,,,0,0,,,,,,Matches,Iñigo Martínez
2015-2016,24,Real Sociedad,es ESP,1. La Liga,9th,30.0,1,16,4,25.0,0.53,0.13,0.06,0.25,,,0,0,,,,,,Matches,Iñigo Martínez
2016-2017,25,Real Sociedad,es ESP,1. La Liga,6th,33.3,3,41,13,31.7,1.23,0.39,0.07,0.23,,,0,0,,,,,,Matches,Iñigo Martínez
2017-2018,26,Real Sociedad,es ESP,1. La Liga,12th,11.7,1,11,3,27.3,0.94,0.26,0.09,0.33,16.4,1,0,0,1.0,1.0,0.09,0.0,0.0,Matches,Iñigo Martínez
2017-2018,26,Athletic Club,es ESP,1. La Liga,16th,16.0,0,8,2,25.0,0.50,0.12,0.00,0.00,11.1,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches,Iñigo Martínez
2018-2019,27,Athletic Club,es ESP,1. La Liga,8th,32.2,0,25,4,16.0,0.78,0.12,0.00,0.00,18.1,2,0,0,2.1,2.1,0.08,-2.1,-2.1,Matches,Iñigo Martínez
2019-2020,28,Athletic Club,es ESP,1. La Liga,11th,33.0,1,27,4,14.8,0.82,0.12,0.04,0.25,15.5,4,0,0,2.3,2.3,0.09,-1.3,-1.3,Matches,Iñigo Martínez
2020-2021,29,Athletic Club,es ESP,1. La Liga,10th,28.0,1,18,7,38.9,0.64,0.25,0.06,0.14,19.3,1,0,0,1.1,1.1,0.07,-0.1,-0.1,Matches,Iñigo Martínez
2021-2022,30,Athletic Club,es ESP,1. La Liga,8th,26.0,3,27,8,29.6,1.04,0.31,0.11,0.38,13.4,3,0,0,2.0,2.0,0.07,+1.0,+1.0,Matches,Iñigo Martínez
2022-2023,31,Athletic Club,es ESP,1. La Liga,8th,14.9,1,10,2,20.0,0.67,0.13,0.10,0.50,15.1,3,0,0,0.8,0.8,0.08,+0.2,+0.2,Matches,Iñigo Martínez
2023-2024,32,Barcelona,es ESP,1. La Liga,2nd,14.4,0,8,1,12.5,0.56,0.07,0.00,0.00,11.6,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches,Iñigo Martínez
2024-2025,33,Barcelona,es ESP,1. La Liga,1st,15.8,0,7,1,14.3,0.44,0.06,0.00,0.00,15.2,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,Iñigo Martínez
14 Seasons,14 Seasons,3 Clubs,,1 League,,382.0,23,198,73,24.7,0.78,0.19,0.06,0.32,15.6,14,0,0,10.7,10.7,0.08,-3.7,-3.7,,Iñigo Martínez
,,,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Iñigo Martínez
Real Sociedad (7 Seasons),Real Sociedad (7 Seasons),Real Sociedad (7 Seasons),,1 League,,201.8,17,68,44,29.4,0.91,0.22,0.07,0.39,16.4,1,0,0,1.0,1.0,0.09,0.0,0.0,,Iñigo Martínez
Athletic Club (6 Seasons),Athletic Club (6 Seasons),Athletic Club (6 Seasons),,1 League,,150.1,6,115,27,23.5,0.77,0.18,0.05,0.22,15.8,13,0,0,9.0,9.0,0.08,-3.0,-3.0,,Iñigo Martínez
Barcelona (2 Seasons),Barcelona (2 Seasons),Barcelona (2 Seasons),,1 League,,30.2,0,15,2,13.3,0.50,0.07,0.00,0.00,13.3,0,0,0,0.7,0.7,0.04,-0.7,-0.7,,Iñigo Martínez
2015-2016,18,Vitória,pt POR,1. Primeira Liga,10th,0.2,0,,0,,,0.00,,,,,0,0,,,,,,Matches,Raphinha
2016-2017,19,Vitória,pt POR,1. Primeira Liga,4th,18.8,4,,14,,,0.74,,0.29,,,0,0,,,,,,Matches,Raphinha
2017-2018,20,Vitória,pt POR,1. Primeira Liga,9th,30.9,15,,27,,,0.87,,0.48,,,2,3,,,,,,Matches,Raphinha
2018-2019,21,Sporting CP,pt POR,1. Primeira Liga,3rd,16.8,4,54,21,38.9,3.22,1.25,0.07,0.19,18.0,2,0,0,4.4,4.4,0.08,-0.4,-0.4,Matches,Raphinha
2019-2020,22,Sporting CP,pt POR,1. Primeira Liga,4th,4.0,2,7,4,57.1,1.75,1.00,0.29,0.50,16.0,0,0,0,1.5,1.5,0.22,+0.5,+0.5,Matches,Raphinha
2019-2020,22,Rennes,fr FRA,1. Ligue 1,3rd,18.8,5,42,13,31.0,2.24,0.69,0.10,0.31,20.1,8,1,1,5.2,4.1,0.10,-0.2,-0.1,Matches,Raphinha
2020-2021,23,Rennes,fr FRA,1. Ligue 1,6th,4.5,1,11,3,27.3,2.45,0.67,0.09,0.33,19.2,3,0,0,0.9,0.9,0.08,+0.1,+0.1,Matches,Raphinha
2020-2021,23,Leeds United,eng ENG,Jr. PL2 — Div. 2,1st,1.0,1,,,,,,,,,,0,0,,,,,,Matches,Raphinha
2020-2021,23,Leeds United,eng ENG,1. Premier League,9th,26.2,6,67,24,35.8,2.56,0.92,0.09,0.25,17.2,4,0,0,5.7,5.7,0.09,+0.3,+0.3,Matches,Raphinha
2021-2022,24,Leeds United,eng ENG,1. Premier League,17th,32.4,11,84,21,25.0,2.59,0.65,0.08,0.33,21.4,10,4,4,10.2,7.0,0.08,+0.8,0.0,Matches,Raphinha
2022-2023,25,Barcelona,es ESP,1. La Liga,1st,23.0,7,79,25,31.6,3.43,1.09,0.09,0.28,18.5,11,0,0,9.3,9.3,0.12,-2.3,-2.3,Matches,Raphinha
2023-2024,26,Barcelona,es ESP,1. La Liga,2nd,15.2,6,58,20,34.5,3.82,1.32,0.09,0.25,19.8,10,1,1,7.4,6.6,0.12,-1.4,-1.6,Matches,Raphinha
2024-2025,27,Barcelona,es ESP,1. La Liga,1st,15.6,11,51,23,45.1,3.26,1.47,0.20,0.43,19.9,8,1,1,10.7,9.9,0.19,+0.3,+0.1,Matches,Raphinha
10 Seasons,10 Seasons,6 Clubs,,5 Leagues,,206.5,72,453,195,34.0,2.89,0.94,0.10,0.32,19.2,56,9,10,55.2,49.5,0.11,-2.2,-3.5,,Raphinha
,,,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Raphinha
Barcelona (3 Seasons),Barcelona (3 Seasons),Barcelona (3 Seasons),,1 League,,53.8,24,188,68,36.2,3.49,1.26,0.12,0.32,19.3,29,2,2,27.4,25.8,0.14,-3.4,-3.8,,Raphinha
Vitória (3 Seasons),Vitória (3 Seasons),Vitória (3 Seasons),,1 League,,50.0,19,,41,,,0.82,,0.41,,,2,3,,,,,,,Raphinha
Leeds United (2 Seasons),Leeds United (2 Seasons),Leeds United (2 Seasons),,1 League,,58.6,17,151,45,29.8,2.58,0.77,0.09,0.29,19.5,14,4,4,15.9,12.7,0.08,+1.1,+0.3,,Raphinha
Sporting CP (2 Seasons),Sporting CP (2 Seasons),Sporting CP (2 Seasons),,1 League,,20.8,6,61,25,41.0,2.94,1.20,0.10,0.24,17.7,2,0,0,5.9,5.9,0.10,+0.1,+0.1,,Raphinha
Rennes (2 Seasons),Rennes (2 Seasons),Rennes (2 Seasons),,1 League,,23.3,6,53,16,30.2,2.28,0.69,0.09,0.31,20.0,11,1,1,6.1,5.0,0.09,-0.1,0.0,,Raphinha
Leeds United (1 Season),Leeds United (1 Season),Leeds United (1 Season),,1 League,,1.0,1,,,,,,,,,,0,0,,,,,,,Raphinha
Avaí (1 Season),Avaí (1 Season),Avaí (1 Season),,1 League,,,,,,,,,,,,,,,,,,,,,Raphinha
,,,,,,,,,,,,,,,,,,,,,,,,,Raphinha
Primeira Liga (5 Seasons),Primeira Liga (5 Seasons),Primeira Liga (5 Seasons),,,,70.8,25,61,66,41.0,2.94,0.93,0.10,0.35,17.7,2,2,3,5.9,5.9,0.10,+0.1,+0.1,,Raphinha
La Liga (3 Seasons),La Liga (3 Seasons),La Liga (3 Seasons),,,,53.8,24,188,68,36.2,3.49,1.26,0.12,0.32,19.3,29,2,2,27.4,25.8,0.14,-3.4,-3.8,,Raphinha
Premier League (2 Seasons),Premier League (2 Seasons),Premier League (2 Seasons),,,,58.6,17,151,45,29.8,2.58,0.77,0.09,0.29,19.5,14,4,4,15.9,12.7,0.08,+1.1,+0.3,,Raphinha
Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),,,,23.3,6,53,16,30.2,2.28,0.69,0.09,0.31,20.0,11,1,1,6.1,5.0,0.09,-0.1,0.0,,Raphinha
PL2 — Div. 2 (1 Season),PL2 — Div. 2 (1 Season),PL2 — Div. 2 (1 Season),,,,1.0,1,,,,,,,,,,0,0,,,,,,,Raphinha
Série A (1 Season),Série A (1 Season),Série A (1 Season),,,,,,,,,,,,,,,,,,,,,,,Raphinha
2023-2024,16,Barcelona,es ESP,1. La Liga,2nd,17.3,0,3,0,0.0,0.17,0.0,0.0,,18.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,Pau Cubarsí
2024-2025,17,Barcelona,es ESP,1. La Liga,1st,15.3,0,7,0,0.0,0.46,0.0,0.0,,8.4,0,0,0,0.7,0.7,0.1,-0.7,-0.7,Matches,Pau Cubarsí
2 Seasons,2 Seasons,1 Club,,1 League,,32.7,0,10,0,0.0,0.31,0.0,0.0,,11.4,0,0,0,0.8,0.8,0.08,-0.8,-0.8,,Pau Cubarsí
2008-2009,19,Lech Poznań,pl POL,1. Ekstraklasa,3rd,27.0,14,,41,,,1.52,,0.34,,,0,0,,,,,,Matches,Robert Lewandowski
2009-2010,20,Lech Poznań,pl POL,1. Ekstraklasa,1st,27.9,18,,46,,,1.65,,0.39,,,0,0,,,,,,Matches,Robert Lewandowski
2010-2011,21,Dortmund,de GER,1. Bundesliga,1st,17.7,8,,28,,,1.58,,0.29,,,0,0,,,,,,Matches,Robert Lewandowski
2011-2012,22,Dortmund,de GER,1. Bundesliga,1st,31.9,22,,59,,,1.85,,0.37,,,0,0,,,,,,Matches,Robert Lewandowski
2012-2013,23,Dortmund,de GER,1. Bundesliga,2nd,28.8,24,,56,,,1.94,,0.41,,,1,2,,,,,,Matches,Robert Lewandowski
2013-2014,24,Dortmund,de GER,1. Bundesliga,2nd,31.1,20,,64,,,2.06,,0.25,,,4,4,,,,,,Matches,Robert Lewandowski
2014-2015,25,Bayern Munich,de GER,1. Bundesliga,1st,27.6,17,,50,,,1.81,,0.32,,,1,1,,,,,,Matches,Robert Lewandowski
2015-2016,26,Bayern Munich,de GER,1. Bundesliga,1st,29.5,30,,74,,,2.51,,0.38,,,2,2,,,,,,Matches,Robert Lewandowski
2016-2017,27,Bayern Munich,de GER,1. Bundesliga,1st,30.8,30,143,59,41.3,4.64,1.91,0.17,0.42,,,5,5,,,,,,Matches,Robert Lewandowski
2017-2018,28,Bayern Munich,de GER,1. Bundesliga,1st,24.1,29,120,48,40.0,4.97,1.99,0.19,0.48,13.9,5,6,7,27.9,22.4,0.19,+1.1,+0.6,Matches,Robert Lewandowski
2018-2019,29,Bayern Munich,de GER,1. Bundesliga,1st,32.9,22,140,48,34.3,4.26,1.46,0.14,0.40,13.2,5,3,4,30.7,27.5,0.20,-8.7,-8.5,Matches,Robert Lewandowski
2019-2020,30,Bayern Munich,de GER,1. Bundesliga,1st,30.7,34,133,62,46.6,4.34,2.02,0.22,0.47,13.4,2,5,5,30.7,26.8,0.20,+3.3,+2.2,Matches,Robert Lewandowski
2020-2021,31,Bayern Munich,de GER,1. Bundesliga,1st,27.3,41,128,56,43.8,4.69,2.05,0.26,0.59,13.8,5,8,9,31.3,24.2,0.20,+9.7,+8.8,Matches,Robert Lewandowski
2021-2022,32,Bayern Munich,de GER,1. Bundesliga,1st,32.7,35,156,75,48.1,4.77,2.29,0.19,0.40,13.6,3,5,5,33.2,29.3,0.19,+1.8,+0.7,Matches,Robert Lewandowski
2022-2023,33,Barcelona,es ESP,1. La Liga,1st,31.6,23,134,56,41.8,4.24,1.77,0.17,0.41,13.8,5,0,1,24.3,23.5,0.18,-1.3,-0.5,Matches,Robert Lewandowski
2023-2024,34,Barcelona,es ESP,1. La Liga,2nd,30.6,19,90,37,41.1,2.95,1.21,0.17,0.41,13.9,3,4,4,18.1,15.0,0.17,+0.9,0.0,Matches,Robert Lewandowski
2024-2025,35,Barcelona,es ESP,1. La Liga,1st,14.7,16,50,26,52.0,3.41,1.77,0.28,0.54,13.8,2,2,3,15.0,12.6,0.25,+1.0,+1.4,Matches,Robert Lewandowski
17 Seasons,17 Seasons,4 Clubs,,3 Leagues,,476.8,402,1094,885,42.7,4.28,1.86,0.19,0.40,13.6,30,46,52,211.2,181.3,0.19,+7.8,+4.7,,Robert Lewandowski
,,,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Robert Lewandowski
Bayern Munich (8 Seasons),Bayern Munich (8 Seasons),Bayern Munich (8 Seasons),,1 League,,235.6,238,820,472,42.4,4.59,2.00,0.19,0.43,13.6,20,35,38,153.7,130.2,0.19,+7.3,+3.8,,Robert Lewandowski
Dortmund (4 Seasons),Dortmund (4 Seasons),Dortmund (4 Seasons),,1 League,,109.5,74,,207,,,1.89,,0.33,,,5,6,,,,,,,Robert Lewandowski
Barcelona (3 Seasons),Barcelona (3 Seasons),Barcelona (3 Seasons),,1 League,,76.9,58,274,119,43.4,3.56,1.55,0.19,0.44,13.8,10,6,8,57.4,51.1,0.19,+0.6,+0.9,,Robert Lewandowski
Lech Poznań (2 Seasons),Lech Poznań (2 Seasons),Lech Poznań (2 Seasons),,1 League,,54.9,32,,87,,,1.58,,0.37,,,0,0,,,,,,,Robert Lewandowski
,,,,,,,,,,,,,,,,,,,,,,,,,Robert Lewandowski
Bundesliga (12 Seasons),Bundesliga (12 Seasons),Bundesliga (12 Seasons),,,,345.0,312,820,679,42.4,4.59,1.97,0.19,0.40,13.6,20,40,44,153.7,130.2,0.19,+7.3,+3.8,,Robert Lewandowski
La Liga (3 Seasons),La Liga (3 Seasons),La Liga (3 Seasons),,,,76.9,58,274,119,43.4,3.56,1.55,0.19,0.44,13.8,10,6,8,57.4,51.1,0.19,+0.6,+0.9,,Robert Lewandowski
Ekstraklasa (2 Seasons),Ekstraklasa (2 Seasons),Ekstraklasa (2 Seasons),,,,54.9,32,,87,,,1.58,,0.37,,,0,0,,,,,,,Robert Lewandowski
2017-2018,18,Bordeaux,fr FRA,1. Ligue 1,6th,17.7,2,10,3,30.0,0.57,0.17,0.20,0.67,15.3,0,0,0,1.3,1.3,0.13,+0.7,+0.7,Matches,Jules Koundé
2018-2019,19,Bordeaux,fr FRA,1. Ligue 1,14th,37.0,0,13,1,7.7,0.35,0.03,0.00,0.00,15.2,0,0,0,1.0,1.0,0.07,-1.0,-1.0,Matches,Jules Koundé
2019-2020,20,Sevilla,es ESP,1. La Liga,4th,25.7,1,23,5,21.7,0.90,0.19,0.04,0.20,11.8,0,0,0,2.2,2.2,0.10,-1.2,-1.2,Matches,Jules Koundé
2020-2021,21,Sevilla,es ESP,1. La Liga,4th,33.1,2,21,6,28.6,0.64,0.18,0.10,0.33,11.5,0,0,0,2.0,2.0,0.09,0.0,0.0,Matches,Jules Koundé
2021-2022,22,Sevilla,es ESP,1. La Liga,4th,30.4,2,13,3,23.1,0.43,0.10,0.15,0.67,12.5,0,0,0,1.1,1.1,0.09,+0.9,+0.9,Matches,Jules Koundé
2022-2023,23,Barcelona,es ESP,1. La Liga,1st,27.0,1,14,1,7.1,0.52,0.04,0.07,1.00,14.3,0,0,0,1.1,1.1,0.08,-0.1,-0.1,Matches,Jules Koundé
2023-2024,24,Barcelona,es ESP,1. La Liga,2nd,32.2,1,24,6,25.0,0.75,0.19,0.04,0.17,15.3,0,0,0,2.0,2.0,0.08,-1.0,-1.0,Matches,Jules Koundé
2024-2025,25,Barcelona,es ESP,1. La Liga,1st,14.9,1,9,2,22.2,0.60,0.13,0.11,0.50,15.8,0,0,0,0.4,0.4,0.05,+0.6,+0.6,Matches,Jules Koundé
8 Seasons,8 Seasons,3 Clubs,,2 Leagues,,217.9,10,127,27,21.3,0.58,0.12,0.08,0.37,13.7,0,0,0,11.2,11.2,0.09,-1.2,-1.2,,Jules Koundé
,,,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Jules Koundé
Sevilla (3 Seasons),Sevilla (3 Seasons),Sevilla (3 Seasons),,1 League,,89.1,5,57,14,24.6,0.64,0.16,0.09,0.36,11.9,0,0,0,5.3,5.3,0.09,-0.3,-0.3,,Jules Koundé
Barcelona (3 Seasons),Barcelona (3 Seasons),Barcelona (3 Seasons),,1 League,,74.1,3,47,9,19.1,0.63,0.12,0.06,0.33,15.1,0,0,0,3.6,3.6,0.08,-0.6,-0.6,,Jules Koundé
Bordeaux (2 Seasons),Bordeaux (2 Seasons),Bordeaux (2 Seasons),,1 League,,54.7,2,23,4,17.4,0.42,0.07,0.09,0.50,15.3,0,0,0,2.3,2.3,0.10,-0.3,-0.3,,Jules Koundé
,,,,,,,,,,,,,,,,,,,,,,,,,Jules Koundé
La Liga (6 Seasons),La Liga (6 Seasons),La Liga (6 Seasons),,,,163.2,8,104,23,22.1,0.64,0.14,0.08,0.35,13.3,0,0,0,8.9,8.9,0.09,-0.9,-0.9,,Jules Koundé
Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),Ligue 1 (2 Seasons),,,,54.7,2,23,4,17.4,0.42,0.07,0.09,0.50,15.3,0,0,0,2.3,2.3,0.10,-0.3,-0.3,,Jules Koundé
2019-2020,16,Las Palmas,es ESP,2. La Liga 2,9th,31.4,4,43,14,32.6,1.37,0.45,0.09,0.29,20.7,0,0,0,2.7,2.7,0.06,+1.3,+1.3,Matches,Pedri
2020-2021,17,Barcelona,es ESP,1. La Liga,3rd,26.8,3,25,8,32.0,0.93,0.30,0.12,0.38,15.9,0,0,0,4.6,4.4,0.18,-1.6,-1.4,Matches,Pedri
2021-2022,18,Barcelona,es ESP,1. La Liga,2nd,9.8,3,12,5,41.7,1.22,0.51,0.25,0.60,18.6,0,0,0,1.3,1.3,0.11,+1.7,+1.7,Matches,Pedri
2022-2023,19,Barcelona,es ESP,1. La Liga,1st,22.0,6,22,9,40.9,1.00,0.41,0.27,0.67,15.9,0,0,0,4.9,4.9,0.22,+1.1,+1.1,Matches,Pedri
2023-2024,20,Barcelona,es ESP,1. La Liga,2nd,16.4,4,15,7,46.7,0.91,0.43,0.27,0.57,14.5,0,0,0,3.1,3.1,0.21,+0.9,+0.9,Matches,Pedri
2024-2025,21,Barcelona,es ESP,1. La Liga,1st,13.8,3,13,6,46.2,0.94,0.43,0.23,0.50,19.7,0,0,0,1.3,1.3,0.10,+1.7,+1.7,Matches,Pedri
6 Seasons,6 Seasons,2 Clubs,,2 Leagues,,120.2,23,130,49,37.7,1.08,0.41,0.18,0.47,18.0,0,0,0,18.0,17.7,0.14,+5.0,+5.3,,Pedri
,,,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Pedri
Barcelona (5 Seasons),Barcelona (5 Seasons),Barcelona (5 Seasons),,1 League,,88.9,19,87,35,40.2,0.98,0.39,0.22,0.54,16.6,0,0,0,15.3,15.0,0.17,+3.7,+4.0,,Pedri
Las Palmas (1 Season),Las Palmas (1 Season),Las Palmas (1 Season),,1 League,,31.4,4,43,14,32.6,1.37,0.45,0.09,0.29,20.7,0,0,0,2.7,2.7,0.06,+1.3,+1.3,,Pedri
,,,,,,,,,,,,,,,,,,,,,,,,,Pedri
La Liga (5 Seasons),La Liga (5 Seasons),La Liga (5 Seasons),,,,88.9,19,87,35,40.2,0.98,0.39,0.22,0.54,16.6,0,0,0,15.3,15.0,0.17,+3.7,+4.0,,Pedri
La Liga 2 (1 Season),La Liga 2 (1 Season),La Liga 2 (1 Season),,,,31.4,4,43,14,32.6,1.37,0.45,0.09,0.29,20.7,0,0,0,2.7,2.7,0.06,+1.3,+1.3,,Pedri
2022-2023,15,Barcelona,es ESP,1. La Liga,1st,0.1,0,1,1,100.0,11.25,11.25,0.0,0.0,10.9,0,0,0,0.4,0.4,0.35,-0.4,-0.4,Matches,Lamine Yamal
2023-2024,16,Barcelona,es ESP,1. La Liga,2nd,24.5,5,58,21,36.2,2.37,0.86,0.09,0.24,17.5,0,0,0,5.2,5.2,0.09,-0.2,-0.2,Matches,Lamine Yamal
2024-2025,17,Barcelona,es ESP,1. La Liga,1st,13.3,5,51,19,37.3,3.83,1.42,0.1,0.26,19.0,0,0,0,4.6,4.6,0.09,0.4,0.4,Matches,Lamine Yamal
3 Seasons,3 Seasons,1 Club,,1 League,,37.9,10,110,41,37.3,2.9,1.08,0.09,0.24,18.1,0,0,0,10.2,10.2,0.09,-0.2,-0.2,,Lamine Yamal
2021-2022,17,Barcelona,es ESP,1. La Liga,2nd,2.1,0,1,0,0.0,0.48,0.0,0.0,,19.3,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,Alejandro Balde
2022-2023,18,Barcelona,es ESP,1. La Liga,1st,27.5,1,19,4,21.1,0.69,0.15,0.05,0.25,17.9,0,0,0,1.9,1.9,0.1,-0.9,-0.9,Matches,Alejandro Balde
2023-2024,19,Barcelona,es ESP,1. La Liga,2nd,15.3,0,5,1,20.0,0.33,0.07,0.0,0.0,21.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,Alejandro Balde
2024-2025,20,Barcelona,es ESP,1. La Liga,1st,12.3,0,6,1,16.7,0.49,0.08,0.0,0.0,19.8,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,Alejandro Balde
4 Seasons,4 Seasons,1 Club,,1 League,,57.2,1,31,6,19.4,0.54,0.1,0.03,0.17,18.9,0,0,0,2.4,2.4,0.08,-1.4,-1.4,,Alejandro Balde
2023-2024,19,Barcelona,es ESP,1. La Liga,2nd,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,Marc Casado
2024-2025,20,Barcelona,es ESP,1. La Liga,1st,11.4,0,11,0,0.0,0.97,0.0,0.0,,23.2,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Matches,Marc Casado
3 Seasons,3 Seasons,1 Club,,1 League,,11.5,0,11,0,0.0,0.95,0.0,0.0,,23.2,0,0,0,0.9,0.9,0.08,-0.9,-0.9,,Marc Casado
2014-2015,16,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,0.8,0,,1,,,1.27,,0.00,,,0,0,,,,,,Matches,Dani Olmo
2015-2016,17,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,0.5,0,,0,,,0.00,,,,,0,0,,,,,,Matches,Dani Olmo
2016-2017,18,Dinamo Zagreb,hr CRO,1. 1. HNL,2nd,9.3,1,0,10,,0.00,1.08,,0.10,,,0,0,,,,,,Matches,Dani Olmo
2017-2018,19,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,23.3,8,0,26,,0.00,1.11,,0.27,,,1,1,,,,,,Matches,Dani Olmo
2018-2019,20,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,17.7,8,,,,,,,,,,0,0,,,,,,Matches,Dani Olmo
2019-2020,21,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,8.2,3,,,,,,,,,,0,0,,,,,,Matches,Dani Olmo
2019-2020,21,RB Leipzig,de GER,1. Bundesliga,3rd,8.3,3,21,6,28.6,2.53,0.72,0.14,0.50,19.8,0,0,0,1.8,1.8,0.08,+1.2,+1.2,Matches,Dani Olmo
2020-2021,22,RB Leipzig,de GER,1. Bundesliga,2nd,24.4,5,76,22,28.9,3.12,0.90,0.05,0.18,20.1,0,1,1,6.6,5.8,0.08,-1.6,-1.8,Matches,Dani Olmo
2021-2022,23,RB Leipzig,de GER,1. Bundesliga,4th,8.3,3,22,12,54.5,2.66,1.45,0.14,0.25,19.2,0,0,0,1.9,1.9,0.09,+1.1,+1.1,Matches,Dani Olmo
2022-2023,24,RB Leipzig,de GER,1. Bundesliga,3rd,14.2,2,43,16,37.2,3.02,1.12,0.05,0.13,21.6,0,0,0,2.9,2.9,0.07,-0.9,-0.9,Matches,Dani Olmo
2023-2024,25,RB Leipzig,de GER,1. Bundesliga,4th,16.1,4,45,13,28.9,2.80,0.81,0.09,0.31,18.7,3,0,0,3.3,3.3,0.07,+0.7,+0.7,Matches,Dani Olmo
2024-2025,26,Barcelona,es ESP,1. La Liga,1st,5.9,5,21,8,38.1,3.56,1.36,0.24,0.63,19.3,0,0,0,2.2,2.2,0.11,+2.8,+2.8,Matches,Dani Olmo
11 Seasons,11 Seasons,3 Clubs,,3 Leagues,,137.0,42,228,114,49.6,2.08,1.03,0.13,0.25,19.9,3,2,2,18.7,18.0,0.08,+3.3,+3.0,,Dani Olmo
,,,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Dani Olmo
Dinamo Zagreb (6 Seasons),Dinamo Zagreb (6 Seasons),Dinamo Zagreb (6 Seasons),,1 League,,59.8,20,0,37,,0.00,1.09,,0.22,,,1,1,,,,,,,Dani Olmo
RB Leipzig (5 Seasons),RB Leipzig (5 Seasons),RB Leipzig (5 Seasons),,1 League,,71.3,17,207,69,33.3,2.90,0.97,0.08,0.23,20.0,3,1,1,16.5,15.7,0.08,+0.5,+0.3,,Dani Olmo
Barcelona (1 Season),Barcelona (1 Season),Barcelona (1 Season),,1 League,,5.9,5,21,8,38.1,3.56,1.36,0.24,0.63,19.3,0,0,0,2.2,2.2,0.11,+2.8,+2.8,,Dani Olmo
,,,,,,,,,,,,,,,,,,,,,,,,,Dani Olmo
1. HNL (6 Seasons),1. HNL (6 Seasons),1. HNL (6 Seasons),,,,59.8,20,0,37,,0.00,1.09,,0.22,,,1,1,,,,,,,Dani Olmo
Bundesliga (5 Seasons),Bundesliga (5 Seasons),Bundesliga (5 Seasons),,,,71.3,17,207,69,33.3,2.90,0.97,0.08,0.23,20.0,3,1,1,16.5,15.7,0.08,+0.5,+0.3,,Dani Olmo
La Liga (1 Season),La Liga (1 Season),La Liga (1 Season),,,,5.9,5,21,8,38.1,3.56,1.36,0.24,0.63,19.3,0,0,0,2.2,2.2,0.11,+2.8,+2.8,,Dani Olmo
2010-2011,18,Gladbach,de GER,1. Bundesliga,16th,6.0,0,,0,,,0.00,,,,,0,0,,,,,,Matches,Marc-André ter Stegen
2011-2012,19,Gladbach,de GER,1. Bundesliga,4th,34.0,0,,0,,,0.00,,,,,0,0,,,,,,Matches,Marc-André ter Stegen
