Season,Age,Squad,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Player
2021-2022,22,Sevilla,es ESP,1. La Liga,4th,30.4,2,13,3,23.1,0.43,0.10,0.15,0.67,12.5,0,0,0,1.1,1.1,0.09,+0.9,+0.9,Matches,Jules Koundé,DF
2022-2023,23,Barcelona,es ESP,1. La Liga,1st,27.0,1,14,1,7.1,0.52,0.04,0.07,1.00,14.3,0,0,0,1.1,1.1,0.08,-0.1,-0.1,Matches,Jules Koundé,DF
2023-2024,24,Barcelona,es ESP,1. La Liga,2nd,32.2,1,24,6,25.0,0.75,0.19,0.04,0.17,15.3,0,0,0,2.0,2.0,0.08,-1.0,-1.0,Matches,Jules Koundé,DF
2024-2025,25,Barcelona,es ESP,1. La Liga,3rd,16.9,1,11,2,18.2,0.65,0.12,0.09,0.50,15.4,0,0,0,0.7,0.7,0.06,+0.3,+0.3,Matches,Jules Koundé,DF
8 Seasons,8 Seasons,3 Clubs,,2 Leagues,,219.9,10,129,27,20.9,0.59,0.12,0.08,0.37,13.7,0,0,0,11.4,11.4,0.09,-1.4,-1.4,,Jules Koundé,DF
,,,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Jules Koundé,DF
Sevilla (3 Seasons),Sevilla (3 Seasons),Sevilla (3 Seasons),,1 League,,89.1,5,57,14,24.6,0.64,0.16,0.09,0.36,11.9,0,0,0,5.3,5.3,0.09,-0.3,-0.3,,Jules Koundé,DF
Barcelona (3 Seasons),Barcelona (3 Seasons),Barcelona (3 Seasons),,1 League,,76.1,3,49,9,18.4,0.64,0.12,0.06,0.33,15.0,0,0,0,3.9,3.9,0.08,-0.9,-0.9,,Jules Koundé,DF
Bordeaux (2 Seasons),Bordeaux (2 Seasons),Bordeaux (2 Seasons),,1 League,,54.7,2,23,4,17.4,0.42,0.07,0.09,0.50,15.3,0,0,0,2.3,2.3,0.10,-0.3,-0.3,,Jules Koundé,DF
,,,,,,,,,,,,,,,,,,,,,,,,,Jules Koundé,DF
