Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Player
2024-2025,17,Barcelona,es ESP,1. La Liga,1st,15,13,1200,13.3,5,9,14,5,0,0,1,0,4.6,4.6,6.7,11.3,75,72,175,0.37,0.68,1.05,0.37,1.05,0.35,0.5,0.85,0.35,0.85,Matches,Lamine Yamal
3 Seasons,3 Seasons,1 Club,,1 League,,53,35,3409,37.9,10,14,24,10,0,0,4,0,10.2,10.2,12.9,23.1,198,154,527,0.26,0.37,0.63,0.26,0.63,0.27,0.34,0.61,0.27,0.61,,Lamine Yamal
2021-2022,17,Barcelona,es ESP,1. La Liga,2nd,5,2,188,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,9,7,23,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches,Alejandro Balde
2022-2023,18,Barcelona,es ESP,1. La Liga,1st,33,30,2471,27.5,1,6,7,1,0,0,4,0,1.9,1.9,4.9,6.8,96,79,234,0.04,0.22,0.25,0.04,0.25,0.07,0.18,0.25,0.07,0.25,Matches,Alejandro Balde
2023-2024,19,Barcelona,es ESP,1. La Liga,2nd,18,15,1378,15.3,0,1,1,0,0,0,1,0,0.1,0.1,1.2,1.4,73,41,141,0.0,0.07,0.07,0.0,0.07,0.01,0.08,0.09,0.01,0.09,Matches,Alejandro Balde
2024-2025,20,Barcelona,es ESP,1. La Liga,1st,15,13,1108,12.3,0,2,2,0,0,0,0,0,0.3,0.3,1.3,1.6,44,32,97,0.0,0.16,0.16,0.0,0.16,0.02,0.11,0.13,0.02,0.13,Matches,Alejandro Balde
4 Seasons,4 Seasons,1 Club,,1 League,,71,60,5145,57.2,1,9,10,1,0,0,5,0,2.4,2.4,7.4,9.8,222,159,495,0.02,0.16,0.17,0.02,0.17,0.04,0.13,0.17,0.04,0.17,,Alejandro Balde
2022-2023,18,Barcelona,es ESP,1. La Liga,1st,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Marc Casado
2023-2024,19,Barcelona,es ESP,1. La Liga,2nd,2,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Marc Casado
2024-2025,20,Barcelona,es ESP,1. La Liga,1st,14,12,1024.0,11.4,0.0,3.0,3.0,0.0,0.0,0.0,4.0,1.0,0.9,0.9,1.3,2.2,6.0,76.0,18.0,0.0,0.26,0.26,0.0,0.26,0.08,0.11,0.19,0.08,0.19,Matches,Marc Casado
3 Seasons,3 Seasons,1 Club,,1 League,,16,12,1039.0,11.5,0.0,3.0,3.0,0.0,0.0,0.0,4.0,1.0,0.9,0.9,1.3,2.2,7.0,77.0,18.0,0.0,0.26,0.26,0.0,0.26,0.08,0.11,0.19,0.08,0.19,,Marc Casado
2018-2019,19,Barcelona,es ESP,1. La Liga,1st,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Iñaki Peña
2019-2020,20,Barcelona,es ESP,1. La Liga,2nd,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Iñaki Peña
2020-2021,21,Barcelona,es ESP,1. La Liga,3rd,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Iñaki Peña
2021-2022,22,Galatasaray,tr TUR,1. Süper Lig,13th,6,6,540,6.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Iñaki Peña
2021-2022,22,Barcelona,es ESP,1. La Liga,2nd,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Iñaki Peña
2022-2023,23,Barcelona,es ESP,1. La Liga,1st,2,0,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Iñaki Peña
2023-2024,24,Barcelona,es ESP,1. La Liga,2nd,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Iñaki Peña
2024-2025,25,Barcelona,es ESP,1. La Liga,1st,12,11,1036,11.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Iñaki Peña
7 Seasons,7 Seasons,2 Clubs,,2 Leagues,,30,27,2549,28.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Iñaki Peña
,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Iñaki Peña
Barcelona (7 Seasons),Barcelona (7 Seasons),Barcelona (7 Seasons),,1 League,,24,21,2009,22.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Iñaki Peña
Galatasaray (1 Season),Galatasaray (1 Season),Galatasaray (1 Season),,1 League,,6,6,540,6.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,Iñaki Peña
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iñaki Peña
La Liga (7 Seasons),La Liga (7 Seasons),La Liga (7 Seasons),,,,24,21,2009,22.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Iñaki Peña
Süper Lig (1 Season),Süper Lig (1 Season),Süper Lig (1 Season),,,,6,6,540,6.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,Iñaki Peña
2014-2015,16,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,5,0,71,0.8,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Dani Olmo
2015-2016,17,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,1,0,45,0.5,0,1,1,0,0,0,0,0,,,,,,,,0.00,2.00,2.00,0.00,2.00,,,,,,Matches,Dani Olmo
2016-2017,18,Dinamo Zagreb,hr CRO,1. 1. HNL,2nd,14,8,836,9.3,1,4,5,1,0,0,2,0,,,,,,,,0.11,0.43,0.54,0.11,0.54,,,,,,Matches,Dani Olmo
2017-2018,19,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,26,23,2101,23.3,8,6,14,7,1,1,1,0,,,,,,,,0.34,0.26,0.60,0.30,0.56,,,,,,Matches,Dani Olmo
2018-2019,20,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,25,16,1590,17.7,8,0,8,8,0,0,4,0,,,,,,,,0.45,0.00,0.45,0.45,0.45,,,,,,Matches,Dani Olmo
2019-2020,21,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,9,9,741,8.2,3,0,3,3,0,0,1,0,,,,,,,,0.36,0.00,0.36,0.36,0.36,,,,,,Matches,Dani Olmo
2019-2020,21,RB Leipzig,de GER,1. Bundesliga,3rd,12,9,747,8.3,3,1,4,3,0,0,1,0,1.8,1.8,1.2,2.9,15,46,57,0.36,0.12,0.48,0.36,0.48,0.21,0.14,0.35,0.21,0.35,Matches,Dani Olmo
2020-2021,22,RB Leipzig,de GER,1. Bundesliga,2nd,32,26,2194,24.4,5,9,14,4,1,1,1,0,6.6,5.8,5.1,10.9,50,175,174,0.21,0.37,0.57,0.16,0.53,0.27,0.21,0.48,0.24,0.45,Matches,Dani Olmo
2021-2022,23,RB Leipzig,de GER,1. Bundesliga,4th,19,7,743,8.3,3,3,6,3,0,0,2,0,1.9,1.9,2.6,4.4,15,53,55,0.36,0.36,0.73,0.36,0.73,0.23,0.31,0.54,0.23,0.54,Matches,Dani Olmo
2022-2023,24,RB Leipzig,de GER,1. Bundesliga,3rd,23,15,1282,14.2,2,5,7,2,0,0,2,0,2.9,2.9,4.5,7.4,34,68,86,0.14,0.35,0.49,0.14,0.49,0.21,0.32,0.52,0.21,0.52,Matches,Dani Olmo
2023-2024,25,RB Leipzig,de GER,1. Bundesliga,4th,21,17,1449,16.1,4,5,9,4,0,0,0,0,3.3,3.3,5.4,8.8,60,68,111,0.25,0.31,0.56,0.25,0.56,0.21,0.34,0.55,0.21,0.55,Matches,Dani Olmo
2024-2025,26,Barcelona,es ESP,1. La Liga,1st,9,6,531,5.9,5,0,5,5,0,0,0,0,2.2,2.2,1.1,3.4,15,34,44,0.85,0.00,0.85,0.85,0.85,0.38,0.19,0.57,0.38,0.57,Matches,Dani Olmo
11 Seasons,11 Seasons,3 Clubs,,3 Leagues,,196,136,12330,137.0,42,34,76,40,2,2,14,0,18.7,18.0,19.9,37.9,189,444,527,0.31,0.25,0.55,0.29,0.54,0.24,0.26,0.50,0.23,0.49,,Dani Olmo
,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Dani Olmo
Dinamo Zagreb (6 Seasons),Dinamo Zagreb (6 Seasons),Dinamo Zagreb (6 Seasons),,1 League,,80,56,5384,59.8,20,11,31,19,1,1,8,0,,,,,,,,0.33,0.18,0.52,0.32,0.50,,,,,,,Dani Olmo
RB Leipzig (5 Seasons),RB Leipzig (5 Seasons),RB Leipzig (5 Seasons),,1 League,,107,74,6415,71.3,17,23,40,16,1,1,6,0,16.5,15.7,18.8,34.5,174,410,483,0.24,0.32,0.56,0.22,0.55,0.23,0.26,0.49,0.22,0.48,,Dani Olmo
Barcelona (1 Season),Barcelona (1 Season),Barcelona (1 Season),,1 League,,9,6,531,5.9,5,0,5,5,0,0,0,0,2.2,2.2,1.1,3.4,15,34,44,0.85,0.00,0.85,0.85,0.85,0.38,0.19,0.57,0.38,0.57,,Dani Olmo
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dani Olmo
1. HNL (6 Seasons),1. HNL (6 Seasons),1. HNL (6 Seasons),,,,80,56,5384,59.8,20,11,31,19,1,1,8,0,,,,,,,,0.33,0.18,0.52,0.32,0.50,,,,,,,Dani Olmo
Bundesliga (5 Seasons),Bundesliga (5 Seasons),Bundesliga (5 Seasons),,,,107,74,6415,71.3,17,23,40,16,1,1,6,0,16.5,15.7,18.8,34.5,174,410,483,0.24,0.32,0.56,0.22,0.55,0.23,0.26,0.49,0.22,0.48,,Dani Olmo
La Liga (1 Season),La Liga (1 Season),La Liga (1 Season),,,,9,6,531,5.9,5,0,5,5,0,0,0,0,2.2,2.2,1.1,3.4,15,34,44,0.85,0.00,0.85,0.85,0.85,0.38,0.19,0.57,0.38,0.57,,Dani Olmo
2010-2011,18,Gladbach,de GER,1. Bundesliga,16th,6,6,540,6.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Marc-André ter Stegen
2011-2012,19,Gladbach,de GER,1. Bundesliga,4th,34,34,3060,34.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Marc-André ter Stegen
2012-2013,20,Gladbach,de GER,1. Bundesliga,8th,34,34,3046,33.8,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Marc-André ter Stegen
2013-2014,21,Gladbach,de GER,1. Bundesliga,6th,34,34,3060,34.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Marc-André ter Stegen
2014-2015,22,Barcelona,es ESP,1. La Liga,1st,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Marc-André ter Stegen
2015-2016,23,Barcelona,es ESP,1. La Liga,1st,7,6,543,6.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Marc-André ter Stegen
2016-2017,24,Barcelona,es ESP,1. La Liga,2nd,36,36,3240,36.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Marc-André ter Stegen
2017-2018,25,Barcelona,es ESP,1. La Liga,1st,37,37,3330,37.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Marc-André ter Stegen
2018-2019,26,Barcelona,es ESP,1. La Liga,1st,35,35,3150,35.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Marc-André ter Stegen
2019-2020,27,Barcelona,es ESP,1. La Liga,2nd,36,36,3240,36.0,0,2,2,0,0,0,1,0,0.0,0.0,0.7,0.7,0,1,0,0.00,0.06,0.06,0.00,0.06,0.00,0.02,0.02,0.00,0.02,Matches,Marc-André ter Stegen
2020-2021,28,Barcelona,es ESP,1. La Liga,3rd,31,31,2790,31.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Marc-André ter Stegen
2021-2022,29,Barcelona,es ESP,1. La Liga,2nd,35,35,3150,35.0,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Marc-André ter Stegen
2022-2023,30,Barcelona,es ESP,1. La Liga,1st,38,38,3347,37.2,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,Marc-André ter Stegen
2023-2024,31,Barcelona,es ESP,1. La Liga,2nd,28,28,2520,28.0,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Marc-André ter Stegen
2024-2025,32,Barcelona,es ESP,1. La Liga,1st,6,6,494,5.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Marc-André ter Stegen
15 Seasons,15 Seasons,2 Clubs,,2 Leagues,,397,396,35510,394.6,0,2,2,0,0,0,12,0,0.1,0.1,1.3,1.3,0,9,0,0.00,0.01,0.01,0.00,0.01,0.00,0.01,0.01,0.00,0.01,,Marc-André ter Stegen
,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Marc-André ter Stegen
Barcelona (11 Seasons),Barcelona (11 Seasons),Barcelona (11 Seasons),,1 League,,289,288,25804,286.7,0,2,2,0,0,0,9,0,0.1,0.1,1.3,1.3,0,9,0,0.00,0.01,0.01,0.00,0.01,0.00,0.01,0.01,0.00,0.01,,Marc-André ter Stegen
Gladbach (4 Seasons),Gladbach (4 Seasons),Gladbach (4 Seasons),,1 League,,108,108,9706,107.8,0,0,0,0,0,0,3,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,Marc-André ter Stegen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marc-André ter Stegen
La Liga (11 Seasons),La Liga (11 Seasons),La Liga (11 Seasons),,,,289,288,25804,286.7,0,2,2,0,0,0,9,0,0.1,0.1,1.3,1.3,0,9,0,0.00,0.01,0.01,0.00,0.01,0.00,0.01,0.01,0.00,0.01,,Marc-André ter Stegen
Bundesliga (4 Seasons),Bundesliga (4 Seasons),Bundesliga (4 Seasons),,,,108,108,9706,107.8,0,0,0,0,0,0,3,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,Marc-André ter Stegen
2017-2018,17,Valencia,es ESP,1. La Liga,4th,13,2,311,3.5,0,1,1,0,0,0,0,0,0.4,0.4,0.8,1.2,16,11,24,0.00,0.29,0.29,0.00,0.29,0.13,0.23,0.35,0.13,0.35,Matches,Ferrán Torres
2018-2019,18,Valencia,es ESP,1. La Liga,4th,24,8,850,9.4,2,1,3,2,0,0,5,0,1.5,1.5,1.7,3.2,35,27,70,0.21,0.11,0.32,0.21,0.32,0.16,0.18,0.34,0.16,0.34,Matches,Ferrán Torres
2019-2020,19,Valencia,es ESP,1. La Liga,9th,34,26,2251,25.0,4,5,9,4,0,0,5,0,4.0,4.0,4.9,8.9,87,76,194,0.16,0.20,0.36,0.16,0.36,0.16,0.20,0.36,0.16,0.36,Matches,Ferrán Torres
2020-2021,20,Manchester City,eng ENG,1. Premier League,1st,24,15,1306,14.5,7,2,9,7,0,0,1,0,4.9,4.9,2.2,7.1,30,31,118,0.48,0.14,0.62,0.48,0.62,0.33,0.15,0.49,0.33,0.49,Matches,Ferrán Torres
2021-2022,21,Manchester City,eng ENG,1. Premier League,1st,4,4,303,3.4,2,1,3,2,0,0,0,0,2.8,2.8,0.0,2.8,5,4,26,0.59,0.30,0.89,0.59,0.89,0.83,0.01,0.84,0.83,0.84,Matches,Ferrán Torres
2021-2022,21,Barcelona,es ESP,1. La Liga,2nd,18,17,1412,15.7,4,4,8,3,1,1,1,0,7.0,6.2,3.1,9.4,34,53,215,0.25,0.25,0.51,0.19,0.45,0.45,0.20,0.65,0.40,0.60,Matches,Ferrán Torres
2022-2023,22,Barcelona,es ESP,1. La Liga,1st,33,14,1392,15.5,4,2,6,4,0,1,5,1,4.9,4.1,4.1,8.2,43,44,180,0.26,0.13,0.39,0.26,0.39,0.32,0.26,0.58,0.27,0.53,Matches,Ferrán Torres
2023-2024,23,Barcelona,es ESP,1. La Liga,2nd,29,12,1211,13.5,7,2,9,7,0,0,2,0,5.5,5.5,2.7,8.2,30,44,113,0.52,0.15,0.67,0.52,0.67,0.41,0.20,0.61,0.41,0.61,Matches,Ferrán Torres
2024-2025,24,Barcelona,es ESP,1. La Liga,1st,11,6,465,5.2,3,2,5,3,0,0,0,1,2.2,2.2,0.4,2.6,10,13,34,0.58,0.39,0.97,0.58,0.97,0.43,0.08,0.51,0.43,0.51,Matches,Ferrán Torres
8 Seasons,8 Seasons,3 Clubs,,2 Leagues,,190,104,9501,105.6,33,20,53,32,1,2,19,2,33.2,31.6,19.9,51.6,290,303,974,0.31,0.19,0.50,0.30,0.49,0.31,0.19,0.50,0.30,0.49,,Ferrán Torres
,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Ferrán Torres
Barcelona (4 Seasons),Barcelona (4 Seasons),Barcelona (4 Seasons),,1 League,,91,49,4480,49.8,18,10,28,17,1,2,8,2,19.7,18.1,10.3,28.4,117,154,542,0.36,0.20,0.56,0.34,0.54,0.40,0.21,0.60,0.36,0.57,,Ferrán Torres
Valencia (3 Seasons),Valencia (3 Seasons),Valencia (3 Seasons),,1 League,,71,36,3412,37.9,6,7,13,6,0,0,10,0,5.9,5.9,7.4,13.3,138,114,288,0.16,0.18,0.34,0.16,0.34,0.16,0.19,0.35,0.16,0.35,,Ferrán Torres
Manchester City (2 Seasons),Manchester City (2 Seasons),Manchester City (2 Seasons),,1 League,,28,19,1609,17.9,9,3,12,9,0,0,1,0,7.6,7.6,2.3,9.9,35,35,144,0.50,0.17,0.67,0.50,0.67,0.43,0.13,0.55,0.43,0.55,,Ferrán Torres
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ferrán Torres
La Liga (7 Seasons),La Liga (7 Seasons),La Liga (7 Seasons),,,,162,85,7892,87.7,24,17,41,23,1,2,18,2,25.6,24.0,17.7,41.7,255,268,830,0.27,0.19,0.47,0.26,0.46,0.29,0.20,0.49,0.27,0.48,,Ferrán Torres
Premier League (2 Seasons),Premier League (2 Seasons),Premier League (2 Seasons),,,,28,19,1609,17.9,9,3,12,9,0,0,1,0,7.6,7.6,2.3,9.9,35,35,144,0.50,0.17,0.67,0.50,0.67,0.43,0.13,0.55,0.43,0.55,,Ferrán Torres
2024-2025,22,Barcelona,es ESP,1. La Liga,1st,11,4,390,4.3,0,1,1,0,0,0,2,0,0.0,0.0,0.4,0.4,6,16,33,0.0,0.23,0.23,0.0,0.23,0.0,0.1,0.1,0.0,0.1,Matches,Gerard Martín
1 Season,1 Season,1 Club,,1 League,,11,4,390,4.3,0,1,1,0,0,0,2,0,0.0,0.0,0.4,0.4,6,16,33,0.0,0.23,0.23,0.0,0.23,0.0,0.1,0.1,0.0,0.1,,Gerard Martín
2022-2023,19,Barcelona,es ESP,1. La Liga,1st,8,1,144,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,4,11,16,0.00,0.00,0.00,0.00,0.00,0.02,0.30,0.31,0.02,0.31,Matches,Pablo Torre
2023-2024,20,Girona,es ESP,1. La Liga,3rd,26,4,701,7.8,0,2,2,0,0,0,1,0,0.8,0.8,0.9,1.6,25,65,40,0.00,0.26,0.26,0.00,0.26,0.10,0.11,0.21,0.10,0.21,Matches,Pablo Torre
2024-2025,21,Barcelona,es ESP,1. La Liga,1st,7,4,248,2.8,3,1,4,3,0,0,0,0,0.3,0.3,0.5,0.8,5,15,15,1.09,0.36,1.45,1.09,1.45,0.09,0.19,0.28,0.09,0.28,Matches,Pablo Torre
3 Seasons,3 Seasons,2 Clubs,,1 League,,41,9,1093,12.1,3,3,6,3,0,0,1,0,1.0,1.0,1.9,2.9,34,91,71,0.25,0.25,0.49,0.25,0.49,0.09,0.15,0.24,0.09,0.24,,Pablo Torre
,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Pablo Torre
Barcelona (2 Seasons),Barcelona (2 Seasons),Barcelona (2 Seasons),,1 League,,15,5,392,4.4,3,1,4,3,0,0,0,0,0.3,0.3,1.0,1.3,9,26,31,0.69,0.23,0.92,0.69,0.92,0.06,0.23,0.29,0.06,0.29,,Pablo Torre
Girona (1 Season),Girona (1 Season),Girona (1 Season),,1 League,,26,4,701,7.8,0,2,2,0,0,0,1,0,0.8,0.8,0.9,1.6,25,65,40,0.00,0.26,0.26,0.00,0.26,0.10,0.11,0.21,0.10,0.21,,Pablo Torre
2017-2018,16,Manchester City,eng ENG,Jr. PL2 — Div. 1,6th,2,2,180,2.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Eric García
2018-2019,17,Manchester City,eng ENG,Jr. PL2 — Div. 1,8th,10,10,885,9.8,1,0,1,1,0,0,0,0,,,,,,,,0.10,0.00,0.10,0.10,0.10,,,,,,Matches,Eric García
2019-2020,18,Manchester City,eng ENG,Jr. PL2 — Div. 1,9th,3,3,270,3.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Eric García
2019-2020,18,Manchester City,eng ENG,1. Premier League,2nd,13,8,793,8.8,0,0,0,0,0,0,1,0,0.5,0.5,0.2,0.7,7,53,0,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08,Matches,Eric García
2020-2021,19,Manchester City,eng ENG,1. Premier League,1st,6,3,383,4.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,8,22,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,Eric García
2021-2022,20,Barcelona,es ESP,1. La Liga,2nd,26,23,2039,22.7,0,0,0,0,0,0,5,1,0.2,0.2,0.1,0.3,36,137,3,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches,Eric García
2022-2023,21,Barcelona,es ESP,1. La Liga,1st,24,15,1417,15.7,1,0,1,1,0,0,3,0,1.6,1.6,0.2,1.8,25,105,6,0.06,0.00,0.06,0.06,0.06,0.10,0.02,0.11,0.10,0.11,Matches,Eric García
2023-2024,22,Girona,es ESP,1. La Liga,3rd,30,30,2637,29.3,5,0,5,5,0,0,4,0,2.8,2.8,0.5,3.4,45,221,18,0.17,0.00,0.17,0.17,0.17,0.10,0.02,0.12,0.10,0.12,Matches,Eric García
2023-2024,22,Barcelona,es ESP,1. La Liga,2nd,2,0,57,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches,Eric García
2024-2025,23,Barcelona,es ESP,1. La Liga,1st,9,3,452,5.0,0,1,1,0,0,0,0,0,0.6,0.6,0.4,0.9,8,29,5,0.00,0.20,0.20,0.00,0.20,0.12,0.07,0.19,0.12,0.19,Matches,Eric García
6 Seasons,6 Seasons,3 Clubs,,2 Leagues,,110,82,7778,86.4,6,1,7,6,0,0,14,1,5.8,5.8,1.5,7.3,129,572,32,0.07,0.01,0.08,0.07,0.08,0.07,0.02,0.08,0.07,0.08,,Eric García
,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Eric García
Barcelona (4 Seasons),Barcelona (4 Seasons),Barcelona (4 Seasons),,1 League,,61,41,3965,44.1,1,1,2,1,0,0,9,1,2.4,2.4,0.7,3.1,69,276,14,0.02,0.02,0.05,0.02,0.05,0.05,0.02,0.07,0.05,0.07,,Eric García
Manchester City (3 Seasons),Manchester City (3 Seasons),Manchester City (3 Seasons),,1 League,,15,15,1335,14.8,1,0,1,1,0,0,0,0,,,,,,,,0.07,0.00,0.07,0.07,0.07,,,,,,,Eric García
Manchester City (2 Seasons),Manchester City (2 Seasons),Manchester City (2 Seasons),,1 League,,19,11,1176,13.1,0,0,0,0,0,0,1,0,0.6,0.6,0.2,0.8,15,75,0,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,,Eric García
Girona (1 Season),Girona (1 Season),Girona (1 Season),,1 League,,30,30,2637,29.3,5,0,5,5,0,0,4,0,2.8,2.8,0.5,3.4,45,221,18,0.17,0.00,0.17,0.17,0.17,0.10,0.02,0.12,0.10,0.12,,Eric García
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eric García
