Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Player
3 Seasons,3 Seasons,1 Club,,1 League,,18,14,1197.0,13.3,0.0,3.0,3.0,0.0,0.0,0.0,4.0,1.0,0.9,0.9,1.3,2.2,10.0,91.0,20.0,0.0,0.23,0.23,0.0,0.23,0.07,0.1,0.16,0.07,0.16,,Marc Casado,MF
2018-2019,19,Barcelona,es ESP,1. La Liga,1st,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Iñaki Peña,GK
2019-2020,20,Barcelona,es ESP,1. La Liga,2nd,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Iñaki Peña,GK
2020-2021,21,Barcelona,es ESP,1. La Liga,3rd,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Iñaki Peña,GK
2021-2022,22,Galatasaray,tr TUR,1. Süper Lig,13th,6,6,540,6.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Iñaki Peña,GK
2021-2022,22,Barcelona,es ESP,1. La Liga,2nd,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Iñaki Peña,GK
2022-2023,23,Barcelona,es ESP,1. La Liga,1st,2,0,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Iñaki Peña,GK
2023-2024,24,Barcelona,es ESP,1. La Liga,2nd,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Iñaki Peña,GK
2024-2025,25,Barcelona,es ESP,1. La Liga,3rd,14,13,1216,13.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Iñaki Peña,GK
7 Seasons,7 Seasons,2 Clubs,,2 Leagues,,32,29,2729,30.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Iñaki Peña,GK
,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Iñaki Peña,GK
Barcelona (7 Seasons),Barcelona (7 Seasons),Barcelona (7 Seasons),,1 League,,26,23,2189,24.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Iñaki Peña,GK
Galatasaray (1 Season),Galatasaray (1 Season),Galatasaray (1 Season),,1 League,,6,6,540,6.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,Iñaki Peña,GK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iñaki Peña,GK
La Liga (7 Seasons),La Liga (7 Seasons),La Liga (7 Seasons),,,,26,23,2189,24.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Iñaki Peña,GK
Süper Lig (1 Season),Süper Lig (1 Season),Süper Lig (1 Season),,,,6,6,540,6.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,Iñaki Peña,GK
2014-2015,16,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,5,0,71,0.8,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,Dani Olmo,"MF,FW"
2015-2016,17,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,1,0,45,0.5,0,1,1,0,0,0,0,0,,,,,,,,0.00,2.00,2.00,0.00,2.00,,,,,,Matches,Dani Olmo,"MF,FW"
2016-2017,18,Dinamo Zagreb,hr CRO,1. 1. HNL,2nd,14,8,836,9.3,1,4,5,1,0,0,2,0,,,,,,,,0.11,0.43,0.54,0.11,0.54,,,,,,Matches,Dani Olmo,"MF,FW"
2017-2018,19,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,26,23,2101,23.3,8,6,14,7,1,1,1,0,,,,,,,,0.34,0.26,0.60,0.30,0.56,,,,,,Matches,Dani Olmo,"MF,FW"
2018-2019,20,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,25,16,1590,17.7,8,0,8,8,0,0,4,0,,,,,,,,0.45,0.00,0.45,0.45,0.45,,,,,,Matches,Dani Olmo,"MF,FW"
2019-2020,21,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,9,9,741,8.2,3,0,3,3,0,0,1,0,,,,,,,,0.36,0.00,0.36,0.36,0.36,,,,,,Matches,Dani Olmo,"MF,FW"
2019-2020,21,RB Leipzig,de GER,1. Bundesliga,3rd,12,9,747,8.3,3,1,4,3,0,0,1,0,1.8,1.8,1.2,2.9,15,46,57,0.36,0.12,0.48,0.36,0.48,0.21,0.14,0.35,0.21,0.35,Matches,Dani Olmo,"MF,FW"
2020-2021,22,RB Leipzig,de GER,1. Bundesliga,2nd,32,26,2194,24.4,5,9,14,4,1,1,1,0,6.6,5.8,5.1,10.9,50,175,174,0.21,0.37,0.57,0.16,0.53,0.27,0.21,0.48,0.24,0.45,Matches,Dani Olmo,"MF,FW"
2021-2022,23,RB Leipzig,de GER,1. Bundesliga,4th,19,7,743,8.3,3,3,6,3,0,0,2,0,1.9,1.9,2.6,4.4,15,53,55,0.36,0.36,0.73,0.36,0.73,0.23,0.31,0.54,0.23,0.54,Matches,Dani Olmo,"MF,FW"
2022-2023,24,RB Leipzig,de GER,1. Bundesliga,3rd,23,15,1282,14.2,2,5,7,2,0,0,2,0,2.9,2.9,4.5,7.4,34,68,86,0.14,0.35,0.49,0.14,0.49,0.21,0.32,0.52,0.21,0.52,Matches,Dani Olmo,"MF,FW"
2023-2024,25,RB Leipzig,de GER,1. Bundesliga,4th,21,17,1449,16.1,4,5,9,4,0,0,0,0,3.3,3.3,5.4,8.8,60,68,111,0.25,0.31,0.56,0.25,0.56,0.21,0.34,0.55,0.21,0.55,Matches,Dani Olmo,"MF,FW"
2024-2025,26,Barcelona,es ESP,1. La Liga,3rd,11,7,623,6.9,5,0,5,5,0,0,0,0,2.4,2.4,1.7,4.1,16,42,52,0.72,0.00,0.72,0.72,0.72,0.35,0.24,0.60,0.35,0.60,Matches,Dani Olmo,"MF,FW"
11 Seasons,11 Seasons,3 Clubs,,3 Leagues,,198,137,12422,138.0,42,34,76,40,2,2,14,0,18.9,18.2,20.4,38.6,190,452,535,0.30,0.25,0.55,0.29,0.54,0.24,0.26,0.50,0.23,0.49,,Dani Olmo,"MF,FW"
,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Dani Olmo,"MF,FW"
Dinamo Zagreb (6 Seasons),Dinamo Zagreb (6 Seasons),Dinamo Zagreb (6 Seasons),,1 League,,80,56,5384,59.8,20,11,31,19,1,1,8,0,,,,,,,,0.33,0.18,0.52,0.32,0.50,,,,,,,Dani Olmo,"MF,FW"
RB Leipzig (5 Seasons),RB Leipzig (5 Seasons),RB Leipzig (5 Seasons),,1 League,,107,74,6415,71.3,17,23,40,16,1,1,6,0,16.5,15.7,18.8,34.5,174,410,483,0.24,0.32,0.56,0.22,0.55,0.23,0.26,0.49,0.22,0.48,,Dani Olmo,"MF,FW"
Barcelona (1 Season),Barcelona (1 Season),Barcelona (1 Season),,1 League,,11,7,623,6.9,5,0,5,5,0,0,0,0,2.4,2.4,1.7,4.1,16,42,52,0.72,0.00,0.72,0.72,0.72,0.35,0.24,0.60,0.35,0.60,,Dani Olmo,"MF,FW"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dani Olmo,"MF,FW"
1. HNL (6 Seasons),1. HNL (6 Seasons),1. HNL (6 Seasons),,,,80,56,5384,59.8,20,11,31,19,1,1,8,0,,,,,,,,0.33,0.18,0.52,0.32,0.50,,,,,,,Dani Olmo,"MF,FW"
Bundesliga (5 Seasons),Bundesliga (5 Seasons),Bundesliga (5 Seasons),,,,107,74,6415,71.3,17,23,40,16,1,1,6,0,16.5,15.7,18.8,34.5,174,410,483,0.24,0.32,0.56,0.22,0.55,0.23,0.26,0.49,0.22,0.48,,Dani Olmo,"MF,FW"
La Liga (1 Season),La Liga (1 Season),La Liga (1 Season),,,,11,7,623,6.9,5,0,5,5,0,0,0,0,2.4,2.4,1.7,4.1,16,42,52,0.72,0.00,0.72,0.72,0.72,0.35,0.24,0.60,0.35,0.60,,Dani Olmo,"MF,FW"
2017-2018,17,Valencia,es ESP,1. La Liga,4th,13,2,311,3.5,0,1,1,0,0,0,0,0,0.4,0.4,0.8,1.2,16,11,24,0.00,0.29,0.29,0.00,0.29,0.13,0.23,0.35,0.13,0.35,Matches,Ferrán Torres,"FW,MF"
2018-2019,18,Valencia,es ESP,1. La Liga,4th,24,8,850,9.4,2,1,3,2,0,0,5,0,1.5,1.5,1.7,3.2,35,27,70,0.21,0.11,0.32,0.21,0.32,0.16,0.18,0.34,0.16,0.34,Matches,Ferrán Torres,"FW,MF"
2019-2020,19,Valencia,es ESP,1. La Liga,9th,34,26,2251,25.0,4,5,9,4,0,0,5,0,4.0,4.0,4.9,8.9,87,76,194,0.16,0.20,0.36,0.16,0.36,0.16,0.20,0.36,0.16,0.36,Matches,Ferrán Torres,"FW,MF"
2020-2021,20,Manchester City,eng ENG,1. Premier League,1st,24,15,1306,14.5,7,2,9,7,0,0,1,0,4.9,4.9,2.2,7.1,30,31,118,0.48,0.14,0.62,0.48,0.62,0.33,0.15,0.49,0.33,0.49,Matches,Ferrán Torres,"FW,MF"
2021-2022,21,Manchester City,eng ENG,1. Premier League,1st,4,4,303,3.4,2,1,3,2,0,0,0,0,2.8,2.8,0.0,2.8,5,4,26,0.59,0.30,0.89,0.59,0.89,0.83,0.01,0.84,0.83,0.84,Matches,Ferrán Torres,"FW,MF"
2021-2022,21,Barcelona,es ESP,1. La Liga,2nd,18,17,1412,15.7,4,4,8,3,1,1,1,0,7.0,6.2,3.1,9.4,34,53,215,0.25,0.25,0.51,0.19,0.45,0.45,0.20,0.65,0.40,0.60,Matches,Ferrán Torres,"FW,MF"
2022-2023,22,Barcelona,es ESP,1. La Liga,1st,33,14,1392,15.5,4,2,6,4,0,1,5,1,4.9,4.1,4.1,8.2,43,44,180,0.26,0.13,0.39,0.26,0.39,0.32,0.26,0.58,0.27,0.53,Matches,Ferrán Torres,"FW,MF"
2023-2024,23,Barcelona,es ESP,1. La Liga,2nd,29,12,1211,13.5,7,2,9,7,0,0,2,0,5.5,5.5,2.7,8.2,30,44,113,0.52,0.15,0.67,0.52,0.67,0.41,0.20,0.61,0.41,0.61,Matches,Ferrán Torres,"FW,MF"
2024-2025,24,Barcelona,es ESP,1. La Liga,3rd,13,6,517,5.7,3,2,5,3,0,0,0,1,2.2,2.2,1.4,3.6,11,14,41,0.52,0.35,0.87,0.52,0.87,0.38,0.24,0.62,0.38,0.62,Matches,Ferrán Torres,"FW,MF"
8 Seasons,8 Seasons,3 Clubs,,2 Leagues,,192,104,9553,106.1,33,20,53,32,1,2,19,2,33.2,31.6,20.9,52.5,291,304,981,0.31,0.19,0.50,0.30,0.49,0.31,0.20,0.51,0.30,0.50,,Ferrán Torres,"FW,MF"
