Season,Age,Squad,Country,Comp,LgRank,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,Player
2019-2020,16,Las Palmas,es ESP,2. La Liga 2,9th,31.4,116,3.70,94,5,8,2,5,2,10,0.32,9,0,1,0,0,0,Matches,Pedri
2020-2021,17,Barcelona,es ESP,1. La Liga,3rd,26.8,87,3.24,72,4,5,2,4,0,12,0.45,8,0,0,1,3,0,Matches,Pedri
2021-2022,18,Barcelona,es ESP,1. La Liga,2nd,9.8,46,4.67,33,7,1,2,3,0,6,0.61,4,0,0,1,1,0,Matches,Pedri
2022-2023,19,Barcelona,es ESP,1. La Liga,1st,22.0,87,3.96,74,6,1,2,3,1,11,0.50,11,0,0,0,0,0,Matches,Pedri
2023-2024,20,Barcelona,es ESP,1. La Liga,2nd,16.4,69,4.21,63,1,1,1,3,0,6,0.37,6,0,0,0,0,0,Matches,Pedri
2024-2025,21,Barcelona,es ESP,1. La Liga,1st,13.8,53,3.83,49,2,0,1,1,0,7,0.51,7,0,0,0,0,0,Matches,Pedri
6 Seasons,6 Seasons,2 Clubs,,2 Leagues,,120.2,458,3.81,385,25,16,10,19,3,52,0.43,45,0,1,2,4,0,,Pedri
,,,Country,Comp,LgRank,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,Pedri
Barcelona (5 Seasons),Barcelona (5 Seasons),Barcelona (5 Seasons),,1 League,,88.9,342,3.85,291,20,8,8,14,1,42,0.47,36,0,0,2,4,0,,Pedri
Las Palmas (1 Season),Las Palmas (1 Season),Las Palmas (1 Season),,1 League,,31.4,116,3.70,94,5,8,2,5,2,10,0.32,9,0,1,0,0,0,,Pedri
,,,,,,,,,,,,,,,,,,,,,,,,Pedri
La Liga (5 Seasons),La Liga (5 Seasons),La Liga (5 Seasons),,,,88.9,342,3.85,291,20,8,8,14,1,42,0.47,36,0,0,2,4,0,,Pedri
La Liga 2 (1 Season),La Liga 2 (1 Season),La Liga 2 (1 Season),,,,31.4,116,3.70,94,5,8,2,5,2,10,0.32,9,0,1,0,0,0,,Pedri
2022-2023,15,Barcelona,es ESP,1. La Liga,1st,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches,Lamine Yamal
2023-2024,16,Barcelona,es ESP,1. La Liga,2nd,24.5,108,4.41,64,5,17,9,8,5,18,0.74,12,0,2,1,2,1,Matches,Lamine Yamal
2024-2025,17,Barcelona,es ESP,1. La Liga,1st,13.3,77,5.77,49,1,11,7,7,2,18,1.35,12,0,3,1,2,0,Matches,Lamine Yamal
3 Seasons,3 Seasons,1 Club,,1 League,,37.9,185,4.88,113,6,28,16,15,7,36,0.95,24,0,5,2,4,1,,Lamine Yamal
2021-2022,17,Barcelona,es ESP,1. La Liga,2nd,2.1,3,1.44,2,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches,Alejandro Balde
2022-2023,18,Barcelona,es ESP,1. La Liga,1st,27.5,66,2.4,50,0,8,2,5,1,8,0.29,8,0,0,0,0,0,Matches,Alejandro Balde
2023-2024,19,Barcelona,es ESP,1. La Liga,2nd,15.3,29,1.9,26,0,2,0,1,0,4,0.26,4,0,0,0,0,0,Matches,Alejandro Balde
2024-2025,20,Barcelona,es ESP,1. La Liga,1st,12.3,36,2.92,24,3,1,1,7,0,6,0.49,4,0,0,0,2,0,Matches,Alejandro Balde
4 Seasons,4 Seasons,1 Club,,1 League,,57.2,134,2.34,102,3,11,3,14,1,18,0.31,16,0,0,0,2,0,,Alejandro Balde
2023-2024,19,Barcelona,es ESP,1. La Liga,2nd,0.2,1,6.0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,Matches,Marc Casado
2024-2025,20,Barcelona,es ESP,1. La Liga,1st,11.4,30,2.64,26,0,0,1,1,2,6,0.53,6,0,0,0,0,0,Matches,Marc Casado
3 Seasons,3 Seasons,1 Club,,1 League,,11.5,31,2.69,26,0,0,1,2,2,6,0.52,6,0,0,0,0,0,,Marc Casado
2021-2022,22,Galatasaray,tr TUR,1. Süper Lig,13th,6.0,,,,,,,,,,,,,,,,,Matches,Iñaki Peña
