Season,Age,Squad,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,Player
2023-2024,22,Barcelona,es ESP,1. La Liga,2nd,0.6,48,42,6,2,0,2,0,4,0,0,0,0,46,0,0,Matches,Eric García,"MF,DF"
2024-2025,23,Barcelona,es ESP,1. La Liga,3rd,6.0,394,381,12,10,1,0,1,2,0,0,0,0,361,1,5,Matches,Eric García,"MF,DF"
6 Seasons,6 Seasons,3 Clubs,,2 Leagues,,87.4,6767,6441,312,164,13,55,14,134,0,0,0,0,6186,14,45,,Eric García,"MF,DF"
,,,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,Eric García,"MF,DF"
Barcelona (4 Seasons),Barcelona (4 Seasons),Barcelona (4 Seasons),,1 League,,45.0,3388,3258,126,85,5,35,3,36,0,0,0,0,3117,4,20,,Eric García,"MF,DF"
Manchester City (3 Seasons),Manchester City (3 Seasons),Manchester City (3 Seasons),,1 League,,14.8,,,,,,,,,,,,,,,,,Eric García,"MF,DF"
Manchester City (2 Seasons),Manchester City (2 Seasons),Manchester City (2 Seasons),,1 League,,13.1,1073,1060,11,8,1,2,1,3,0,0,0,0,1005,2,5,,Eric García,"MF,DF"
Girona (1 Season),Girona (1 Season),Girona (1 Season),,1 League,,29.3,2306,2123,175,71,7,18,10,95,0,0,0,0,2064,8,20,,Eric García,"MF,DF"
,,,,,,,,,,,,,,,,,,,,,,,Eric García,"MF,DF"
La Liga (4 Seasons),La Liga (4 Seasons),La Liga (4 Seasons),,,,74.3,5694,5381,301,156,12,53,13,131,0,0,0,0,5181,12,40,,Eric García,"MF,DF"
PL2 — Div. 1 (3 Seasons),PL2 — Div. 1 (3 Seasons),PL2 — Div. 1 (3 Seasons),,,,14.8,,,,,,,,,,,,,,,,,Eric García,"MF,DF"
Premier League (2 Seasons),Premier League (2 Seasons),Premier League (2 Seasons),,,,13.1,1073,1060,11,8,1,2,1,3,0,0,0,0,1005,2,5,,Eric García,"MF,DF"
2023-2024,20,Barcelona,es ESP,1. La Liga,2nd,16.1,631,614,12,1,3,10,17,3,0,0,0,0,522,5,20,Matches,Fermin López,"MF,FW"
2024-2025,21,Barcelona,es ESP,1. La Liga,3rd,4.4,184,179,4,2,1,1,9,1,0,0,0,0,154,1,2,Matches,Fermin López,"MF,FW"
2 Seasons,2 Seasons,1 Club,,1 League,,20.5,815,793,16,3,4,11,26,4,0,0,0,0,676,6,22,,Fermin López,"MF,FW"
2024-2025,22,Barcelona,es ESP,1. La Liga,3rd,4.3,278,239,39,3,1,0,10,36,0,0,0,0,229,0,8,Matches,Gerard Martín,DF
1 Season,1 Season,1 Club,,1 League,,4.3,278,239,39,3,1,0,10,36,0,0,0,0,229,0,8,,Gerard Martín,DF
2022-2023,19,Barcelona,es ESP,1. La Liga,1st,1.6,98,87,9,3,2,0,8,0,6,1,4,0,77,2,1,Matches,Pablo Torre,"MF,FW"
2023-2024,20,Girona,es ESP,1. La Liga,3rd,7.8,429,416,11,5,8,3,7,0,1,0,1,0,356,2,8,Matches,Pablo Torre,"MF,FW"
2024-2025,21,Barcelona,es ESP,1. La Liga,3rd,2.8,158,144,13,3,1,0,9,0,8,6,0,0,128,1,2,Matches,Pablo Torre,"MF,FW"
3 Seasons,3 Seasons,2 Clubs,,1 League,,12.1,685,647,33,11,11,3,24,0,15,7,5,0,561,5,11,,Pablo Torre,"MF,FW"
,,,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,Pablo Torre,"MF,FW"
Barcelona (2 Seasons),Barcelona (2 Seasons),Barcelona (2 Seasons),,1 League,,4.4,256,231,22,6,3,0,17,0,14,7,4,0,205,3,3,,Pablo Torre,"MF,FW"
Girona (1 Season),Girona (1 Season),Girona (1 Season),,1 League,,7.8,429,416,11,5,8,3,7,0,1,0,1,0,356,2,8,,Pablo Torre,"MF,FW"
2021-2022,16,Barcelona,es ESP,1. La Liga,2nd,25.7,1262,1237,17,5,11,12,48,10,2,0,0,0,1086,8,28,Matches,Gavi,MF
2022-2023,17,Barcelona,es ESP,1. La Liga,1st,28.1,1206,1157,45,13,8,13,38,9,0,0,0,0,1026,4,27,Matches,Gavi,MF
2023-2024,18,Barcelona,es ESP,1. La Liga,2nd,10.5,541,514,26,18,3,6,8,6,0,0,0,0,489,1,8,Matches,Gavi,MF
2024-2025,19,Barcelona,es ESP,1. La Liga,3rd,2.9,176,172,4,1,1,1,4,3,0,0,0,0,148,0,3,Matches,Gavi,MF
4 Seasons,4 Seasons,1 Club,,1 League,,67.2,3185,3080,92,37,23,32,98,28,2,0,0,0,2749,13,66,,Gavi,MF
2024-2025,17,Barcelona,es ESP,1. La Liga,3rd,2.7,160,154,6,6,0,1,0,0,0,0,0,0,148,0,2,Matches,Marc Bernal,MF
1 Season,1 Season,1 Club,,1 League,,2.7,160,154,6,6,0,1,0,0,0,0,0,0,148,0,2,,Marc Bernal,MF
2023-2024,16,Barcelona,es ESP,1. La Liga,2nd,3.5,230,203,27,6,0,2,6,21,0,0,0,0,200,0,2,Matches,Héctor Fort,DF
2024-2025,17,Barcelona,es ESP,1. La Liga,3rd,3.1,227,197,29,2,0,1,5,27,0,0,0,0,203,1,4,Matches,Héctor Fort,DF
2 Seasons,2 Seasons,1 Club,,1 League,,6.6,457,400,56,8,0,3,11,48,0,0,0,0,403,1,6,,Héctor Fort,DF
2024-2025,19,Barcelona,es ESP,1. La Liga,3rd,1.9,180,173,7,4,0,0,0,1,0,0,0,0,171,0,0,Matches,Sergi Dominguez,DF
1 Season,1 Season,1 Club,,1 League,,1.9,180,173,7,4,0,0,0,1,0,0,0,0,171,0,0,,Sergi Dominguez,DF
2014-2015,17,Willem II,nl NED,1. Eredivisie,9th,0.3,,,,,,,,,,,,,,,,Matches,Frenkie de Jong,MF
2015-2016,18,Willem II,nl NED,1. Eredivisie,16th,0.2,,,,,,,,,,,,,,,,Matches,Frenkie de Jong,MF
2015-2016,18,Jong Ajax,nl NED,2. Eerste Divisie,9th,14.3,,,,,,,,,,,,,,,,Matches,Frenkie de Jong,MF
2016-2017,19,Jong Ajax,nl NED,2. Eerste Divisie,2nd,29.0,,,,,,,0,,,,,,,,,Matches,Frenkie de Jong,MF
2016-2017,19,Ajax,nl NED,1. Eredivisie,2nd,1.7,,,,,,,0,,,,,,,,,Matches,Frenkie de Jong,MF
2017-2018,20,Ajax,nl NED,1. Eredivisie,2nd,17.3,,,,,,,0,,,,,,,,,Matches,Frenkie de Jong,MF
2018-2019,21,Ajax,nl NED,1. Eredivisie,1st,27.9,2511,2445,62,35,10,17,20,24,3,0,2,0,2274,4,22,Matches,Frenkie de Jong,MF
2019-2020,22,Barcelona,es ESP,1. La Liga,2nd,23.5,1660,1629,26,9,6,8,3,16,1,0,0,0,1519,5,19,Matches,Frenkie de Jong,MF
2020-2021,23,Barcelona,es ESP,1. La Liga,3rd,35.0,2821,2759,48,32,2,9,7,15,1,1,0,0,2575,14,28,Matches,Frenkie de Jong,MF
2021-2022,24,Barcelona,es ESP,1. La Liga,2nd,27.5,1680,1643,30,19,9,12,31,4,7,3,3,0,1504,7,20,Matches,Frenkie de Jong,MF
2022-2023,25,Barcelona,es ESP,1. La Liga,1st,28.2,2320,2246,63,39,19,17,37,15,8,2,2,0,2089,11,24,Matches,Frenkie de Jong,MF
2023-2024,26,Barcelona,es ESP,1. La Liga,2nd,18.2,1674,1619,51,42,12,7,25,6,1,1,0,0,1542,4,14,Matches,Frenkie de Jong,MF
2024-2025,27,Barcelona,es ESP,1. La Liga,3rd,2.6,186,178,7,6,1,0,2,1,0,0,0,0,173,1,0,Matches,Frenkie de Jong,MF
11 Seasons,11 Seasons,4 Clubs,,3 Leagues,,225.6,12852,12519,287,182,59,70,125,81,21,7,7,0,11676,46,127,,Frenkie de Jong,MF
,,,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,Frenkie de Jong,MF
Barcelona (6 Seasons),Barcelona (6 Seasons),Barcelona (6 Seasons),,1 League,,135.0,10341,10074,225,147,49,53,105,57,18,7,5,0,9402,42,105,,Frenkie de Jong,MF
Ajax (3 Seasons),Ajax (3 Seasons),Ajax (3 Seasons),,1 League,,46.9,2511,2445,62,35,10,17,20,24,3,0,2,0,2274,4,22,,Frenkie de Jong,MF
Jong Ajax (2 Seasons),Jong Ajax (2 Seasons),Jong Ajax (2 Seasons),,1 League,,43.3,,,,,,,0,,,,,,,,,,Frenkie de Jong,MF
Willem II (2 Seasons),Willem II (2 Seasons),Willem II (2 Seasons),,1 League,,0.5,,,,,,,,,,,,,,,,,Frenkie de Jong,MF
,,,,,,,,,,,,,,,,,,,,,,,Frenkie de Jong,MF
La Liga (6 Seasons),La Liga (6 Seasons),La Liga (6 Seasons),,,,135.0,10341,10074,225,147,49,53,105,57,18,7,5,0,9402,42,105,,Frenkie de Jong,MF
Eredivisie (5 Seasons),Eredivisie (5 Seasons),Eredivisie (5 Seasons),,,,47.4,2511,2445,62,35,10,17,20,24,3,0,2,0,2274,4,22,,Frenkie de Jong,MF
Eerste Divisie (2 Seasons),Eerste Divisie (2 Seasons),Eerste Divisie (2 Seasons),,,,43.3,,,,,,,0,,,,,,,,,,Frenkie de Jong,MF
2019-2020,17,Girona,es ESP,2. La Liga 2,5th,0.3,4,3,1,0,0,0,0,0,0,0,0,0,4,0,0,Matches,Pau Victor Delgado,FW
2020-2021,18,Girona,es ESP,2. La Liga 2,5th,1.2,28,28,0,0,0,0,1,0,0,0,0,0,19,0,1,Matches,Pau Victor Delgado,FW
2024-2025,22,Barcelona,es ESP,1. La Liga,3rd,2.2,85,82,3,0,0,0,2,1,0,0,0,0,66,0,2,Matches,Pau Victor Delgado,FW
6 Seasons,6 Seasons,2 Clubs,,2 Leagues,,3.6,117,113,4,0,0,0,3,1,0,0,0,0,89,0,3,,Pau Victor Delgado,FW
,,,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,Pau Victor Delgado,FW
Girona (4 Seasons),Girona (4 Seasons),Girona (4 Seasons),,2 Leagues,,1.5,32,31,1,0,0,0,1,0,0,0,0,0,23,0,1,,Pau Victor Delgado,FW
Barcelona (2 Seasons),Barcelona (2 Seasons),Barcelona (2 Seasons),,1 League,,2.2,85,82,3,0,0,0,2,1,0,0,0,0,66,0,2,,Pau Victor Delgado,FW
,,,,,,,,,,,,,,,,,,,,,,,Pau Victor Delgado,FW
La Liga (3 Seasons),La Liga (3 Seasons),La Liga (3 Seasons),,,,2.2,85,82,3,0,0,0,2,1,0,0,0,0,66,0,2,,Pau Victor Delgado,FW
La Liga 2 (3 Seasons),La Liga 2 (3 Seasons),La Liga 2 (3 Seasons),,,,1.5,32,31,1,0,0,0,1,0,0,0,0,0,23,0,1,,Pau Victor Delgado,FW
2019-2020,16,Barcelona,es ESP,1. La Liga,2nd,11.4,530,512,15,1,0,4,21,4,10,8,0,0,438,3,9,Matches,Ansu Fati,FW
2020-2021,17,Barcelona,es ESP,1. La Liga,3rd,4.8,202,194,8,0,3,0,4,1,4,2,0,0,168,0,2,Matches,Ansu Fati,FW
2021-2022,18,Barcelona,es ESP,1. La Liga,2nd,3.7,160,148,10,2,1,1,3,1,4,0,1,0,133,2,7,Matches,Ansu Fati,FW
2022-2023,19,Barcelona,es ESP,1. La Liga,1st,15.5,609,590,14,3,1,3,9,3,5,1,0,0,509,5,21,Matches,Ansu Fati,FW
2023-2024,20,Brighton,eng ENG,1. Premier League,11th,5.8,210,203,4,2,1,1,3,0,0,0,0,0,178,3,10,Matches,Ansu Fati,FW
2023-2024,20,Barcelona,es ESP,1. La Liga,2nd,0.6,28,25,3,1,0,0,0,1,1,0,0,0,24,0,0,Matches,Ansu Fati,FW
2024-2025,21,Barcelona,es ESP,1. La Liga,3rd,1.4,63,59,3,3,2,0,0,0,0,0,0,0,53,1,1,Matches,Ansu Fati,FW
6 Seasons,6 Seasons,2 Clubs,,2 Leagues,,43.2,1802,1731,57,12,8,9,40,10,24,11,1,0,1503,14,50,,Ansu Fati,FW
,,,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,Ansu Fati,FW
Barcelona (6 Seasons),Barcelona (6 Seasons),Barcelona (6 Seasons),,1 League,,37.4,1592,1528,53,10,7,8,37,10,24,11,1,0,1325,11,40,,Ansu Fati,FW
Brighton (1 Season),Brighton (1 Season),Brighton (1 Season),,1 League,,5.8,210,203,4,2,1,1,3,0,0,0,0,0,178,3,10,,Ansu Fati,FW
,,,,,,,,,,,,,,,,,,,,,,,Ansu Fati,FW
La Liga (6 Seasons),La Liga (6 Seasons),La Liga (6 Seasons),,,,37.4,1592,1528,53,10,7,8,37,10,24,11,1,0,1325,11,40,,Ansu Fati,FW
Premier League (1 Season),Premier League (1 Season),Premier League (1 Season),,,,5.8,210,203,4,2,1,1,3,0,0,0,0,0,178,3,10,,Ansu Fati,FW
2014-2015,18,Chelsea,eng ENG,1. Premier League,1st,0.1,,,,,,,,,,,,,,,,Matches,Andreas Christensen,DF
2015-2016,19,Gladbach,de GER,1. Bundesliga,4th,31.0,,,,,,,,,,,,,,,,Matches,Andreas Christensen,DF
2016-2017,20,Gladbach,de GER,1. Bundesliga,9th,30.9,,,,,,,1,,,,,,,,,Matches,Andreas Christensen,DF
2017-2018,21,Chelsea,eng ENG,1. Premier League,5th,23.2,1357,1314,38,35,1,1,0,3,0,0,0,0,1263,5,6,Matches,Andreas Christensen,DF
2018-2019,22,Chelsea,eng ENG,1. Premier League,3rd,6.9,459,445,14,13,0,3,0,1,0,0,0,0,426,0,4,Matches,Andreas Christensen,DF
2019-2020,23,Chelsea,eng ENG,1. Premier League,4th,19.5,1314,1274,38,33,2,10,0,5,0,0,0,0,1199,2,3,Matches,Andreas Christensen,DF
2020-2021,24,Chelsea,eng ENG,1. Premier League,4th,15.2,1149,1117,29,24,1,4,0,5,0,0,0,0,1046,3,5,Matches,Andreas Christensen,DF
2021-2022,25,Chelsea,eng ENG,1. Premier League,3rd,16.6,1336,1289,46,33,1,4,1,13,0,0,0,0,1201,1,5,Matches,Andreas Christensen,DF
2022-2023,26,Barcelona,es ESP,1. La Liga,1st,19.6,1507,1445,62,48,3,14,1,10,0,0,0,0,1416,0,7,Matches,Andreas Christensen,DF
2023-2024,27,Barcelona,es ESP,1. La Liga,2nd,22.0,1569,1514,55,41,0,5,0,5,0,0,0,0,1480,0,11,Matches,Andreas Christensen,DF
2024-2025,28,Barcelona,es ESP,1. La Liga,3rd,0.3,16,15,1,1,0,0,0,0,0,0,0,0,14,0,0,Matches,Andreas Christensen,DF
11 Seasons,11 Seasons,3 Clubs,,3 Leagues,,185.2,8707,8413,283,228,8,41,3,42,0,0,0,0,8045,11,41,,Andreas Christensen,DF
,,,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,Andreas Christensen,DF
Chelsea (6 Seasons),Chelsea (6 Seasons),Chelsea (6 Seasons),,1 League,,81.5,5615,5439,165,138,5,22,1,27,0,0,0,0,5135,11,23,,Andreas Christensen,DF
Barcelona (3 Seasons),Barcelona (3 Seasons),Barcelona (3 Seasons),,1 League,,41.8,3092,2974,118,90,3,19,1,15,0,0,0,0,2910,0,18,,Andreas Christensen,DF
Gladbach (2 Seasons),Gladbach (2 Seasons),Gladbach (2 Seasons),,1 League,,61.9,,,,,,,1,,,,,,,,,,Andreas Christensen,DF
,,,,,,,,,,,,,,,,,,,,,,,Andreas Christensen,DF
Premier League (6 Seasons),Premier League (6 Seasons),Premier League (6 Seasons),,,,81.5,5615,5439,165,138,5,22,1,27,0,0,0,0,5135,11,23,,Andreas Christensen,DF
La Liga (3 Seasons),La Liga (3 Seasons),La Liga (3 Seasons),,,,41.8,3092,2974,118,90,3,19,1,15,0,0,0,0,2910,0,18,,Andreas Christensen,DF
Bundesliga (2 Seasons),Bundesliga (2 Seasons),Bundesliga (2 Seasons),,,,61.9,,,,,,,1,,,,,,,,,,Andreas Christensen,DF
2017,17,Boston River,uy URU,1. Uruguayan Primera División,6th,5.9,,,,,,,,,,,,,,,,Matches,Ronald Araújo,DF
2018,18,Boston River,uy URU,1. Uruguayan Primera División,13th,17.7,,,,,,,,,,,,,,,,Matches,Ronald Araújo,DF
2019-2020,20,Barcelona,es ESP,1. La Liga,2nd,2.6,208,204,4,2,0,0,0,1,0,0,0,0,195,0,1,Matches,Ronald Araújo,DF
2020-2021,21,Barcelona,es ESP,1. La Liga,3rd,16.8,1075,1037,37,28,0,6,0,9,0,0,0,0,985,1,4,Matches,Ronald Araújo,DF
2021-2022,22,Barcelona,es ESP,1. La Liga,2nd,25.2,1662,1566,92,47,0,21,7,44,0,0,0,0,1491,4,6,Matches,Ronald Araújo,DF
2022-2023,23,Barcelona,es ESP,1. La Liga,1st,20.0,1287,1207,75,41,2,19,5,25,0,0,0,0,1139,5,6,Matches,Ronald Araújo,DF
2023-2024,24,Barcelona,es ESP,1. La Liga,2nd,22.2,1641,1540,93,45,3,14,8,37,0,0,0,0,1458,8,6,Matches,Ronald Araújo,DF
8 Seasons,8 Seasons,2 Clubs,,2 Leagues,,110.5,5873,5554,301,163,5,60,20,116,0,0,0,0,5268,18,23,,Ronald Araújo,DF
,,,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,Ronald Araújo,DF
Barcelona (6 Seasons),Barcelona (6 Seasons),Barcelona (6 Seasons),,1 League,,86.9,5873,5554,301,163,5,60,20,116,0,0,0,0,5268,18,23,,Ronald Araújo,DF
Boston River (2 Seasons),Boston River (2 Seasons),Boston River (2 Seasons),,1 League,,23.6,,,,,,,,,,,,,,,,,Ronald Araújo,DF
,,,,,,,,,,,,,,,,,,,,,,,Ronald Araújo,DF
La Liga (6 Seasons),La Liga (6 Seasons),La Liga (6 Seasons),,,,86.9,5873,5554,301,163,5,60,20,116,0,0,0,0,5268,18,23,,Ronald Araújo,DF
Uruguayan Primera División (2 Seasons),Uruguayan Primera División (2 Seasons),Uruguayan Primera División (2 Seasons),,,,23.6,,,,,,,,,,,,,,,,,Ronald Araújo,DF
2009-2010,19,Brentford,eng ENG,3. League One,9th,27.7,,,,,,,,,,,,,,,,Matches,Wojciech Szczęsny,GK
2010-2011,20,Arsenal,eng ENG,1. Premier League,4th,15.0,,,,,,,,,,,,,,,,Matches,Wojciech Szczęsny,GK
2011-2012,21,Arsenal,eng ENG,1. Premier League,3rd,38.0,,,,,,,,,,,,,,,,Matches,Wojciech Szczęsny,GK
2012-2013,22,Arsenal,eng ENG,1. Premier League,4th,25.0,,,,,,,,,,,,,,,,Matches,Wojciech Szczęsny,GK
2013-2014,23,Arsenal,eng ENG,1. Premier League,4th,37.0,,,,,,,,,,,,,,,,Matches,Wojciech Szczęsny,GK
2014-2015,24,Arsenal,eng ENG,1. Premier League,3rd,16.6,,,,,,,,,,,,,,,,Matches,Wojciech Szczęsny,GK
2015-2016,25,Roma,it ITA,1. Serie A,3rd,34.0,,,,,,,,,,,,,,,,Matches,Wojciech Szczęsny,GK
2016-2017,26,Roma,it ITA,1. Serie A,2nd,38.0,,,,,,,0,,,,,,,,,Matches,Wojciech Szczęsny,GK
2017-2018,27,Juventus,it ITA,1. Serie A,1st,17.0,460,331,126,30,0,3,0,0,0,0,0,0,364,3,0,Matches,Wojciech Szczęsny,GK
2018-2019,28,Juventus,it ITA,1. Serie A,1st,28.0,745,490,252,47,0,8,0,0,0,0,0,0,613,3,0,Matches,Wojciech Szczęsny,GK
2019-2020,29,Juventus,it ITA,1. Serie A,1st,28.8,758,515,240,45,0,5,0,0,0,0,0,0,656,3,1,Matches,Wojciech Szczęsny,GK
2020-2021,30,Juventus,it ITA,1. Serie A,4th,29.7,1016,800,215,36,0,3,0,0,0,0,0,0,919,1,3,Matches,Wojciech Szczęsny,GK
2021-2022,31,Juventus,it ITA,1. Serie A,4th,33.0,1011,781,227,55,0,4,0,0,0,0,0,0,830,3,3,Matches,Wojciech Szczęsny,GK
2022-2023,32,Juventus,it ITA,1. Serie A,7th,27.5,789,581,206,52,0,5,0,1,0,0,0,0,625,2,1,Matches,Wojciech Szczęsny,GK
2023-2024,33,Juventus,it ITA,1. Serie A,3rd,35.0,1006,771,231,57,0,5,0,0,0,0,0,0,780,4,0,Matches,Wojciech Szczęsny,GK
16 Seasons,16 Seasons,5 Clubs,,4 Leagues,,430.4,5785,4269,1497,322,0,33,0,1,0,0,0,0,4787,19,8,,Wojciech Szczęsny,GK
,,,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,Wojciech Szczęsny,GK
Juventus (7 Seasons),Juventus (7 Seasons),Juventus (7 Seasons),,1 League,,199.0,5785,4269,1497,322,0,33,0,1,0,0,0,0,4787,19,8,,Wojciech Szczęsny,GK
Arsenal (5 Seasons),Arsenal (5 Seasons),Arsenal (5 Seasons),,1 League,,131.6,,,,,,,,,,,,,,,,,Wojciech Szczęsny,GK
Roma (2 Seasons),Roma (2 Seasons),Roma (2 Seasons),,1 League,,72.0,,,,,,,0,,,,,,,,,,Wojciech Szczęsny,GK
Brentford (1 Season),Brentford (1 Season),Brentford (1 Season),,1 League,,27.7,,,,,,,,,,,,,,,,,Wojciech Szczęsny,GK
Barcelona (1 Season),Barcelona (1 Season),Barcelona (1 Season),,1 League,,,,,,,,,,,,,,,,,,,Wojciech Szczęsny,GK
,,,,,,,,,,,,,,,,,,,,,,,Wojciech Szczęsny,GK
Serie A (9 Seasons),Serie A (9 Seasons),Serie A (9 Seasons),,,,271.0,5785,4269,1497,322,0,33,0,1,0,0,0,0,4787,19,8,,Wojciech Szczęsny,GK
Premier League (5 Seasons),Premier League (5 Seasons),Premier League (5 Seasons),,,,131.6,,,,,,,,,,,,,,,,,Wojciech Szczęsny,GK
League One (1 Season),League One (1 Season),League One (1 Season),,,,27.7,,,,,,,,,,,,,,,,,Wojciech Szczęsny,GK
La Liga (1 Season),La Liga (1 Season),La Liga (1 Season),,,,,,,,,,,,,,,,,,,,,Wojciech Szczęsny,GK
2022-2023,18,FC Andorra,es ESP,2. La Liga 2,7th,3.4,234,209,25,6,0,1,8,19,0,0,0,0,206,0,3,Matches,Álex Valle,DF
2023-2024,19,Levante,es ESP,2. La Liga 2,8th,25.6,1495,1226,266,34,0,6,61,228,4,0,0,0,1147,3,46,Matches,Álex Valle,DF
2024-2025,20,Celtic,sct SCO,1. Premiership,1st,6.1,,,,,,,22,,,,,,,,,Matches,Álex Valle,DF
3 Seasons,3 Seasons,4 Clubs,,3 Leagues,,35.1,1729,1435,291,40,0,7,91,247,4,0,0,0,1353,3,49,,Álex Valle,DF
,,,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,Álex Valle,DF
Levante (1 Season),Levante (1 Season),Levante (1 Season),,1 League,,25.6,1495,1226,266,34,0,6,61,228,4,0,0,0,1147,3,46,,Álex Valle,DF
Celtic (1 Season),Celtic (1 Season),Celtic (1 Season),,1 League,,6.1,,,,,,,22,,,,,,,,,,Álex Valle,DF
FC Andorra (1 Season),FC Andorra (1 Season),FC Andorra (1 Season),,1 League,,3.4,234,209,25,6,0,1,8,19,0,0,0,0,206,0,3,,Álex Valle,DF
Barcelona (1 Season),Barcelona (1 Season),Barcelona (1 Season),,1 League,,,,,,,,,,,,,,,,,,,Álex Valle,DF
,,,,,,,,,,,,,,,,,,,,,,,Álex Valle,DF
La Liga 2 (2 Seasons),La Liga 2 (2 Seasons),La Liga 2 (2 Seasons),,,,29.0,1729,1435,291,40,0,7,69,247,4,0,0,0,1353,3,49,,Álex Valle,DF
Premiership (1 Season),Premiership (1 Season),Premiership (1 Season),,,,6.1,,,,,,,22,,,,,,,,,,Álex Valle,DF
La Liga (1 Season),La Liga (1 Season),La Liga (1 Season),,,,,,,,,,,,,,,,,,,,,Álex Valle,DF
