Season,Age,Squad,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,Player
2023-2024,20,Barcelona,es ESP,1. La Liga,2nd,16.4,1189,1138,44,23,11,5,9,8,3,0,2,0,1035,7,23,Matches,Pedri
2024-2025,21,Barcelona,es ESP,1. La Liga,1st,13.8,925,883,40,24,9,8,18,4,7,3,1,0,803,2,16,Matches,Pedri
6 Seasons,6 Seasons,2 Clubs,,2 Leagues,,120.2,7239,6928,281,99,68,66,128,51,89,18,31,0,6149,30,155,,Pedri
,,,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,Pedri
Barcelona (5 Seasons),Barcelona (5 Seasons),Barcelona (5 Seasons),,1 League,,88.9,5890,5647,218,85,57,52,81,38,67,11,23,0,5100,25,112,,Pedri
Las Palmas (1 Season),Las Palmas (1 Season),Las Palmas (1 Season),,1 League,,31.4,1349,1281,63,14,11,14,47,13,22,7,8,0,1049,5,43,,Pedri
,,,,,,,,,,,,,,,,,,,,,,,Pedri
La Liga (5 Seasons),La Liga (5 Seasons),La Liga (5 Seasons),,,,88.9,5890,5647,218,85,57,52,81,38,67,11,23,0,5100,25,112,,Pedri
La Liga 2 (1 Season),La Liga 2 (1 Season),La Liga 2 (1 Season),,,,31.4,1349,1281,63,14,11,14,47,13,22,7,8,0,1049,5,43,,Pedri
2022-2023,15,Barcelona,es ESP,1. La Liga,1st,0.1,9,9,0,0,1,0,1,0,0,0,0,0,8,0,0,Matches,Lamine Yamal
2023-2024,16,Barcelona,es ESP,1. La Liga,2nd,24.5,1132,1091,36,4,6,6,87,14,18,6,4,1,903,5,22,Matches,Lamine Yamal
2024-2025,17,Barcelona,es ESP,1. La Liga,1st,13.3,548,529,12,2,12,2,36,6,4,0,0,0,407,7,28,Matches,Lamine Yamal
3 Seasons,3 Seasons,1 Club,,1 League,,37.9,1689,1629,48,6,19,8,124,20,22,6,4,1,1318,12,50,,Lamine Yamal
2021-2022,17,Barcelona,es ESP,1. La Liga,2nd,2.1,150,143,7,2,0,0,6,5,0,0,0,0,138,0,2,Matches,Alejandro Balde
2022-2023,18,Barcelona,es ESP,1. La Liga,1st,27.5,1670,1444,217,32,0,5,67,185,0,0,0,0,1482,9,19,Matches,Alejandro Balde
2023-2024,19,Barcelona,es ESP,1. La Liga,2nd,15.3,817,694,122,12,1,3,37,110,0,0,0,0,694,1,16,Matches,Alejandro Balde
2024-2025,20,Barcelona,es ESP,1. La Liga,1st,12.3,626,525,97,21,1,2,29,76,0,0,0,0,538,4,14,Matches,Alejandro Balde
4 Seasons,4 Seasons,1 Club,,1 League,,57.2,3263,2806,443,67,2,10,139,376,0,0,0,0,2852,14,51,,Alejandro Balde
2023-2024,19,Barcelona,es ESP,1. La Liga,2nd,0.2,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches,Marc Casado
2024-2025,20,Barcelona,es ESP,1. La Liga,1st,11.4,815,793,22,19,4,6,5,3,0,0,0,0,728,0,8,Matches,Marc Casado
3 Seasons,3 Seasons,1 Club,,1 League,,11.5,821,799,22,19,4,6,5,3,0,0,0,0,734,0,8,,Marc Casado
2021-2022,22,Galatasaray,tr TUR,1. Süper Lig,13th,6.0,,,,,,,0,,,,,,,,,Matches,Iñaki Peña
2022-2023,23,Barcelona,es ESP,1. La Liga,1st,0.8,27,22,5,1,0,0,0,0,0,0,0,0,25,0,0,Matches,Iñaki Peña
2023-2024,24,Barcelona,es ESP,1. La Liga,2nd,10.0,297,230,67,19,0,0,0,0,0,0,0,0,259,0,0,Matches,Iñaki Peña
2024-2025,25,Barcelona,es ESP,1. La Liga,1st,11.5,501,409,92,24,0,0,0,0,0,0,0,0,442,0,0,Matches,Iñaki Peña
7 Seasons,7 Seasons,2 Clubs,,2 Leagues,,28.3,825,661,164,44,0,0,0,0,0,0,0,0,726,0,0,,Iñaki Peña
,,,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,Iñaki Peña
Barcelona (7 Seasons),Barcelona (7 Seasons),Barcelona (7 Seasons),,1 League,,22.3,825,661,164,44,0,0,0,0,0,0,0,0,726,0,0,,Iñaki Peña
Galatasaray (1 Season),Galatasaray (1 Season),Galatasaray (1 Season),,1 League,,6.0,,,,,,,0,,,,,,,,,,Iñaki Peña
,,,,,,,,,,,,,,,,,,,,,,,Iñaki Peña
La Liga (7 Seasons),La Liga (7 Seasons),La Liga (7 Seasons),,,,22.3,825,661,164,44,0,0,0,0,0,0,0,0,726,0,0,,Iñaki Peña
