Season,Age,Squad,Country,Comp,LgRank,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,Player
Premier League (6 Seasons),Premier League (6 Seasons),Premier League (6 Seasons),,,,81.5,6339,632,3020,3162,195,49,6339,21,21,100.0,0,0.0,3891,19833,11426,63,55,1,28,4,4488,10,,Andreas Christensen,DF
La Liga (3 Seasons),La Liga (3 Seasons),La Liga (3 Seasons),,,,41.8,3393,238,1204,2047,154,31,3393,8,3,37.5,5,62.5,2280,10866,6173,42,33,1,16,10,2591,11,,Andreas Christensen,DF
Bundesliga (2 Seasons),Bundesliga (2 Seasons),Bundesliga (2 Seasons),,,,61.9,,,,,,,,,,,,,,,,,,,,,,,,Andreas Christensen,DF
2017,17,Boston River,uy URU,1. Uruguayan Primera División,6th,5.9,,,,,,,,,,,,,,,,,,,,,,,Matches,Ronald Araújo,DF
2018,18,Boston River,uy URU,1. Uruguayan Primera División,13th,17.7,,,,,,,,,,,,,,,,,,,,,,,Matches,Ronald Araújo,DF
2019-2020,20,Barcelona,es ESP,1. La Liga,2nd,2.6,229,30,103,125,1,1,229,1,1,100.0,0,0.0,181,707,386,1,0,0,0,1,184,0,Matches,Ronald Araújo,DF
2020-2021,21,Barcelona,es ESP,1. La Liga,3rd,16.8,1213,151,536,640,42,12,1213,8,8,100.0,0,0.0,815,3850,2161,9,7,1,6,2,879,2,Matches,Ronald Araújo,DF
2021-2022,22,Barcelona,es ESP,1. La Liga,2nd,25.2,1868,181,790,996,94,28,1868,8,6,75.0,2,25.0,1200,6865,4382,30,19,4,17,6,1328,14,Matches,Ronald Araújo,DF
2022-2023,23,Barcelona,es ESP,1. La Liga,1st,20.0,1437,109,487,882,77,29,1437,14,10,71.4,3,21.4,957,5938,3727,29,13,1,9,6,1022,11,Matches,Ronald Araújo,DF
2023-2024,24,Barcelona,es ESP,1. La Liga,2nd,22.2,1811,157,732,1000,92,34,1811,11,8,72.7,2,18.2,1177,6282,3750,24,14,2,14,4,1350,11,Matches,Ronald Araújo,DF
8 Seasons,8 Seasons,2 Clubs,,2 Leagues,,110.5,6558,628,2648,3643,306,104,6558,42,33,78.6,7,16.7,4330,23642,14406,93,53,8,46,19,4763,38,,Ronald Araújo,DF
,,,Country,Comp,LgRank,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,Ronald Araújo,DF
Barcelona (6 Seasons),Barcelona (6 Seasons),Barcelona (6 Seasons),,1 League,,86.9,6558,628,2648,3643,306,104,6558,42,33,78.6,7,16.7,4330,23642,14406,93,53,8,46,19,4763,38,,Ronald Araújo,DF
Boston River (2 Seasons),Boston River (2 Seasons),Boston River (2 Seasons),,1 League,,23.6,,,,,,,,,,,,,,,,,,,,,,,,Ronald Araújo,DF
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ronald Araújo,DF
