Season,Age,Squad,Country,Comp,LgRank,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Player,Position
2020-2021,25,Hellas Verona,it ITA,1. Serie A,10th,34,2765,81,80.8,30.7,32,85,23,2,27,0,1.24,37,41,-4,-0.13,-0.41,37.0,41.3,-4.3,-0.14,-0.17,Antonín Barák,MF
2021-2022,26,Hellas Verona,it ITA,1. Serie A,9th,29,2340,81,68.4,26.0,27,85,20,2,26,1,1.52,48,42,+6,+0.23,+0.23,35.5,34.0,+1.5,+0.06,+0.07,Antonín Barák,MF
2022-2023,27,Hellas Verona,it ITA,1. Serie A,18th,1,25,25,0.7,0.3,0,,0,1,25,0,0.00,0,1,-1,-3.60,-2.88,0.1,0.6,-0.5,-1.77,-1.41,Antonín Barák,MF
2022-2023,27,Fiorentina,it ITA,1. Serie A,8th,30,1799,60,52.6,20.0,21,78,6,9,18,4,1.33,25,26,-1,-0.05,-0.66,28.2,24.1,+4.1,+0.21,-0.21,Antonín Barák,MF
2023-2024,28,Fiorentina,it ITA,1. Serie A,8th,21,808,38,23.6,9.0,8,77,4,13,15,14,1.62,15,10,+5,+0.56,+0.21,14.4,10.5,+3.9,+0.44,+0.45,Antonín Barák,MF
2024-2025,29,Fiorentina,it ITA,1. Serie A,4th,1,54,54,4.3,0.6,1,54,0,0,,1,1.00,0,0,0,0.00,-1.34,0.8,0.2,+0.6,+0.93,+0.44,Antonín Barák,MF
2024-2025,29,Kasımpaşa,tr TUR,1. Süper Lig,14th,10,406,41,32.2,4.5,5,67,1,5,14,0,1.10,3,7,-4,-0.89,-0.99,,,,,,Antonín Barák,MF
2022-2023,18,Fiorentina,it ITA,1. Serie A,8th,0,,,,,0,,0,0,,11,,,,,,,,,,,,Michael Kayode,"DF,FW"
2023-2024,19,Fiorentina,it ITA,1. Serie A,8th,26,2058.0,79.0,60.2,22.9,22,85.0,14,4,45.0,8,1.88,39.0,20.0,19.0,0.83,1.1,32.5,23.0,9.5,0.42,0.81,Michael Kayode,"DF,FW"
2024-2025,20,Fiorentina,it ITA,1. Serie A,4th,4,37.0,9.0,2.9,0.4,0,,0,4,9.0,11,2.5,2.0,0.0,2.0,4.86,3.69,1.1,0.5,0.6,1.41,0.93,Michael Kayode,"DF,FW"
2020-2021,17,Fiorentina,it ITA,1. Serie A,13th,0,,,,,0,,0,0,,3,,,,,,,,,,,,Alessandro Bianco,MF
2021-2022,18,Fiorentina,it ITA,1. Serie A,7th,0,,,,,0,,0,0,,5,,,,,,,,,,,,Alessandro Bianco,MF
2022-2023,19,Fiorentina,it ITA,1. Serie A,8th,7,153,22,4.5,1.7,2,54,0,5,9,30,1.71,3,1,+2,+1.18,+0.96,2.6,1.8,+0.9,+0.51,+0.21,Alessandro Bianco,MF
2023-2024,20,Reggiana,it ITA,2. Serie B,11th,35,3011,86,88.0,33.5,35,86,26,0,,0,1.23,35,33,+2,+0.06,+2.04,31.2,36.1,-4.9,-0.15,+0.58,Alessandro Bianco,MF
2024-2025,21,Monza,it ITA,1. Serie A,19th,12,831,69,61.6,9.2,9,85,6,3,23,1,0.67,7,14,-7,-0.76,-0.93,8.1,12.4,-4.2,-0.46,-0.13,Alessandro Bianco,MF
2024-2025,21,Fiorentina,it ITA,1. Serie A,4th,1,18,18,1.4,0.2,0,,0,1,18,1,1.00,1,0,+1,+5.00,+3.77,0.1,0.2,-0.1,-0.34,-0.86,Alessandro Bianco,MF
2024-2025,17,Fiorentina,it ITA,1. Serie A,4th,1,8,8,0.6,0.1,0,,0,1,8,3,3.0,0,0,0,0.0,-1.29,0.0,0.2,-0.2,-2.11,-2.64,Tommaso Rubino,MF
2015-2016,17,Dinamo Zagreb,hr CRO,1. 1. HNL,1st,8,285,36,8.8,3.2,1,,0,7,,4,2.63,3,0,+3,+0.95,-0.42,,,,,,Josip Brekalo,"FW,MF"
2016-2017,18,Wolfsburg,de GER,1. Bundesliga,16th,4,80,20,2.6,0.9,0,,0,4,,3,0.50,0,3,-3,-3.38,-2.92,,,,,,Josip Brekalo,"FW,MF"
2016-2017,18,Stuttgart,de GER,2. 2. Bundesliga,1st,11,585,53,19.1,6.5,7,,1,4,,4,2.09,13,5,+8,+1.23,+0.58,,,,,,Josip Brekalo,"FW,MF"
2017-2018,19,Stuttgart,de GER,1. Bundesliga,7th,14,726,52,23.7,8.1,7,,3,7,,2,1.00,6,9,-3,-0.37,-0.49,10.5,10.8,-0.4,-0.05,+0.06,Josip Brekalo,"FW,MF"
