Season,Age,Squad,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Player,Position
2020-2021,22,Fiorentina,it ITA,1. Serie A,13th,11.1,326,310,16,2,1,2,6,3,0,0,0,0,234,0,11,Christian Kouamé,"FW,MF"
2021-2022,23,Anderlecht,be BEL,1. First Division A,3rd,22.3,630,609,17,1,3,1,8,8,0,0,0,0,453,4,23,Christian Kouamé,"FW,MF"
2022-2023,24,Fiorentina,it ITA,1. Serie A,8th,20.7,661,628,31,2,1,6,49,21,2,0,0,0,468,2,15,Christian Kouamé,"FW,MF"
2023-2024,25,Fiorentina,it ITA,1. Serie A,8th,12.1,448,431,11,2,3,1,20,7,2,0,0,0,325,6,13,Christian Kouamé,"FW,MF"
2024-2025,26,Fiorentina,it ITA,1. Serie A,4th,6.1,175,168,6,1,0,0,5,5,0,0,0,0,125,1,3,Christian Kouamé,"FW,MF"
2011-2012,18,Juve Stabia,it ITA,2. Serie B,9th,6.6,,,,,,,,,,,,,,,,Cristiano Biraghi,DF
2012-2013,19,Cittadella,it ITA,2. Serie B,15th,30.4,,,,,,,,,,,,,,,,Cristiano Biraghi,DF
2013-2014,20,Catania,it ITA,1. Serie A,18th,17.3,,,,,,,,,,,,,,,,Cristiano Biraghi,DF
2014-2015,21,Chievo,it ITA,1. Serie A,14th,14.5,,,,,,,,,,,,,,,,Cristiano Biraghi,DF
2015-2016,22,Granada,es ESP,1. La Liga,16th,31.3,,,,,,,89,,,,,,,,,Cristiano Biraghi,DF
2016-2017,23,Pescara,it ITA,1. Serie A,20th,33.2,,,,,,,130,,,,,,,,,Cristiano Biraghi,DF
2017-2018,24,Fiorentina,it ITA,1. Serie A,8th,33.1,1790,1336,446,73,2,5,245,280,93,31,56,0,1268,8,52,Cristiano Biraghi,DF
2018-2019,25,Fiorentina,it ITA,1. Serie A,16th,35.5,1941,1449,486,75,0,12,272,322,89,26,52,0,1359,6,69,Cristiano Biraghi,DF
2019-2020,26,Inter,it ITA,1. Serie A,2nd,17.5,902,686,208,21,0,3,138,144,43,23,6,0,633,8,33,Cristiano Biraghi,DF
2020-2021,27,Fiorentina,it ITA,1. Serie A,13th,31.1,1735,1313,413,86,0,4,286,242,85,13,64,1,1175,9,50,Cristiano Biraghi,DF
2021-2022,28,Fiorentina,it ITA,1. Serie A,7th,35.0,2600,2017,575,130,0,34,278,324,121,18,82,0,2080,8,55,Cristiano Biraghi,DF
2022-2023,29,Fiorentina,it ITA,1. Serie A,8th,28.3,1994,1440,548,94,0,27,300,292,162,71,63,0,1433,6,37,Cristiano Biraghi,DF
2023-2024,30,Fiorentina,it ITA,1. Serie A,8th,26.2,1842,1329,510,103,0,14,226,298,109,28,53,0,1388,3,33,Cristiano Biraghi,DF
2024-2025,31,Fiorentina,it ITA,1. Serie A,4th,4.8,309,246,60,28,0,3,30,8,22,7,8,1,259,3,5,Cristiano Biraghi,DF
2018-2019,19,Pescara,it ITA,2. Serie B,4th,6.4,177,167,8,1,1,2,16,1,5,3,1,0,141,2,3,Riccardo Sottil,"FW,MF"
2018-2019,19,Fiorentina,it ITA,1. Serie A,16th,0.2,9,9,0,0,0,0,1,0,0,0,0,0,7,0,1,Riccardo Sottil,"FW,MF"
2019-2020,20,Fiorentina,it ITA,1. Serie A,10th,5.7,191,183,8,2,0,1,23,6,0,0,0,0,150,0,6,Riccardo Sottil,"FW,MF"
2020-2021,21,Cagliari,it ITA,1. Serie A,16th,13.2,382,367,14,1,0,6,43,1,11,2,6,0,281,1,11,Riccardo Sottil,"FW,MF"
2021-2022,22,Fiorentina,it ITA,1. Serie A,7th,13.8,386,380,5,1,0,3,47,3,0,0,0,0,296,1,15,Riccardo Sottil,"FW,MF"
2022-2023,23,Fiorentina,it ITA,1. Serie A,8th,9.3,266,264,2,1,2,2,31,1,0,0,0,0,209,0,7,Riccardo Sottil,"FW,MF"
2023-2024,24,Fiorentina,it ITA,1. Serie A,8th,12.3,421,419,2,1,1,4,46,1,0,0,0,0,331,0,17,Riccardo Sottil,"FW,MF"
2024-2025,25,Fiorentina,it ITA,1. Serie A,4th,5.0,161,153,8,1,1,0,27,3,4,1,0,0,113,0,4,Riccardo Sottil,"FW,MF"
2016-2017,20,River Plate,ar ARG,1. Primera Div,2nd,18.9,977,932,42,35,0,21,1,7,0,0,0,0,733,3,11,Lucas Martínez Quarta,DF
2017-2018,21,River Plate,ar ARG,1. Liga Argentina,8th,9.0,627,611,12,9,0,12,0,3,0,0,0,0,509,4,5,Lucas Martínez Quarta,DF
2018-2019,22,River Plate,ar ARG,1. Liga Argentina,4th,16.7,844,807,31,25,1,17,2,5,0,0,0,0,674,6,14,Lucas Martínez Quarta,DF
2019-2020,23,River Plate,ar ARG,1. Liga Argentina,2nd,18.3,1070,1023,41,32,0,29,1,9,0,0,0,0,869,6,11,Lucas Martínez Quarta,DF
2020-2021,24,Fiorentina,it ITA,1. Serie A,13th,16.5,830,775,52,26,0,16,5,26,0,0,0,0,667,3,5,Lucas Martínez Quarta,DF
2021-2022,25,Fiorentina,it ITA,1. Serie A,7th,15.9,1123,1083,39,33,0,17,1,6,0,0,0,0,1007,1,8,Lucas Martínez Quarta,DF
2022-2023,26,Fiorentina,it ITA,1. Serie A,8th,24.1,1524,1460,61,54,0,38,4,7,0,0,0,0,1245,3,12,Lucas Martínez Quarta,DF
2023-2024,27,Fiorentina,it ITA,1. Serie A,8th,25.5,1668,1609,50,47,2,28,5,3,0,0,0,0,1362,9,14,Lucas Martínez Quarta,DF
2024-2025,28,Fiorentina,it ITA,1. Serie A,4th,3.9,255,243,11,7,0,3,0,4,0,0,0,0,226,1,1,Lucas Martínez Quarta,DF
2014-2015,17,Genoa,it ITA,1. Serie A,6th,1.5,,,,,,,,,,,,,,,,Rolando Mandragora,MF
2015-2016,18,Pescara,it ITA,2. Serie B,4th,20.0,,,,,,,,,,,,,,,,Rolando Mandragora,MF
2016-2017,19,Juventus,it ITA,1. Serie A,1st,0.1,,,,,,,0,,,,,,,,,Rolando Mandragora,MF
2017-2018,20,Crotone,it ITA,1. Serie A,18th,36.0,1377,1287,82,60,3,9,42,2,20,15,1,0,1084,8,22,Rolando Mandragora,MF
2018-2019,21,Udinese,it ITA,1. Serie A,12th,32.4,1195,1073,115,62,1,11,49,10,39,13,10,0,973,7,22,Rolando Mandragora,MF
2019-2020,22,Udinese,it ITA,1. Serie A,13th,22.8,971,872,93,44,1,16,51,7,39,21,0,0,789,6,15,Rolando Mandragora,MF
2020-2021,23,Udinese,it ITA,1. Serie A,14th,4.4,164,161,3,0,0,0,6,1,2,2,0,0,127,0,6,Rolando Mandragora,MF
2020-2021,23,Torino,it ITA,1. Serie A,17th,16.9,736,650,84,52,1,4,36,0,22,9,9,0,590,2,9,Rolando Mandragora,MF
2021-2022,24,Torino,it ITA,1. Serie A,10th,14.7,769,654,113,58,0,2,47,2,38,24,8,0,647,2,7,Rolando Mandragora,MF
2022-2023,25,Fiorentina,it ITA,1. Serie A,8th,21.7,984,886,95,52,1,17,74,6,36,16,15,0,790,3,17,Rolando Mandragora,MF
2023-2024,26,Fiorentina,it ITA,1. Serie A,8th,17.6,761,701,60,32,0,8,34,5,19,4,7,0,606,0,16,Rolando Mandragora,MF
2024-2025,27,Fiorentina,it ITA,1. Serie A,4th,3.4,165,152,12,8,0,3,3,0,2,0,1,0,131,1,1,Rolando Mandragora,MF
2020-2021,18,Le Havre,fr FRA,2. Ligue 2,12th,1.0,19,17,2,2,0,1,0,0,0,0,0,0,17,0,0,Amir Richardson,MF
2021-2022,19,Le Havre,fr FRA,2. Ligue 2,8th,24.8,1025,980,41,10,6,4,3,7,0,0,0,0,812,4,12,Amir Richardson,MF
2022-2023,20,Le Havre,fr FRA,2. Ligue 2,1st,26.5,1214,1189,23,15,4,8,11,6,2,0,0,0,990,2,22,Amir Richardson,MF
