Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Player,Position
2017-2018,17,Paris S-G,fr FRA,1. Ligue 1,1st,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Yacine Adli,MF
2018-2019,18,Bordeaux,fr FRA,1. Ligue 1,14th,2.4,7,2,2,3,2,3,9,33.3,6,3,0,3,2,9,0,0,Yacine Adli,MF
2019-2020,19,Bordeaux,fr FRA,1. Ligue 1,12th,11.3,22,14,4,15,3,11,34,32.4,23,10,0,10,8,30,3,0,Yacine Adli,MF
2020-2021,20,Bordeaux,fr FRA,1. Ligue 1,12th,26.9,74,37,30,33,11,35,92,38.0,57,27,2,25,39,113,17,2,Yacine Adli,MF
2021-2022,21,Bordeaux,fr FRA,1. Ligue 1,20th,25.1,43,27,22,14,7,19,68,27.9,49,33,3,30,37,80,11,2,Yacine Adli,MF
2022-2023,22,Milan,it ITA,1. Serie A,4th,1.6,6,3,2,4,0,2,2,100.0,0,2,0,2,1,7,1,0,Yacine Adli,MF
2023-2024,23,Milan,it ITA,1. Serie A,2nd,15.6,34,17,17,13,4,13,35,37.1,22,22,8,14,20,54,15,1,Yacine Adli,MF
2024-2025,24,Fiorentina,it ITA,1. Serie A,4th,6.2,15,9,5,6,4,7,15,46.7,8,7,1,6,3,18,12,0,Yacine Adli,MF
2016-2017,18,Cittadella,it ITA,2. Serie B,6th,5.9,,,,,,,,,,,,,,,,,Christian Kouamé,"FW,MF"
2017-2018,19,Cittadella,it ITA,2. Serie B,6th,29.0,,0,,,,,,,,,,,0,,,,Christian Kouamé,"FW,MF"
2018-2019,20,Genoa,it ITA,1. Serie A,17th,34.1,31,22,8,16,7,2,13,15.4,11,23,3,20,25,56,28,0,Christian Kouamé,"FW,MF"
2019-2020,21,Genoa,it ITA,1. Serie A,17th,10.2,2,1,0,1,1,0,8,0.0,8,8,2,6,1,3,13,0,Christian Kouamé,"FW,MF"
2019-2020,21,Fiorentina,it ITA,1. Serie A,10th,3.3,3,2,0,3,0,0,1,0.0,1,5,1,4,1,4,1,0,Christian Kouamé,"FW,MF"
2020-2021,22,Fiorentina,it ITA,1. Serie A,13th,11.1,9,4,2,4,3,4,12,33.3,8,9,1,8,5,14,4,0,Christian Kouamé,"FW,MF"
2021-2022,23,Anderlecht,be BEL,1. First Division A,3rd,22.3,27,20,5,14,8,4,9,44.4,5,16,2,14,6,33,12,0,Christian Kouamé,"FW,MF"
2022-2023,24,Fiorentina,it ITA,1. Serie A,8th,20.7,27,18,8,10,9,7,14,50.0,7,15,3,12,12,39,8,0,Christian Kouamé,"FW,MF"
2023-2024,25,Fiorentina,it ITA,1. Serie A,8th,12.1,13,4,7,6,0,6,10,60.0,4,16,0,16,2,15,10,0,Christian Kouamé,"FW,MF"
2024-2025,26,Fiorentina,it ITA,1. Serie A,4th,6.1,12,7,4,3,5,0,3,0.0,3,2,0,2,2,14,9,0,Christian Kouamé,"FW,MF"
2011-2012,18,Juve Stabia,it ITA,2. Serie B,9th,6.6,,,,,,,,,,,,,,,,,Cristiano Biraghi,DF
2012-2013,19,Cittadella,it ITA,2. Serie B,15th,30.4,,,,,,,,,,,,,,,,,Cristiano Biraghi,DF
2013-2014,20,Catania,it ITA,1. Serie A,18th,17.3,,,,,,,,,,,,,,,,,Cristiano Biraghi,DF
2014-2015,21,Chievo,it ITA,1. Serie A,14th,14.5,,,,,,,,,,,,,,,,,Cristiano Biraghi,DF
2015-2016,22,Granada,es ESP,1. La Liga,16th,31.3,,64,,,,,,,,,,,51,,,,Cristiano Biraghi,DF
2016-2017,23,Pescara,it ITA,1. Serie A,20th,33.2,,65,,,,,,,,,,,47,,,,Cristiano Biraghi,DF
2017-2018,24,Fiorentina,it ITA,1. Serie A,8th,33.1,74,48,33,32,9,36,58,62.1,22,42,5,37,43,117,103,2,Cristiano Biraghi,DF
2018-2019,25,Fiorentina,it ITA,1. Serie A,16th,35.5,52,33,31,17,4,18,38,47.4,20,40,17,23,44,96,113,0,Cristiano Biraghi,DF
