Season,Age,Squad,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Player,Position
2023-2024,25,Fiorentina,it ITA,1. Serie A,8th,12.1,0,0,0,17,25,0,20,2,4,0,0,0,66,56,43,56.6,Christian Kouamé,"FW,MF"
2024-2025,26,Fiorentina,it ITA,1. Serie A,4th,6.1,0,0,0,9,12,2,5,2,7,0,0,0,19,25,17,59.5,Christian Kouamé,"FW,MF"
2011-2012,18,Juve Stabia,it ITA,2. Serie B,9th,6.6,3,0,,,,,,,,,,,,,,,Cristiano Biraghi,DF
2012-2013,19,Cittadella,it ITA,2. Serie B,15th,30.4,10,0,,,,,,,,,,,,,,,Cristiano Biraghi,DF
2013-2014,20,Catania,it ITA,1. Serie A,18th,17.3,3,0,,20,,,,,,,,,,,,,Cristiano Biraghi,DF
2014-2015,21,Chievo,it ITA,1. Serie A,14th,14.5,3,0,,18,,,,,,,,,,,,,Cristiano Biraghi,DF
2015-2016,22,Granada,es ESP,1. La Liga,16th,31.3,10,1,1,42,17,1,89,51,64,0,1,0,,,,,Cristiano Biraghi,DF
2016-2017,23,Pescara,it ITA,1. Serie A,20th,33.2,11,0,0,43,30,2,130,47,65,0,0,0,,,,,Cristiano Biraghi,DF
2017-2018,24,Fiorentina,it ITA,1. Serie A,8th,33.1,7,0,0,39,33,0,245,43,48,1,0,0,166,32,31,50.8,Cristiano Biraghi,DF
2018-2019,25,Fiorentina,it ITA,1. Serie A,16th,35.5,8,0,0,36,26,3,272,44,33,0,0,0,162,39,16,70.9,Cristiano Biraghi,DF
2019-2020,26,Inter,it ITA,1. Serie A,2nd,17.5,3,0,0,22,22,3,138,13,6,0,0,0,66,4,14,22.2,Cristiano Biraghi,DF
2020-2021,27,Fiorentina,it ITA,1. Serie A,13th,31.1,8,0,0,27,23,4,286,27,23,0,0,0,136,9,19,32.1,Cristiano Biraghi,DF
2021-2022,28,Fiorentina,it ITA,1. Serie A,7th,35.0,5,1,1,28,38,7,278,19,24,0,0,1,173,4,16,20.0,Cristiano Biraghi,DF
2022-2023,29,Fiorentina,it ITA,1. Serie A,8th,28.3,1,0,0,29,38,1,300,14,38,0,0,1,137,19,25,43.2,Cristiano Biraghi,DF
2023-2024,30,Fiorentina,it ITA,1. Serie A,8th,26.2,8,0,0,44,14,1,226,14,28,0,0,0,98,8,12,40.0,Cristiano Biraghi,DF
2024-2025,31,Fiorentina,it ITA,1. Serie A,4th,4.8,1,0,0,4,7,0,30,4,4,0,0,0,10,2,3,40.0,Cristiano Biraghi,DF
2018-2019,19,Pescara,it ITA,2. Serie B,4th,6.4,3,0,0,10,30,3,16,2,2,1,0,0,31,2,7,22.2,Riccardo Sottil,"FW,MF"
2018-2019,19,Fiorentina,it ITA,1. Serie A,16th,0.2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,Riccardo Sottil,"FW,MF"
