Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Player,Position
2022-2023,31,Manchester Utd,eng ENG,1. Premier League,3rd,38,38,3420,38.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,David de Gea,GK
2024-2025,33,Fiorentina,it ITA,1. Serie A,4th,11,11,990,11.0,0,1,1,0,0,0,0,0,0.0,0.0,0.3,0.3,0,0,0,0.00,0.09,0.09,0.00,0.09,0.00,0.03,0.03,0.00,0.03,David de Gea,GK
2020-2021,18,Roma,it ITA,1. Serie A,7th,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Edoardo Bove,"MF,FW"
2021-2022,19,Roma,it ITA,1. Serie A,6th,11,0,68,0.8,1,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,2,3,2,1.32,0.00,1.32,1.32,1.32,0.02,0.00,0.02,0.02,0.02,Edoardo Bove,"MF,FW"
2022-2023,20,Roma,it ITA,1. Serie A,6th,22,10,992,11.0,1,0,1,1,0,0,2,0,0.8,0.5,0.9,1.4,9,33,26,0.09,0.00,0.09,0.09,0.09,0.07,0.08,0.15,0.05,0.13,Edoardo Bove,"MF,FW"
2023-2024,21,Roma,it ITA,1. Serie A,6th,31,18,1780,19.8,0,2,2,0,0,0,2,0,2.0,2.0,0.7,2.7,21,88,47,0.00,0.10,0.10,0.00,0.10,0.10,0.04,0.14,0.10,0.14,Edoardo Bove,"MF,FW"
2024-2025,22,Roma,it ITA,1. Serie A,11th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edoardo Bove,"MF,FW"
2024-2025,22,Fiorentina,it ITA,1. Serie A,4th,11,10,836,9.3,1,2,3,1,0,0,3,0,0.6,0.6,1.5,2.1,12,37,23,0.11,0.22,0.32,0.11,0.32,0.06,0.16,0.22,0.06,0.22,Edoardo Bove,"MF,FW"
2013-2014,18,Crotone,it ITA,2. Serie B,6th,35,27,2496,27.7,4,0,4,4,0,0,9,0,,,,,,,,0.14,0.00,0.14,0.14,0.14,,,,,,Danilo Cataldi,MF
2014-2015,19,Lazio,it ITA,1. Serie A,3rd,16,11,996,11.1,0,2,2,0,0,0,3,1,,,,,,,,0.00,0.18,0.18,0.00,0.18,,,,,,Danilo Cataldi,MF
2015-2016,20,Lazio,it ITA,1. Serie A,8th,20,16,1346,15.0,1,3,4,1,0,0,9,1,,,,,,,,0.07,0.20,0.27,0.07,0.27,,,,,,Danilo Cataldi,MF
