Season,Age,Squad,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Player,Position
2024-2025,23,Fiorentina,it ITA,1. Serie A,4th,6.8,2,10,3,30.0,1.46,0.44,0.10,0.33,17.7,0,1,1,2.2,1.4,0.14,-0.2,-0.4,Lucas Beltrán,"MF,FW"
2017-2018,17,Paris S-G,fr FRA,1. Ligue 1,1st,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Yacine Adli,MF
2018-2019,18,Bordeaux,fr FRA,1. Ligue 1,14th,2.4,0,1,0,0.0,0.42,0.00,0.00,,46.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Yacine Adli,MF
2019-2020,19,Bordeaux,fr FRA,1. Ligue 1,12th,11.3,3,17,6,35.3,1.50,0.53,0.18,0.50,23.8,1,0,0,0.8,0.8,0.04,+2.2,+2.2,Yacine Adli,MF
2020-2021,20,Bordeaux,fr FRA,1. Ligue 1,12th,26.9,2,24,9,37.5,0.89,0.33,0.08,0.22,20.0,1,0,0,1.9,1.9,0.08,+0.1,+0.1,Yacine Adli,MF
2021-2022,21,Bordeaux,fr FRA,1. Ligue 1,20th,25.1,1,32,15,46.9,1.27,0.60,0.03,0.07,21.2,4,0,0,2.0,2.0,0.06,-1.0,-1.0,Yacine Adli,MF
2022-2023,22,Milan,it ITA,1. Serie A,4th,1.6,0,2,2,100.0,1.25,1.25,0.00,0.00,18.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Yacine Adli,MF
2023-2024,23,Milan,it ITA,1. Serie A,2nd,15.6,1,4,1,25.0,0.26,0.06,0.25,1.00,19.8,0,0,0,0.3,0.3,0.07,+0.7,+0.7,Yacine Adli,MF
2024-2025,24,Fiorentina,it ITA,1. Serie A,4th,6.2,2,4,2,50.0,0.64,0.32,0.50,1.00,21.4,1,0,0,0.1,0.1,0.03,+1.9,+1.9,Yacine Adli,MF
2016-2017,18,Cittadella,it ITA,2. Serie B,6th,5.9,2,,10,,,1.69,,0.20,,,0,0,,,,,,Christian Kouamé,"FW,MF"
2017-2018,19,Cittadella,it ITA,2. Serie B,6th,29.0,11,0,21,,0.00,0.72,,0.48,,,1,1,,,,,,Christian Kouamé,"FW,MF"
2018-2019,20,Genoa,it ITA,1. Serie A,17th,34.1,4,87,25,28.7,2.55,0.73,0.05,0.16,16.7,0,0,0,8.0,8.0,0.09,-4.0,-4.0,Christian Kouamé,"FW,MF"
2019-2020,21,Genoa,it ITA,1. Serie A,17th,10.2,5,22,9,40.9,2.16,0.89,0.23,0.56,16.3,0,0,0,1.8,1.8,0.08,+3.2,+3.2,Christian Kouamé,"FW,MF"
2019-2020,21,Fiorentina,it ITA,1. Serie A,10th,3.3,1,10,3,30.0,2.99,0.90,0.10,0.33,14.9,0,0,0,1.1,1.1,0.11,-0.1,-0.1,Christian Kouamé,"FW,MF"
2020-2021,22,Fiorentina,it ITA,1. Serie A,13th,11.1,1,17,6,35.3,1.54,0.54,0.06,0.17,10.6,0,0,0,3.2,3.2,0.19,-2.2,-2.2,Christian Kouamé,"FW,MF"
2021-2022,23,Anderlecht,be BEL,1. First Division A,3rd,22.3,8,53,22,41.5,2.38,0.99,0.15,0.36,12.6,0,0,0,8.8,8.8,0.17,-0.8,-0.8,Christian Kouamé,"FW,MF"
2022-2023,24,Fiorentina,it ITA,1. Serie A,8th,20.7,4,42,13,31.0,2.03,0.63,0.10,0.31,13.8,1,0,0,5.3,5.3,0.13,-1.3,-1.3,Christian Kouamé,"FW,MF"
2023-2024,25,Fiorentina,it ITA,1. Serie A,8th,12.1,2,24,7,29.2,1.98,0.58,0.08,0.29,17.0,0,0,0,1.9,1.9,0.08,+0.1,+0.1,Christian Kouamé,"FW,MF"
2024-2025,26,Fiorentina,it ITA,1. Serie A,4th,6.1,0,7,1,14.3,1.14,0.16,0.00,0.00,15.7,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Christian Kouamé,"FW,MF"
2011-2012,18,Juve Stabia,it ITA,2. Serie B,9th,6.6,0,,2,,,0.30,,0.00,,,0,0,,,,,,Cristiano Biraghi,DF
2012-2013,19,Cittadella,it ITA,2. Serie B,15th,30.4,0,,3,,,0.10,,0.00,,,0,0,,,,,,Cristiano Biraghi,DF
2013-2014,20,Catania,it ITA,1. Serie A,18th,17.3,0,,1,,,0.06,,0.00,,,0,0,,,,,,Cristiano Biraghi,DF
2014-2015,21,Chievo,it ITA,1. Serie A,14th,14.5,0,,1,,,0.07,,0.00,,,0,0,,,,,,Cristiano Biraghi,DF
2015-2016,22,Granada,es ESP,1. La Liga,16th,31.3,0,11,1,9.1,0.35,0.03,0.00,0.00,,,0,0,,,,,,Cristiano Biraghi,DF
