Season,Age,Squad,Country,Comp,LgRank,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Player,Position
2018-2019,18,Bordeaux,fr FRA,1. Ligue 1,14th,2.4,10,4.17,9,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Yacine Adli,MF
2019-2020,19,Bordeaux,fr FRA,1. Ligue 1,12th,11.3,45,3.97,29,5,5,2,2,2,7,0.62,3,1,2,1,0,0,Yacine Adli,MF
2020-2021,20,Bordeaux,fr FRA,1. Ligue 1,12th,26.9,104,3.87,78,10,8,2,3,3,10,0.37,7,1,0,1,1,0,Yacine Adli,MF
2021-2022,21,Bordeaux,fr FRA,1. Ligue 1,20th,25.1,121,4.82,81,22,6,3,5,4,18,0.72,13,3,1,0,1,0,Yacine Adli,MF
2022-2023,22,Milan,it ITA,1. Serie A,4th,1.6,3,1.87,2,1,0,0,0,0,1,0.62,1,0,0,0,0,0,Yacine Adli,MF
2023-2024,23,Milan,it ITA,1. Serie A,2nd,15.6,62,3.97,41,18,3,0,0,0,8,0.51,4,3,1,0,0,0,Yacine Adli,MF
2024-2025,24,Fiorentina,it ITA,1. Serie A,4th,6.2,27,4.34,18,7,1,1,0,0,6,0.96,2,2,1,1,0,0,Yacine Adli,MF
2016-2017,18,Cittadella,it ITA,2. Serie B,6th,5.9,,,,,,,,,,,,,,,,,Christian Kouamé,"FW,MF"
2017-2018,19,Cittadella,it ITA,2. Serie B,6th,29.0,,,,,,,,,,,,,,,,,Christian Kouamé,"FW,MF"
2018-2019,20,Genoa,it ITA,1. Serie A,17th,34.1,110,3.23,83,0,8,6,12,1,9,0.26,7,0,0,0,1,1,Christian Kouamé,"FW,MF"
2019-2020,21,Genoa,it ITA,1. Serie A,17th,10.2,31,3.05,24,1,0,1,5,0,5,0.49,3,0,0,0,2,0,Christian Kouamé,"FW,MF"
2019-2020,21,Fiorentina,it ITA,1. Serie A,10th,3.3,12,3.59,9,0,2,0,1,0,1,0.30,1,0,0,0,0,0,Christian Kouamé,"FW,MF"
2020-2021,22,Fiorentina,it ITA,1. Serie A,13th,11.1,19,1.72,16,0,1,1,1,0,2,0.18,1,0,1,0,0,0,Christian Kouamé,"FW,MF"
2021-2022,23,Anderlecht,be BEL,1. First Division A,3rd,22.3,66,2.96,45,0,5,8,6,2,9,0.40,5,0,1,1,2,0,Christian Kouamé,"FW,MF"
2022-2023,24,Fiorentina,it ITA,1. Serie A,8th,20.7,83,4.01,67,0,4,5,7,0,8,0.39,6,0,1,1,0,0,Christian Kouamé,"FW,MF"
2023-2024,25,Fiorentina,it ITA,1. Serie A,8th,12.1,36,2.98,29,0,0,2,5,0,2,0.17,2,0,0,0,0,0,Christian Kouamé,"FW,MF"
2024-2025,26,Fiorentina,it ITA,1. Serie A,4th,6.1,21,3.42,17,0,2,1,1,0,0,0.00,0,0,0,0,0,0,Christian Kouamé,"FW,MF"
2011-2012,18,Juve Stabia,it ITA,2. Serie B,9th,6.6,,,,,,,,,,,,,,,,,Cristiano Biraghi,DF
2012-2013,19,Cittadella,it ITA,2. Serie B,15th,30.4,,,,,,,,,,,,,,,,,Cristiano Biraghi,DF
2013-2014,20,Catania,it ITA,1. Serie A,18th,17.3,,,,,,,,,,,,,,,,,Cristiano Biraghi,DF
2014-2015,21,Chievo,it ITA,1. Serie A,14th,14.5,,,,,,,,,,,,,,,,,Cristiano Biraghi,DF
2015-2016,22,Granada,es ESP,1. La Liga,16th,31.3,,,,,,,,,,,,,,,,,Cristiano Biraghi,DF
2016-2017,23,Pescara,it ITA,1. Serie A,20th,33.2,,,,,,,,,,,,,,,,,Cristiano Biraghi,DF
2017-2018,24,Fiorentina,it ITA,1. Serie A,8th,33.1,96,2.90,56,31,1,5,2,1,8,0.24,4,2,0,1,1,0,Cristiano Biraghi,DF
2018-2019,25,Fiorentina,it ITA,1. Serie A,16th,35.5,100,2.82,72,23,1,3,0,1,7,0.20,6,0,1,0,0,0,Cristiano Biraghi,DF
2019-2020,26,Inter,it ITA,1. Serie A,2nd,17.5,58,3.31,36,15,3,0,4,0,11,0.63,9,1,1,0,0,0,Cristiano Biraghi,DF
2020-2021,27,Fiorentina,it ITA,1. Serie A,13th,31.1,92,2.95,44,39,1,3,4,1,10,0.32,8,1,0,0,1,0,Cristiano Biraghi,DF
2021-2022,28,Fiorentina,it ITA,1. Serie A,7th,35.0,126,3.59,64,55,0,6,1,0,8,0.23,5,3,0,0,0,0,Cristiano Biraghi,DF
2022-2023,29,Fiorentina,it ITA,1. Serie A,8th,28.3,132,4.66,59,68,1,3,0,1,6,0.21,3,3,0,0,0,0,Cristiano Biraghi,DF
2023-2024,30,Fiorentina,it ITA,1. Serie A,8th,26.2,77,2.94,37,35,3,0,1,1,11,0.42,3,6,2,0,0,0,Cristiano Biraghi,DF
2024-2025,31,Fiorentina,it ITA,1. Serie A,4th,4.8,8,1.66,3,5,0,0,0,0,0,0.00,0,0,0,0,0,0,Cristiano Biraghi,DF
2018-2019,19,Pescara,it ITA,2. Serie B,4th,6.4,21,3.26,11,0,3,1,6,0,2,0.31,1,0,0,0,1,0,Riccardo Sottil,"FW,MF"
2018-2019,19,Fiorentina,it ITA,1. Serie A,16th,0.2,1,4.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Riccardo Sottil,"FW,MF"
2019-2020,20,Fiorentina,it ITA,1. Serie A,10th,5.7,27,4.72,14,0,5,3,5,0,4,0.70,2,0,0,2,0,0,Riccardo Sottil,"FW,MF"
2020-2021,21,Cagliari,it ITA,1. Serie A,16th,13.2,40,3.04,29,1,3,4,3,0,4,0.30,3,0,0,1,0,0,Riccardo Sottil,"FW,MF"
