Season,Age,Squad,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Player,Position
2018-2019,20,Vélez Sarsfield,ar ARG,1. Liga Argentina,6th,24.4,4,0,0,46,47,4,4,48,50,0,0,1,172,48,52,48.0,Nicolás Domínguez,"MF,FW"
2019-2020,21,Vélez Sarsfield,ar ARG,1. Liga Argentina,3rd,13.7,6,1,1,24,18,2,8,19,21,0,1,0,104,23,31,42.6,Nicolás Domínguez,"MF,FW"
2019-2020,21,Bologna,it ITA,1. Serie A,12th,7.8,1,0,0,16,6,0,5,12,14,0,0,0,70,4,9,30.8,Nicolás Domínguez,"MF,FW"
2020-2021,22,Bologna,it ITA,1. Serie A,12th,13.9,8,0,0,23,15,1,11,24,28,0,1,0,113,20,22,47.6,Nicolás Domínguez,"MF,FW"
2021-2022,23,Bologna,it ITA,1. Serie A,13th,22.4,8,0,0,26,39,0,14,32,45,0,0,0,158,32,29,52.5,Nicolás Domínguez,"MF,FW"
2022-2023,24,Bologna,it ITA,1. Serie A,9th,25.6,10,0,0,43,32,2,19,21,49,0,1,0,167,37,27,57.8,Nicolás Domínguez,"MF,FW"
2023-2024,25,Bologna,it ITA,1. Serie A,5th,1.1,0,0,0,3,0,0,0,0,0,0,0,0,7,1,0,100.0,Nicolás Domínguez,"MF,FW"
2023-2024,25,Nott'ham Forest,eng ENG,1. Premier League,17th,16.6,4,0,0,26,16,2,6,18,34,0,0,0,108,21,19,52.5,Nicolás Domínguez,"MF,FW"
2024-2025,26,Nott'ham Forest,eng ENG,1. Premier League,3rd,10.0,5,0,0,17,8,0,1,17,17,0,0,0,51,9,11,45.0,Nicolás Domínguez,"MF,FW"
2013-2014,20,Mallorca,es ESP,2. La Liga 2,17th,20.0,3,1,,,,,,,,,,,,,,,Álex Moreno,DF
2014-2015,21,Rayo Vallecano,es ESP,1. La Liga,11th,5.1,0,0,,9,,,,,,,,,,,,,Álex Moreno,DF
2015-2016,22,Elche,es ESP,2. La Liga 2,11th,29.9,4,0,,74,,,,,,,,,,,,,Álex Moreno,DF
2016-2017,23,Rayo Vallecano,es ESP,2. La Liga 2,12th,29.9,2,0,0,19,0,0,0,0,0,0,0,1,,,,,Álex Moreno,DF
2017-2018,24,Rayo Vallecano,es ESP,2. La Liga 2,1st,38.9,2,0,0,27,54,3,130,72,67,0,0,0,283,50,65,43.5,Álex Moreno,DF
2018-2019,25,Rayo Vallecano,es ESP,1. La Liga,20th,34.8,5,0,0,41,44,8,103,41,40,0,0,0,206,28,41,40.6,Álex Moreno,DF
2019-2020,26,Betis,es ESP,1. La Liga,15th,25.2,5,0,0,31,31,4,79,23,20,0,2,0,134,19,31,38.0,Álex Moreno,DF
