Season,Age,Squad,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Player,Position
2023-2024,23,Nott'ham Forest,eng ENG,1. Premier League,17th,35.1,1045,1480,70.6,18412,6092,499,609,81.9,350,452,77.4,152,297,51.2,10,8.4,6.8,+1.6,74,114,39,13,170,Morgan Gibbs-White,MF
2024-2025,24,Nott'ham Forest,eng ENG,1. Premier League,3rd,12.9,416,533,78.0,6148,1990,251,295,85.1,114,143,79.7,33,50,66.0,3,2.9,3.3,+0.1,26,68,17,2,69,Morgan Gibbs-White,MF
2019-2020,16,Newcastle Utd,eng ENG,Jr. PL2 — Div. 2,6th,5.5,,,,,,,,,,,,,,,2,,,,,,,,,Elliot Anderson,"MF,FW"
2020-2021,17,Newcastle Utd,eng ENG,Jr. PL2 — Div. 2,13th,9.0,,,,,,,,,,,,,,,1,,,,,,,,,Elliot Anderson,"MF,FW"
2020-2021,17,Newcastle Utd,eng ENG,1. Premier League,12th,0.0,1,1,100.0,13,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Elliot Anderson,"MF,FW"
2021-2022,18,Newcastle Utd,eng ENG,Jr. PL2 — Div. 2,8th,5.9,,,,,,,,,,,,,,,0,,,,,,,,,Elliot Anderson,"MF,FW"
2021-2022,18,Bristol Rovers,eng ENG,4. League Two,3rd,19.5,,,,,,,,,,,,,,,6,,,,,,,,,Elliot Anderson,"MF,FW"
2022-2023,19,Newcastle Utd,eng ENG,1. Premier League,4th,4.6,150,198,75.8,2043,599,90,104,86.5,44,56,78.6,5,10,50.0,1,1.3,1.5,-0.3,9,15,4,0,24,Elliot Anderson,"MF,FW"
2023-2024,20,Newcastle Utd,eng ENG,1. Premier League,7th,11.4,370,460,80.4,5041,1322,241,274,88.0,108,130,83.1,8,27,29.6,2,1.9,1.2,+0.1,15,36,12,0,57,Elliot Anderson,"MF,FW"
2024-2025,21,Nott'ham Forest,eng ENG,1. Premier League,3rd,12.6,449,575,78.1,7177,2473,239,268,89.2,162,206,78.6,35,70,50.0,5,2.8,2.5,+2.2,27,45,6,2,58,Elliot Anderson,"MF,FW"
2016-2017,18,Barrow,eng ENG,5. National League,7th,15.5,,,,,,,,,,,,,,,2,,,,,,,,,Ryan Yates,MF
2016-2017,18,Shrewsbury,eng ENG,3. League One,18th,8.3,,,,,,,,,,,,,,,0,,,,,,,,,Ryan Yates,MF
2017-2018,19,Scunthorpe Utd,eng ENG,3. League One,5th,14.2,,,,,,,,,,,,,,,1,,,,,,,,,Ryan Yates,MF
2017-2018,19,Notts County,eng ENG,4. League Two,5th,24.7,,,,,,,,,,,,,,,0,,,,,,,,,Ryan Yates,MF
2018-2019,20,Nott'ham Forest,eng ENG,2. Championship,9th,13.6,380,488,77.9,6239,1434,180,221,81.4,154,179,86.0,32,60,53.3,0,0.4,0.3,-0.4,9,38,1,0,40,Ryan Yates,MF
2019-2020,21,Nott'ham Forest,eng ENG,2. Championship,7th,16.7,393,529,74.3,6902,1655,167,210,79.5,189,242,78.1,32,57,56.1,0,0.7,0.7,-0.7,11,21,6,3,29,Ryan Yates,MF
