Season,Age,Squad,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Player,Position
2016-2017,18,Barrow,eng ENG,5. National League,7th,15.5,,,,,,,0,,,,,,,,,Ryan Yates,MF
2016-2017,18,Shrewsbury,eng ENG,3. League One,18th,8.3,,,,,,,0,,,,,,,,,Ryan Yates,MF
2017-2018,19,Scunthorpe Utd,eng ENG,3. League One,5th,14.2,,,,,,,0,,,,,,,,,Ryan Yates,MF
2017-2018,19,Notts County,eng ENG,4. League Two,5th,24.7,,,,,,,0,,,,,,,,,Ryan Yates,MF
2018-2019,20,Nott'ham Forest,eng ENG,2. Championship,9th,13.6,488,467,17,8,0,7,3,4,0,0,0,0,380,4,8,Ryan Yates,MF
2019-2020,21,Nott'ham Forest,eng ENG,2. Championship,7th,16.7,529,519,10,7,0,3,10,3,0,0,0,0,393,0,6,Ryan Yates,MF
2020-2021,22,Nott'ham Forest,eng ENG,2. Championship,17th,30.2,1343,1273,66,30,0,12,9,3,0,0,0,0,1058,4,20,Ryan Yates,MF
2021-2022,23,Nott'ham Forest,eng ENG,2. Championship,4th,40.8,1697,1612,78,45,4,16,11,6,0,0,0,0,1326,7,30,Ryan Yates,MF
2022-2023,24,Nott'ham Forest,eng ENG,1. Premier League,16th,20.4,592,526,62,12,0,6,8,3,0,0,0,0,455,4,17,Ryan Yates,MF
2023-2024,25,Nott'ham Forest,eng ENG,1. Premier League,17th,22.1,827,749,75,26,2,0,6,2,0,0,0,0,658,3,23,Ryan Yates,MF
2024-2025,26,Nott'ham Forest,eng ENG,1. Premier League,3rd,14.5,527,484,40,18,0,0,3,0,1,0,0,0,444,3,11,Ryan Yates,MF
2018-2019,16,Manchester Utd,eng ENG,Jr. PL2 — Div. 2,6th,0.3,,,,,,,,,,,,,,,,Anthony Elanga,"FW,MF"
2019-2020,17,Manchester Utd,eng ENG,Jr. PL2 — Div. 2,2nd,4.6,,,,,,,,,,,,,,,,Anthony Elanga,"FW,MF"
2020-2021,18,Manchester Utd,eng ENG,1. Premier League,2nd,1.7,55,54,1,0,0,1,2,0,0,0,0,0,41,0,2,Anthony Elanga,"FW,MF"
2020-2021,18,Manchester Utd,eng ENG,Jr. PL2 — Div. 1,8th,15.6,,,,,,,,,,,,,,,,Anthony Elanga,"FW,MF"
2021-2022,19,Manchester Utd,eng ENG,Jr. PL2 — Div. 1,6th,8.0,,,,,,,,,,,,,,,,Anthony Elanga,"FW,MF"
2021-2022,19,Manchester Utd,eng ENG,1. Premier League,6th,13.5,450,434,14,0,2,1,21,14,0,0,0,0,340,2,16,Anthony Elanga,"FW,MF"
2022-2023,20,Manchester Utd,eng ENG,1. Premier League,3rd,4.7,130,127,3,0,0,1,7,2,0,0,0,0,95,0,2,Anthony Elanga,"FW,MF"
2023-2024,21,Nott'ham Forest,eng ENG,1. Premier League,17th,27.0,712,695,13,0,4,2,58,6,0,0,0,0,498,4,37,Anthony Elanga,"FW,MF"
2024-2025,22,Nott'ham Forest,eng ENG,1. Premier League,3rd,11.6,326,270,55,15,1,0,80,1,39,23,15,0,203,1,10,Anthony Elanga,"FW,MF"
2016-2017,18,Vélez Sarsfield,ar ARG,1. Primera Div,19th,8.0,405,363,42,17,0,3,35,2,23,10,12,0,318,0,13,Nicolás Domínguez,"MF,FW"
2017-2018,19,Vélez Sarsfield,ar ARG,1. Liga Argentina,14th,20.5,1101,1057,42,24,5,10,21,14,4,0,1,0,875,2,34,Nicolás Domínguez,"MF,FW"
2018-2019,20,Vélez Sarsfield,ar ARG,1. Liga Argentina,6th,24.4,1416,1329,81,44,5,11,4,36,1,1,0,0,1175,6,29,Nicolás Domínguez,"MF,FW"
2019-2020,21,Vélez Sarsfield,ar ARG,1. Liga Argentina,3rd,13.7,720,677,43,20,2,3,8,23,0,0,0,0,595,0,16,Nicolás Domínguez,"MF,FW"
2019-2020,21,Bologna,it ITA,1. Serie A,12th,7.8,407,376,29,18,2,3,5,10,0,0,0,0,337,2,8,Nicolás Domínguez,"MF,FW"
2020-2021,22,Bologna,it ITA,1. Serie A,12th,13.9,716,679,33,29,1,3,11,3,0,0,0,0,614,4,7,Nicolás Domínguez,"MF,FW"
2021-2022,23,Bologna,it ITA,1. Serie A,13th,22.4,1203,1134,66,45,7,12,14,3,0,0,0,0,994,3,19,Nicolás Domínguez,"MF,FW"
2022-2023,24,Bologna,it ITA,1. Serie A,9th,25.6,1420,1335,73,43,19,14,19,26,0,0,0,0,1169,12,25,Nicolás Domínguez,"MF,FW"
2023-2024,25,Bologna,it ITA,1. Serie A,5th,1.1,92,90,2,1,0,0,0,1,0,0,0,0,83,0,1,Nicolás Domínguez,"MF,FW"
2023-2024,25,Nott'ham Forest,eng ENG,1. Premier League,17th,16.6,843,817,22,10,2,5,6,4,1,0,1,0,714,4,13,Nicolás Domínguez,"MF,FW"
2024-2025,26,Nott'ham Forest,eng ENG,1. Premier League,3rd,10.0,453,439,9,5,1,0,1,1,0,0,0,0,387,5,5,Nicolás Domínguez,"MF,FW"
2013-2014,20,Mallorca,es ESP,2. La Liga 2,17th,20.0,,,,,,,,,,,,,,,,Álex Moreno,DF
2014-2015,21,Rayo Vallecano,es ESP,1. La Liga,11th,5.1,,,,,,,,,,,,,,,,Álex Moreno,DF
2015-2016,22,Elche,es ESP,2. La Liga 2,11th,29.9,,,,,,,,,,,,,,,,Álex Moreno,DF
2016-2017,23,Rayo Vallecano,es ESP,2. La Liga 2,12th,29.9,,,,,,,0,,,,,,,,,Álex Moreno,DF
2017-2018,24,Rayo Vallecano,es ESP,2. La Liga 2,1st,38.9,2200,1748,449,30,1,6,130,419,0,0,0,0,1736,3,58,Álex Moreno,DF
2018-2019,25,Rayo Vallecano,es ESP,1. La Liga,20th,34.8,1536,1173,352,29,2,7,103,322,0,0,0,0,1152,11,57,Álex Moreno,DF
2019-2020,26,Betis,es ESP,1. La Liga,15th,25.2,1299,1038,256,16,0,6,79,239,1,0,0,0,993,5,39,Álex Moreno,DF
2020-2021,27,Betis,es ESP,1. La Liga,6th,19.8,1163,974,184,14,1,5,42,170,0,0,0,0,897,5,29,Álex Moreno,DF
2021-2022,28,Betis,es ESP,1. La Liga,5th,26.7,1389,1113,271,17,0,5,84,253,1,0,0,0,1016,5,35,Álex Moreno,DF
2022-2023,29,Betis,es ESP,1. La Liga,6th,15.0,695,541,153,13,0,5,28,140,0,0,0,0,525,1,25,Álex Moreno,DF
2022-2023,29,Aston Villa,eng ENG,1. Premier League,7th,14.8,745,609,134,18,1,0,48,116,0,0,0,0,581,2,32,Álex Moreno,DF
2023-2024,30,Aston Villa,eng ENG,1. Premier League,4th,11.5,542,435,106,9,0,0,37,97,0,0,0,0,428,1,33,Álex Moreno,DF
2024-2025,31,Nott'ham Forest,eng ENG,1. Premier League,3rd,8.8,342,273,66,1,2,1,13,65,0,0,0,0,243,3,9,Álex Moreno,DF
2017-2018,16,Liverpool,eng ENG,Jr. PL2 — Div. 1,2nd,4.0,,,,,,,,,,,,,,,,Neco Williams,DF
2018-2019,17,Liverpool,eng ENG,Jr. PL2 — Div. 1,4th,8.0,,,,,,,,,,,,,,,,Neco Williams,DF
2019-2020,18,Liverpool,eng ENG,Jr. PL2 — Div. 1,5th,8.5,,,,,,,,,,,,,,,,Neco Williams,DF
2019-2020,18,Liverpool,eng ENG,1. Premier League,1st,2.6,213,173,40,4,1,3,14,32,4,0,4,0,170,0,6,Neco Williams,DF
