Season,Age,Squad,Country,Comp,LgRank,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Player,Position
2017-2018,19,Notts County,eng ENG,4. League Two,5th,25,2227,89,53.8,24.7,25,,24,0,,0,2.00,43,23,+20,+0.81,+0.67,,,,,,Ryan Yates,MF
2018-2019,20,Nott'ham Forest,eng ENG,2. Championship,9th,16,1226,77,29.6,13.6,15,81,9,1,6,3,1.50,16,15,+1,+0.07,-0.11,20.2,15.1,+5.1,+0.37,+0.73,Ryan Yates,MF
2019-2020,21,Nott'ham Forest,eng ENG,2. Championship,7th,27,1503,56,36.3,16.7,16,78,6,11,23,4,1.44,19,21,-2,-0.12,-0.46,20.5,22.8,-2.3,-0.14,-0.08,Ryan Yates,MF
2020-2021,22,Nott'ham Forest,eng ENG,2. Championship,17th,34,2717,80,65.6,30.2,31,85,25,3,30,4,1.21,23,30,-7,-0.23,-0.17,35.9,32.9,+3.0,+0.10,+0.44,Ryan Yates,MF
2021-2022,23,Nott'ham Forest,eng ENG,2. Championship,4th,43,3674,85,88.7,40.8,41,89,39,2,9,0,1.83,67,37,+30,+0.73,+0.16,60.0,48.0,+12.0,+0.29,-0.15,Ryan Yates,MF
2022-2023,24,Nott'ham Forest,eng ENG,1. Premier League,16th,26,1837,71,53.7,20.4,21,81,14,5,27,0,1.04,22,36,-14,-0.69,+0.22,22.1,29.0,-6.9,-0.34,+0.69,Ryan Yates,MF
2023-2024,25,Nott'ham Forest,eng ENG,1. Premier League,17th,35,1992,57,58.2,22.1,21,83,14,14,18,2,1.00,31,38,-7,-0.32,+0.38,27.9,32.0,-4.1,-0.18,-0.23,Ryan Yates,MF
2024-2025,26,Nott'ham Forest,eng ENG,1. Premier League,3rd,18,1308,73,76.5,14.5,13,85,11,5,41,0,1.89,18,15,+3,+0.21,-0.69,17.1,16.4,+0.7,+0.05,-0.57,Ryan Yates,MF
2018-2019,16,Manchester Utd,eng ENG,Jr. PL2 — Div. 2,6th,1,31,31,1.6,0.3,0,,0,1,30,1,0.00,1,1,0,0.00,-0.09,,,,,,Anthony Elanga,"FW,MF"
2019-2020,17,Manchester Utd,eng ENG,Jr. PL2 — Div. 2,2nd,6,410,68,26.8,4.6,4,90,4,2,25,2,2.17,9,7,+2,+0.44,-1.65,,,,,,Anthony Elanga,"FW,MF"
2020-2021,18,Manchester Utd,eng ENG,1. Premier League,2nd,2,155,78,4.5,1.7,2,78,1,0,,0,1.50,3,2,+1,+0.58,-0.19,2.2,1.6,+0.6,+0.33,-0.17,Anthony Elanga,"FW,MF"
2020-2021,18,Manchester Utd,eng ENG,Jr. PL2 — Div. 1,8th,16,1401,88,64.9,15.6,16,88,15,0,,0,1.31,39,41,-2,-0.13,-0.25,,,,,,Anthony Elanga,"FW,MF"
2021-2022,19,Manchester Utd,eng ENG,Jr. PL2 — Div. 1,6th,8,719,90,30.7,8.0,8,90,7,0,,0,1.88,13,12,+1,+0.13,+0.01,,,,,,Anthony Elanga,"FW,MF"
2021-2022,19,Manchester Utd,eng ENG,1. Premier League,6th,21,1214,58,35.5,13.5,14,78,5,7,17,3,1.43,20,17,+3,+0.22,+0.34,18.0,16.4,+1.6,+0.12,+0.07,Anthony Elanga,"FW,MF"
