Season,Age,Squad,Country,Comp,LgRank,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Player,Position
2020-2021,20,Swansea City,eng ENG,2. Championship,4th,3.5,14,3.96,9,3,1,0,1,0,2,0.57,2,0,0,0,0,0,Morgan Gibbs-White,MF
2020-2021,20,Wolves,eng ENG,1. Premier League,13th,4.6,16,3.48,13,1,0,1,1,0,1,0.22,0,0,0,1,0,0,Morgan Gibbs-White,MF
2021-2022,21,Sheffield Utd,eng ENG,2. Championship,5th,31.8,118,3.71,97,1,8,6,6,0,14,0.44,11,0,2,1,0,0,Morgan Gibbs-White,MF
2021-2022,21,Wolves,eng ENG,1. Premier League,10th,0.1,1,10.00,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Morgan Gibbs-White,MF
2022-2023,22,Wolves,eng ENG,1. Premier League,13th,2.0,4,2.00,2,1,1,0,0,0,0,0.00,0,0,0,0,0,0,Morgan Gibbs-White,MF
2022-2023,22,Nott'ham Forest,eng ENG,1. Premier League,16th,33.0,119,3.60,72,27,9,6,2,3,12,0.36,6,3,1,2,0,0,Morgan Gibbs-White,MF
2023-2024,23,Nott'ham Forest,eng ENG,1. Premier League,17th,35.1,149,4.25,86,38,9,7,8,1,18,0.51,14,3,0,1,0,0,Morgan Gibbs-White,MF
2024-2025,24,Nott'ham Forest,eng ENG,1. Premier League,3rd,12.9,52,4.02,46,0,2,3,1,0,7,0.54,6,0,0,1,0,0,Morgan Gibbs-White,MF
2019-2020,16,Newcastle Utd,eng ENG,Jr. PL2 — Div. 2,6th,5.5,,,,,,,,,,,,,,,,,Elliot Anderson,"MF,FW"
2020-2021,17,Newcastle Utd,eng ENG,Jr. PL2 — Div. 2,13th,9.0,,,,,,,,,,,,,,,,,Elliot Anderson,"MF,FW"
2020-2021,17,Newcastle Utd,eng ENG,1. Premier League,12th,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Elliot Anderson,"MF,FW"
2021-2022,18,Newcastle Utd,eng ENG,Jr. PL2 — Div. 2,8th,5.9,,,,,,,,,,,,,,,,,Elliot Anderson,"MF,FW"
2021-2022,18,Bristol Rovers,eng ENG,4. League Two,3rd,19.5,,,,,,,,,,,,,,,,,Elliot Anderson,"MF,FW"
2022-2023,19,Newcastle Utd,eng ENG,1. Premier League,4th,4.6,22,4.83,16,0,2,0,4,0,1,0.22,1,0,0,0,0,0,Elliot Anderson,"MF,FW"
2023-2024,20,Newcastle Utd,eng ENG,1. Premier League,7th,11.4,34,2.98,28,0,4,2,0,0,3,0.26,3,0,0,0,0,0,Elliot Anderson,"MF,FW"
2024-2025,21,Nott'ham Forest,eng ENG,1. Premier League,3rd,12.6,55,4.37,24,14,7,6,1,3,9,0.72,3,3,0,1,1,1,Elliot Anderson,"MF,FW"
2016-2017,18,Barrow,eng ENG,5. National League,7th,15.5,,,,,,,,,,,,,,,,,Ryan Yates,MF
2016-2017,18,Shrewsbury,eng ENG,3. League One,18th,8.3,,,,,,,,,,,,,,,,,Ryan Yates,MF
2017-2018,19,Scunthorpe Utd,eng ENG,3. League One,5th,14.2,,,,,,,,,,,,,,,,,Ryan Yates,MF
2017-2018,19,Notts County,eng ENG,4. League Two,5th,24.7,,,,,,,,,,,,,,,,,Ryan Yates,MF
2018-2019,20,Nott'ham Forest,eng ENG,2. Championship,9th,13.6,22,1.61,14,0,0,2,5,1,0,0.00,0,0,0,0,0,0,Ryan Yates,MF
2019-2020,21,Nott'ham Forest,eng ENG,2. Championship,7th,16.7,38,2.27,28,1,1,3,5,0,2,0.12,1,0,0,0,1,0,Ryan Yates,MF
2020-2021,22,Nott'ham Forest,eng ENG,2. Championship,17th,30.2,44,1.46,34,2,1,4,2,1,3,0.10,3,0,0,0,0,0,Ryan Yates,MF
2021-2022,23,Nott'ham Forest,eng ENG,2. Championship,4th,40.8,70,1.71,57,1,2,5,4,1,8,0.20,7,0,0,0,0,1,Ryan Yates,MF
2022-2023,24,Nott'ham Forest,eng ENG,1. Premier League,16th,20.4,24,1.18,18,0,0,4,2,0,3,0.15,1,0,0,2,0,0,Ryan Yates,MF
2023-2024,25,Nott'ham Forest,eng ENG,1. Premier League,17th,22.1,30,1.36,22,0,0,5,3,0,4,0.18,3,0,0,1,0,0,Ryan Yates,MF
2024-2025,26,Nott'ham Forest,eng ENG,1. Premier League,3rd,14.5,27,1.86,19,0,0,6,1,1,2,0.14,1,0,0,1,0,0,Ryan Yates,MF
2018-2019,16,Manchester Utd,eng ENG,Jr. PL2 — Div. 2,6th,0.3,,,,,,,,,,,,,,,,,Anthony Elanga,"FW,MF"
2019-2020,17,Manchester Utd,eng ENG,Jr. PL2 — Div. 2,2nd,4.6,,,,,,,,,,,,,,,,,Anthony Elanga,"FW,MF"
2020-2021,18,Manchester Utd,eng ENG,1. Premier League,2nd,1.7,2,1.16,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Anthony Elanga,"FW,MF"
2020-2021,18,Manchester Utd,eng ENG,Jr. PL2 — Div. 1,8th,15.6,,,,,,,,,,,,,,,,,Anthony Elanga,"FW,MF"
2021-2022,19,Manchester Utd,eng ENG,Jr. PL2 — Div. 1,6th,8.0,,,,,,,,,,,,,,,,,Anthony Elanga,"FW,MF"
2021-2022,19,Manchester Utd,eng ENG,1. Premier League,6th,13.5,21,1.56,12,0,2,1,4,2,5,0.37,2,0,1,0,1,1,Anthony Elanga,"FW,MF"
2022-2023,20,Manchester Utd,eng ENG,1. Premier League,3rd,4.7,17,3.59,13,0,0,3,1,0,1,0.21,1,0,0,0,0,0,Anthony Elanga,"FW,MF"
2023-2024,21,Nott'ham Forest,eng ENG,1. Premier League,17th,27.0,70,2.59,53,0,6,6,4,1,13,0.48,12,0,0,0,0,1,Anthony Elanga,"FW,MF"
2024-2025,22,Nott'ham Forest,eng ENG,1. Premier League,3rd,11.6,39,3.35,25,8,0,2,4,0,5,0.43,3,1,0,0,1,0,Anthony Elanga,"FW,MF"
2016-2017,18,Vélez Sarsfield,ar ARG,1. Primera Div,19th,8.0,31,3.90,19,11,0,0,1,0,2,0.25,2,0,0,0,0,0,Nicolás Domínguez,"MF,FW"
2017-2018,19,Vélez Sarsfield,ar ARG,1. Liga Argentina,14th,20.5,48,2.34,41,0,0,2,2,3,3,0.15,2,0,0,0,0,1,Nicolás Domínguez,"MF,FW"
2018-2019,20,Vélez Sarsfield,ar ARG,1. Liga Argentina,6th,24.4,63,2.58,49,1,2,4,5,2,4,0.16,3,0,0,0,1,0,Nicolás Domínguez,"MF,FW"
2019-2020,21,Vélez Sarsfield,ar ARG,1. Liga Argentina,3rd,13.7,34,2.48,30,1,1,1,0,1,3,0.22,2,0,1,0,0,0,Nicolás Domínguez,"MF,FW"
2019-2020,21,Bologna,it ITA,1. Serie A,12th,7.8,21,2.71,19,0,1,0,0,1,1,0.13,1,0,0,0,0,0,Nicolás Domínguez,"MF,FW"
2020-2021,22,Bologna,it ITA,1. Serie A,12th,13.9,48,3.44,34,1,3,3,3,4,0,0.00,0,0,0,0,0,0,Nicolás Domínguez,"MF,FW"
2021-2022,23,Bologna,it ITA,1. Serie A,13th,22.4,61,2.72,52,1,0,5,1,2,4,0.18,4,0,0,0,0,0,Nicolás Domínguez,"MF,FW"
2022-2023,24,Bologna,it ITA,1. Serie A,9th,25.6,71,2.78,61,2,3,1,3,1,5,0.20,5,0,0,0,0,0,Nicolás Domínguez,"MF,FW"
