Season,Age,Squad,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Player,Position
2024-2025,21,Eint Frankfurt,de GER,1. Bundesliga,3rd,6.3,305,257,44,7,2,2,27,26,11,9,0,0,248,4,8,Nathaniel Brown,"DF,MF"
2024-2025,21,Eint Frankfurt,de GER,1. Bundesliga,3rd,4.5,161,137,24,8,0,0,0,0,0,0,0,0,117,0,0,Kauã Santos,GK
2019-2020,15,Dortmund U17,de GER,Jr. U17 Bundesliga,2nd,18.1,,,,,,,,,,,,,,,,Nnamdi Collins,DF
2020-2021,16,Dortmund U19,de GER,Jr. U19 Bundesliga,1st,3.0,,,,,,,,,,,,,,,,Nnamdi Collins,DF
2021-2022,17,Dortmund U19,de GER,Jr. U19 Bundesliga,4th,11.7,,,,,,,,,,,,,,,,Nnamdi Collins,DF
2022-2023,18,Dortmund U19,de GER,Jr. U19 Bundesliga,4th,13.0,,,,,,,,,,,,,,,,Nnamdi Collins,DF
2022-2023,18,Dortmund II,de GER,3. 3. Liga,13th,6.6,,,,,,,,,,,,,,,,Nnamdi Collins,DF
2023-2024,19,Eint Frankfurt,de GER,1. Bundesliga,6th,1.0,75,64,10,2,0,0,2,8,0,0,0,0,61,1,0,Nnamdi Collins,DF
2024-2025,20,Eint Frankfurt,de GER,1. Bundesliga,3rd,3.6,195,165,30,3,0,1,9,27,0,0,0,0,156,0,1,Nnamdi Collins,DF
2020-2021,19,Everton,eng ENG,Jr. PL2 — Div. 1,5th,3.8,,,,,,,,,,,,,,,,Niels Nkounkou,"DF,MF"
2020-2021,19,Everton,eng ENG,1. Premier League,10th,0.9,36,32,4,0,0,1,4,4,0,0,0,0,29,0,1,Niels Nkounkou,"DF,MF"
2021-2022,20,Standard Liège,be BEL,1. First Division A,14th,17.4,989,765,221,35,1,18,37,182,4,0,2,0,680,3,32,Niels Nkounkou,"DF,MF"
2022-2023,21,Cardiff City,eng ENG,2. Championship,21st,13.6,715,553,157,6,3,11,32,150,1,0,0,0,480,5,14,Niels Nkounkou,"DF,MF"
2022-2023,21,Saint-Étienne,fr FRA,2. Ligue 2,8th,18.7,773,631,134,13,4,10,63,114,7,0,1,0,525,8,28,Niels Nkounkou,"DF,MF"
2023-2024,22,Saint-Étienne,fr FRA,2. Ligue 2,3rd,1.0,45,38,7,0,0,2,2,7,0,0,0,0,32,0,3,Niels Nkounkou,"DF,MF"
2023-2024,22,Eint Frankfurt,de GER,1. Bundesliga,6th,14.5,868,706,162,13,8,4,53,144,5,0,2,0,625,0,33,Niels Nkounkou,"DF,MF"
2024-2025,23,Eint Frankfurt,de GER,1. Bundesliga,3rd,3.4,174,146,27,6,0,1,13,21,0,0,0,0,128,1,8,Niels Nkounkou,"DF,MF"
2014-2015,18,Gladbach,de GER,1. Bundesliga,3rd,0.0,,,,,,,,,,,,,,,,Mahmoud Dahoud,MF
2015-2016,19,Gladbach,de GER,1. Bundesliga,4th,23.0,,,,,,,,,,,,,,,,Mahmoud Dahoud,MF
2016-2017,20,Gladbach,de GER,1. Bundesliga,9th,25.3,,,,,,,2,,,,,,,,,Mahmoud Dahoud,MF
2017-2018,21,Dortmund,de GER,1. Bundesliga,4th,12.7,668,659,7,2,2,7,6,0,4,1,0,0,554,2,13,Mahmoud Dahoud,MF
2018-2019,22,Dortmund,de GER,1. Bundesliga,2nd,7.7,457,450,1,1,7,6,1,0,0,0,0,0,374,6,10,Mahmoud Dahoud,MF
2019-2020,23,Dortmund,de GER,1. Bundesliga,2nd,6.2,487,481,5,5,1,5,4,0,0,0,0,0,438,1,8,Mahmoud Dahoud,MF
