Season,Age,Squad,Country,Comp,LgRank,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Player,Position
2021-2022,19,Dortmund,de GER,1. Bundesliga,2nd,1.3,68,3,15,19,34,6,68,13,4,30.8,9,69.2,38,312,132,4,2,2,6,0,41,12,Ansgar Knauff,"MF,DF"
2021-2022,19,Dortmund II,de GER,3. 3. Liga,9th,6.4,,,,,,,,,,,,,,,,,,,,,,,Ansgar Knauff,"MF,DF"
2021-2022,19,Eint Frankfurt,de GER,1. Bundesliga,11th,8.4,442,11,84,206,164,31,442,27,18,66.7,9,33.3,245,1981,1147,39,24,7,16,8,247,45,Ansgar Knauff,"MF,DF"
2022-2023,20,Eint Frankfurt,de GER,1. Bundesliga,7th,14.3,879,31,263,373,265,43,879,63,22,34.9,33,52.4,410,2879,1677,47,26,15,31,9,433,74,Ansgar Knauff,"MF,DF"
2023-2024,21,Eint Frankfurt,de GER,1. Bundesliga,6th,23.4,1039,20,180,453,424,101,1039,64,25,39.1,33,51.6,540,3559,1891,77,34,38,44,26,611,164,Ansgar Knauff,"MF,DF"
2024-2025,22,Eint Frankfurt,de GER,1. Bundesliga,3rd,7.6,375,13,83,138,160,38,375,23,7,30.4,15,65.2,198,1241,721,24,14,9,24,4,215,61,Ansgar Knauff,"MF,DF"
2009-2010,17,Dortmund,de GER,1. Bundesliga,5th,0.5,,,,,,,,,,,,,,,,,,,,,,,Mario Götze,"MF,FW"
2010-2011,18,Dortmund,de GER,1. Bundesliga,1st,28.1,,,,,,,,,,,,,,,,,,,,,,,Mario Götze,"MF,FW"
2011-2012,19,Dortmund,de GER,1. Bundesliga,1st,13.1,,,,,,,,,,,,,,,,,,,,,,,Mario Götze,"MF,FW"
2012-2013,20,Dortmund,de GER,1. Bundesliga,2nd,22.4,,,,,,,,,,,,,,,,,,,,,,,Mario Götze,"MF,FW"
2013-2014,21,Bayern Munich,de GER,1. Bundesliga,1st,20.2,,,,,,,,,,,,,,,,,,,,,,,Mario Götze,"MF,FW"
2014-2015,22,Bayern Munich,de GER,1. Bundesliga,1st,24.9,,,,,,,,,,,,,,,,,,,,,,,Mario Götze,"MF,FW"
2015-2016,23,Bayern Munich,de GER,1. Bundesliga,1st,10.6,,,,,,,,,,,,,,,,,,,,,,,Mario Götze,"MF,FW"
2016-2017,24,Dortmund,de GER,1. Bundesliga,3rd,8.4,,,,,,,,,,,,,,,,,,,,,,,Mario Götze,"MF,FW"
2017-2018,25,Dortmund,de GER,1. Bundesliga,4th,17.8,1200,9,112,598,500,55,1200,42,16,38.1,26,61.9,674,3566,1626,44,45,21,32,31,927,142,Mario Götze,"MF,FW"
2018-2019,26,Dortmund,de GER,1. Bundesliga,2nd,18.6,1095,8,67,465,574,82,1095,52,26,50.0,26,50.0,682,3131,1518,54,38,11,45,41,884,182,Mario Götze,"MF,FW"
2019-2020,27,Dortmund,de GER,1. Bundesliga,2nd,5.8,347,2,10,158,179,31,346,13,3,23.1,10,76.9,204,857,395,10,7,3,15,7,271,56,Mario Götze,"MF,FW"
2020-2021,28,PSV Eindhoven,nl NED,1. Eredivisie,2nd,15.6,1286,13,148,676,471,43,1286,39,25,64.1,14,35.9,891,3797,1733,39,51,12,38,21,1006,131,Mario Götze,"MF,FW"
2021-2022,29,PSV Eindhoven,nl NED,1. Eredivisie,2nd,24.6,1815,9,188,833,802,105,1815,54,26,48.1,28,51.9,1110,4087,1929,49,54,23,75,42,1437,210,Mario Götze,"MF,FW"
2022-2023,30,Eint Frankfurt,de GER,1. Bundesliga,7th,30.4,1820,19,214,920,704,78,1820,75,25,33.3,45,60.0,1043,4368,1987,57,49,15,56,46,1325,212,Mario Götze,"MF,FW"
2023-2024,31,Eint Frankfurt,de GER,1. Bundesliga,6th,23.0,1537,27,297,812,449,42,1537,39,18,46.2,19,48.7,938,3559,1465,22,34,2,34,26,1119,118,Mario Götze,"MF,FW"
2024-2025,32,Eint Frankfurt,de GER,1. Bundesliga,3rd,6.2,344,7,67,160,119,17,344,5,1,20.0,4,80.0,215,902,478,10,8,2,10,4,248,36,Mario Götze,"MF,FW"
2022-2023,19,Toulouse,fr FRA,1. Ligue 1,13th,26.0,1314,48,194,606,531,86,1314,36,12,33.3,21,58.3,997,5316,2412,71,41,18,54,24,970,212,Fares Chaïbi,"MF,FW"
2023-2024,20,Toulouse,fr FRA,1. Ligue 1,11th,0.6,50,1,4,23,23,0,50,2,0,0.0,2,100.0,40,214,91,2,1,0,4,0,39,12,Fares Chaïbi,"MF,FW"
2023-2024,20,Eint Frankfurt,de GER,1. Bundesliga,6th,21.2,1127,20,112,481,549,71,1127,20,7,35.0,13,65.0,536,2859,1441,53,39,12,42,16,710,143,Fares Chaïbi,"MF,FW"
2024-2025,21,Eint Frankfurt,de GER,1. Bundesliga,3rd,6.8,332,20,64,120,150,20,332,8,5,62.5,2,25.0,164,789,334,11,7,3,11,3,196,38,Fares Chaïbi,"MF,FW"
2019-2020,16,Nürnberg U17,de GER,Jr. U17 Bundesliga,22nd,15.5,,,,,,,,,,,,,,,,,,,,,,,Nathaniel Brown,"DF,MF"
2020-2021,17,Nürnberg U19,de GER,Jr. U19 Bundesliga,26th,3.8,,,,,,,,,,,,,,,,,,,,,,,Nathaniel Brown,"DF,MF"
2021-2022,18,Nürnberg U19,de GER,Jr. U19 Bundesliga,2nd,16.4,,,,,,,,,,,,,,,,,,,,,,,Nathaniel Brown,"DF,MF"
2022-2023,19,Nürnberg,de GER,2. 2. Bundesliga,14th,8.1,515,20,131,224,168,14,515,18,14,77.8,4,22.2,260,1755,908,28,17,5,12,6,270,28,Nathaniel Brown,"DF,MF"
2023-2024,20,Nürnberg,de GER,2. 2. Bundesliga,12th,26.7,1519,69,489,664,378,25,1519,40,19,47.5,20,50.0,776,5218,2887,75,69,7,37,16,868,71,Nathaniel Brown,"DF,MF"
2024-2025,21,Eint Frankfurt,de GER,1. Bundesliga,3rd,6.3,382,13,96,163,126,21,382,14,4,28.6,9,64.3,220,1216,710,19,9,2,8,3,235,45,Nathaniel Brown,"DF,MF"
2024-2025,21,Eint Frankfurt,de GER,1. Bundesliga,3rd,4.5,175,147,174,1,0,0,175,0,0,,0,,106,478,319,0,0,0,0,0,83,0,Kauã Santos,GK
2019-2020,15,Dortmund U17,de GER,Jr. U17 Bundesliga,2nd,18.1,,,,,,,,,,,,,,,,,,,,,,,Nnamdi Collins,DF
2020-2021,16,Dortmund U19,de GER,Jr. U19 Bundesliga,1st,3.0,,,,,,,,,,,,,,,,,,,,,,,Nnamdi Collins,DF
2021-2022,17,Dortmund U19,de GER,Jr. U19 Bundesliga,4th,11.7,,,,,,,,,,,,,,,,,,,,,,,Nnamdi Collins,DF
2022-2023,18,Dortmund U19,de GER,Jr. U19 Bundesliga,4th,13.0,,,,,,,,,,,,,,,,,,,,,,,Nnamdi Collins,DF
2022-2023,18,Dortmund II,de GER,3. 3. Liga,13th,6.6,,,,,,,,,,,,,,,,,,,,,,,Nnamdi Collins,DF
2023-2024,19,Eint Frankfurt,de GER,1. Bundesliga,6th,1.0,86,3,20,54,12,1,86,2,1,50.0,1,50.0,48,184,89,1,0,1,0,1,59,5,Nnamdi Collins,DF
2024-2025,20,Eint Frankfurt,de GER,1. Bundesliga,3rd,3.6,245,16,88,104,53,9,245,11,4,36.4,7,63.6,111,601,314,12,7,3,3,2,126,14,Nnamdi Collins,DF
