Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Player,Position
2012-2013,20,Dortmund,de GER,1. Bundesliga,2nd,28,23,2017,22.4,10,10,20,9,1,1,4,0,,,,,,,,0.45,0.45,0.89,0.40,0.85,,,,,,Mario Götze,"MF,FW"
2013-2014,21,Bayern Munich,de GER,1. Bundesliga,1st,27,20,1818,20.2,10,8,18,10,0,0,0,0,,,,,,,,0.50,0.40,0.89,0.50,0.89,,,,,,Mario Götze,"MF,FW"
2014-2015,22,Bayern Munich,de GER,1. Bundesliga,1st,32,28,2239,24.9,9,2,11,9,0,0,1,0,,,,,,,,0.36,0.08,0.44,0.36,0.44,,,,,,Mario Götze,"MF,FW"
2015-2016,23,Bayern Munich,de GER,1. Bundesliga,1st,14,11,957,10.6,3,4,7,3,0,0,1,0,,,,,,,,0.28,0.38,0.66,0.28,0.66,,,,,,Mario Götze,"MF,FW"
2016-2017,24,Dortmund,de GER,1. Bundesliga,3rd,11,9,760,8.4,1,2,3,1,0,0,1,0,,,,,,,,0.12,0.24,0.36,0.12,0.36,,,,,,Mario Götze,"MF,FW"
2017-2018,25,Dortmund,de GER,1. Bundesliga,4th,23,19,1601,17.8,2,3,5,2,0,0,1,0,2.3,2.3,6.0,8.3,44,125,142,0.11,0.17,0.28,0.11,0.28,0.13,0.34,0.47,0.13,0.47,Mario Götze,"MF,FW"
2018-2019,26,Dortmund,de GER,1. Bundesliga,2nd,26,19,1674,18.6,7,7,14,7,0,0,0,0,4.7,4.7,6.2,10.9,54,80,182,0.38,0.38,0.75,0.38,0.75,0.25,0.33,0.59,0.25,0.59,Mario Götze,"MF,FW"
2019-2020,27,Dortmund,de GER,1. Bundesliga,2nd,15,5,521,5.8,3,0,3,2,1,1,0,0,2.0,1.2,1.3,2.6,10,29,56,0.52,0.00,0.52,0.35,0.35,0.35,0.23,0.58,0.21,0.45,Mario Götze,"MF,FW"
2020-2021,28,PSV Eindhoven,nl NED,1. Eredivisie,2nd,18,17,1402,15.6,5,6,11,5,0,0,0,0,3.7,3.7,3.8,7.5,39,128,131,0.32,0.39,0.71,0.32,0.71,0.24,0.25,0.48,0.24,0.48,Mario Götze,"MF,FW"
2021-2022,29,PSV Eindhoven,nl NED,1. Eredivisie,2nd,29,26,2215,24.6,4,4,8,4,0,0,4,0,4.6,4.6,5.9,10.5,49,136,210,0.16,0.16,0.33,0.16,0.33,0.19,0.24,0.43,0.19,0.43,Mario Götze,"MF,FW"
2022-2023,30,Eint Frankfurt,de GER,1. Bundesliga,7th,32,32,2740,30.4,3,1,4,3,0,0,6,0,3.2,3.2,5.3,8.5,57,149,212,0.10,0.03,0.13,0.10,0.13,0.11,0.17,0.28,0.11,0.28,Mario Götze,"MF,FW"
