Season,Age,Squad,Country,Comp,LgRank,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Player,Position
2021-2022,31,Eint Frankfurt,de GER,1. Bundesliga,11th,32.0,4,0.12,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Kevin Trapp,GK
2022-2023,32,Eint Frankfurt,de GER,1. Bundesliga,7th,33.0,3,0.09,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Kevin Trapp,GK
2023-2024,33,Eint Frankfurt,de GER,1. Bundesliga,6th,32.0,1,0.03,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Kevin Trapp,GK
2024-2025,34,Eint Frankfurt,de GER,1. Bundesliga,3rd,10.5,1,0.10,1,0,0,0,0,0,1,0.10,1,0,0,0,0,0,Kevin Trapp,GK
2014-2015,19,Montpellier,fr FRA,1. Ligue 1,7th,1.0,,,,,,,,,,,,,,,,,Ellyes Skhiri,MF
2015-2016,20,Montpellier,fr FRA,1. Ligue 1,12th,9.1,,,,,,,,,,,,,,,,,Ellyes Skhiri,MF
2016-2017,21,Montpellier,fr FRA,1. Ligue 1,15th,36.5,,,,,,,,,,,,,,,,,Ellyes Skhiri,MF
2017-2018,22,Montpellier,fr FRA,1. Ligue 1,10th,33.9,86,2.54,72,1,4,4,2,3,3,0.09,3,0,0,0,0,0,Ellyes Skhiri,MF
2018-2019,23,Montpellier,fr FRA,1. Ligue 1,6th,34.3,83,2.42,67,0,4,2,6,4,11,0.32,7,0,1,1,1,1,Ellyes Skhiri,MF
2019-2020,24,Köln,de GER,1. Bundesliga,14th,29.7,62,2.09,49,0,3,5,0,5,10,0.34,7,0,1,2,0,0,Ellyes Skhiri,MF
2020-2021,25,Köln,de GER,1. Bundesliga,16th,30.9,49,1.58,36,4,2,4,1,2,5,0.16,2,0,2,1,0,0,Ellyes Skhiri,MF
2021-2022,26,Köln,de GER,1. Bundesliga,7th,20.2,29,1.43,28,0,0,0,0,1,1,0.05,1,0,0,0,0,0,Ellyes Skhiri,MF
2022-2023,27,Köln,de GER,1. Bundesliga,11th,31.7,56,1.76,48,0,1,5,0,2,5,0.16,5,0,0,0,0,0,Ellyes Skhiri,MF
2023-2024,28,Eint Frankfurt,de GER,1. Bundesliga,6th,24.1,41,1.70,35,0,1,3,2,0,2,0.08,2,0,0,0,0,0,Ellyes Skhiri,MF
2024-2025,29,Eint Frankfurt,de GER,1. Bundesliga,3rd,10.0,22,2.20,18,0,0,2,0,2,4,0.40,3,0,0,1,0,0,Ellyes Skhiri,MF
2018-2019,16,Dortmund U17,de GER,Jr. U17 Bundesliga,1st,11.9,,,,,,,,,,,,,,,,,Ansgar Knauff,"MF,DF"
2019-2020,17,Dortmund U19,de GER,Jr. U19 Bundesliga,4th,13.7,,,,,,,,,,,,,,,,,Ansgar Knauff,"MF,DF"
2020-2021,18,Dortmund U19,de GER,Jr. U19 Bundesliga,1st,1.0,,,,,,,,,,,,,,,,,Ansgar Knauff,"MF,DF"
2020-2021,18,Dortmund,de GER,1. Bundesliga,3rd,0.8,8,10.00,5,0,2,0,1,0,2,2.50,1,0,1,0,0,0,Ansgar Knauff,"MF,DF"
2021-2022,19,Dortmund,de GER,1. Bundesliga,2nd,1.3,3,2.37,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Ansgar Knauff,"MF,DF"
2021-2022,19,Dortmund II,de GER,3. 3. Liga,9th,6.4,,,,,,,,,,,,,,,,,Ansgar Knauff,"MF,DF"
2021-2022,19,Eint Frankfurt,de GER,1. Bundesliga,11th,8.4,23,2.73,16,1,2,1,3,0,3,0.36,2,0,1,0,0,0,Ansgar Knauff,"MF,DF"
2022-2023,20,Eint Frankfurt,de GER,1. Bundesliga,7th,14.3,24,1.68,18,0,1,0,5,0,4,0.28,2,0,0,0,2,0,Ansgar Knauff,"MF,DF"
2023-2024,21,Eint Frankfurt,de GER,1. Bundesliga,6th,23.4,61,2.60,51,0,6,2,0,2,6,0.26,5,0,0,0,0,1,Ansgar Knauff,"MF,DF"
2024-2025,22,Eint Frankfurt,de GER,1. Bundesliga,3rd,7.6,27,3.54,17,0,2,3,3,2,6,0.79,3,0,1,1,0,1,Ansgar Knauff,"MF,DF"
2009-2010,17,Dortmund,de GER,1. Bundesliga,5th,0.5,,,,,,,,,,,,,,,,,Mario Götze,"MF,FW"
2010-2011,18,Dortmund,de GER,1. Bundesliga,1st,28.1,,,,,,,,,,,,,,,,,Mario Götze,"MF,FW"
2011-2012,19,Dortmund,de GER,1. Bundesliga,1st,13.1,,,,,,,,,,,,,,,,,Mario Götze,"MF,FW"
2012-2013,20,Dortmund,de GER,1. Bundesliga,2nd,22.4,,,,,,,,,,,,,,,,,Mario Götze,"MF,FW"
2013-2014,21,Bayern Munich,de GER,1. Bundesliga,1st,20.2,,,,,,,,,,,,,,,,,Mario Götze,"MF,FW"
2014-2015,22,Bayern Munich,de GER,1. Bundesliga,1st,24.9,,,,,,,,,,,,,,,,,Mario Götze,"MF,FW"
2015-2016,23,Bayern Munich,de GER,1. Bundesliga,1st,10.6,,,,,,,,,,,,,,,,,Mario Götze,"MF,FW"
2016-2017,24,Dortmund,de GER,1. Bundesliga,3rd,8.4,,,,,,,,,,,,,,,,,Mario Götze,"MF,FW"
2017-2018,25,Dortmund,de GER,1. Bundesliga,4th,17.8,77,4.33,61,10,1,3,2,0,6,0.34,6,0,0,0,0,0,Mario Götze,"MF,FW"
2018-2019,26,Dortmund,de GER,1. Bundesliga,2nd,18.6,72,3.87,60,1,3,3,5,0,8,0.43,8,0,0,0,0,0,Mario Götze,"MF,FW"
2019-2020,27,Dortmund,de GER,1. Bundesliga,2nd,5.8,18,3.11,16,0,0,0,1,1,0,0.00,0,0,0,0,0,0,Mario Götze,"MF,FW"
2020-2021,28,PSV Eindhoven,nl NED,1. Eredivisie,2nd,15.6,69,4.43,59,1,2,4,0,3,14,0.90,9,0,1,2,0,2,Mario Götze,"MF,FW"
