Season,Age,Squad,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Player,Position
2019-2020,26,Liverpool,eng ENG,1. Premier League,1st,28.3,0,1,0,1,1,0,0,1,0,0,0,0,63,6,0,100.0,Alisson,GK
2020-2021,27,Liverpool,eng ENG,1. Premier League,3rd,33.0,1,0,0,1,6,0,0,2,2,0,1,0,74,12,1,92.3,Alisson,GK
2021-2022,28,Liverpool,eng ENG,1. Premier League,2nd,36.0,0,0,0,0,2,0,0,0,1,0,0,1,80,15,1,93.8,Alisson,GK
2022-2023,29,Liverpool,eng ENG,1. Premier League,5th,37.0,1,0,0,1,5,0,0,0,0,0,0,0,71,11,1,91.7,Alisson,GK
2023-2024,30,Liverpool,eng ENG,1. Premier League,3rd,28.0,1,0,0,1,5,0,0,0,0,0,0,0,36,6,2,75.0,Alisson,GK
2024-2025,31,Liverpool,eng ENG,1. Premier League,1st,10.9,0,0,0,0,0,0,0,0,0,0,0,0,18,5,0,100.0,Alisson,GK
2017-2018,16,Liverpool,eng ENG,Jr. PL2 — Div. 1,2nd,4.5,0,0,0,,,,,,,,,0,,,,,Curtis Jones,MF
2018-2019,17,Liverpool,eng ENG,Jr. PL2 — Div. 1,4th,12.0,0,0,0,,,,,,,,,0,,,,,Curtis Jones,MF
2019-2020,18,Liverpool,eng ENG,Jr. PL2 — Div. 1,5th,13.1,1,0,0,,,,,,,,,0,,,,,Curtis Jones,MF
2019-2020,18,Liverpool,eng ENG,1. Premier League,1st,1.4,0,0,0,3,0,0,0,2,4,0,0,0,14,2,3,40.0,Curtis Jones,MF
2020-2021,19,Liverpool,eng ENG,1. Premier League,3rd,13.1,2,0,0,18,13,1,7,19,6,0,0,0,80,14,18,43.8,Curtis Jones,MF
2021-2022,20,Liverpool,eng ENG,1. Premier League,2nd,9.5,0,0,0,11,19,1,6,6,9,0,0,0,54,7,7,50.0,Curtis Jones,MF
2022-2023,21,Liverpool,eng ENG,Jr. PL2 — Div. 1,2nd,0.5,0,0,0,,,,,,,,,0,,,,,Curtis Jones,MF
2022-2023,21,Liverpool,eng ENG,1. Premier League,5th,11.5,2,0,0,13,16,2,9,3,17,0,0,0,56,3,6,33.3,Curtis Jones,MF
2023-2024,22,Liverpool,eng ENG,1. Premier League,3rd,13.0,3,1,0,16,14,5,4,7,14,0,0,0,72,7,12,36.8,Curtis Jones,MF
2024-2025,23,Liverpool,eng ENG,1. Premier League,1st,9.7,1,0,0,9,15,0,4,3,11,1,0,0,39,6,4,60.0,Curtis Jones,MF
2016-2017,17,Liverpool,eng ENG,Jr. PL2 — Div. 1,3rd,6.0,0,0,0,,,,,,,,,0,,,,,Caoimhín Kelleher,GK
2017-2018,18,Liverpool,eng ENG,Jr. PL2 — Div. 1,2nd,5.0,0,0,0,,,,,,,,,0,,,,,Caoimhín Kelleher,GK
2018-2019,19,Liverpool,eng ENG,Jr. PL2 — Div. 1,4th,11.0,0,0,0,,,,,,,,,1,,,,,Caoimhín Kelleher,GK
2019-2020,20,Liverpool,eng ENG,Jr. PL2 — Div. 1,5th,6.0,0,0,0,,,,,,,,,0,,,,,Caoimhín Kelleher,GK
2020-2021,21,Liverpool,eng ENG,Jr. PL2 — Div. 1,7th,5.0,0,0,0,,,,,,,,,0,,,,,Caoimhín Kelleher,GK
2020-2021,21,Liverpool,eng ENG,1. Premier League,3rd,2.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Caoimhín Kelleher,GK
2021-2022,22,Liverpool,eng ENG,1. Premier League,2nd,2.0,0,0,0,0,1,0,0,0,1,0,0,0,4,1,0,100.0,Caoimhín Kelleher,GK
2022-2023,23,Liverpool,eng ENG,Jr. PL2 — Div. 1,2nd,1.0,0,0,0,,,,,,,,,0,,,,,Caoimhín Kelleher,GK
2022-2023,23,Liverpool,eng ENG,1. Premier League,5th,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Caoimhín Kelleher,GK
2023-2024,24,Liverpool,eng ENG,1. Premier League,3rd,10.0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,100.0,Caoimhín Kelleher,GK
2024-2025,25,Liverpool,eng ENG,1. Premier League,1st,8.0,0,0,0,0,1,0,0,0,0,0,0,0,15,1,0,100.0,Caoimhín Kelleher,GK
2019-2020,20,Almería,es ESP,2. La Liga 2,4th,26.9,3,1,1,42,23,26,7,5,13,2,0,0,65,101,131,43.5,Darwin Núñez,FW
2020-2021,21,Benfica,pt POR,1. Primeira Liga,3rd,19.9,2,0,0,30,25,21,12,3,6,0,0,0,56,35,50,41.2,Darwin Núñez,FW
2021-2022,22,Benfica,pt POR,1. Primeira Liga,3rd,22.0,6,0,0,28,29,23,51,5,7,1,0,0,51,26,38,40.6,Darwin Núñez,FW
