Season,Age,Squad,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Player,Position
2022-2023,28,Liverpool,eng ENG,1. Premier League,5th,28.7,1803,2265,79.6,30554,9527,855,943,90.7,786,938,83.8,137,286,47.9,8,6.1,6.5,+1.9,52,121,33,14,166,Andrew Robertson,DF
2023-2024,29,Liverpool,eng ENG,1. Premier League,3rd,18.8,1248,1547,80.7,21306,7231,609,654,93.1,495,587,84.3,122,239,51.0,2,5.4,4.4,-3.4,62,118,26,12,140,Andrew Robertson,DF
2024-2025,30,Liverpool,eng ENG,1. Premier League,1st,15.3,930,1104,84.2,15640,4853,454,478,95.0,396,451,87.8,68,140,48.6,0,2.5,2.3,-2.5,24,86,17,9,99,Andrew Robertson,DF
2017-2018,18,Arg Juniors,ar ARG,1. Liga Argentina,12th,14.6,609,804,75.7,11073,3239,284,333,85.3,237,298,79.5,77,136,56.6,6,2.7,2.0,+3.3,29,100,18,2,138,Alexis Mac Allister,MF
2018-2019,19,Arg Juniors,ar ARG,1. Liga Argentina,26th,17.1,520,758,68.6,8833,3351,244,303,80.5,179,235,76.2,70,157,44.6,1,3.8,3.9,-2.8,41,73,23,4,118,Alexis Mac Allister,MF
2019-2020,20,Boca Juniors,ar ARG,1. Liga Argentina,1st,7.9,230,328,70.1,4039,1337,110,134,82.1,79,102,77.5,27,59,45.8,1,1.2,0.9,-0.2,15,27,9,2,33,Alexis Mac Allister,MF
2019-2020,20,Brighton,eng ENG,1. Premier League,15th,3.9,77,121,63.6,1144,294,41,51,80.4,25,35,71.4,5,23,21.7,0,0.3,0.2,-0.3,5,6,1,1,6,Alexis Mac Allister,MF
2020-2021,21,Brighton,eng ENG,1. Premier League,16th,12.4,320,410,78.0,4922,1248,168,196,85.7,109,129,84.5,20,36,55.6,1,1.5,1.7,-0.5,15,26,16,0,48,Alexis Mac Allister,MF
2021-2022,22,Brighton,eng ENG,1. Premier League,9th,23.6,858,1066,80.5,14410,4157,411,473,86.9,328,370,88.6,78,133,58.6,2,1.9,2.6,+0.1,31,104,25,2,137,Alexis Mac Allister,MF
2022-2023,23,Brighton,eng ENG,1. Premier League,6th,32.1,1586,1844,86.0,24936,6259,847,930,91.1,591,653,90.5,101,148,68.2,2,4.3,4.4,-2.3,47,151,33,1,174,Alexis Mac Allister,MF
2023-2024,24,Liverpool,eng ENG,1. Premier League,3rd,28.9,1704,1967,86.6,26565,7659,884,970,91.1,656,722,90.9,100,161,62.1,5,3.6,4.9,+1.4,47,162,41,2,209,Alexis Mac Allister,MF
2024-2025,25,Liverpool,eng ENG,1. Premier League,1st,14.7,670,781,85.8,10615,3047,347,389,89.2,255,281,90.7,46,63,73.0,3,3.0,3.3,0.0,22,64,21,1,92,Alexis Mac Allister,MF
2019-2020,22,Porto,pt POR,1. Primeira Liga,1st,19.7,569,672,84.7,9045,1581,292,321,91.0,207,237,87.3,47,63,74.6,2,1.6,2.6,+0.4,19,41,23,0,74,Luis Díaz,FW
2020-2021,23,Porto,pt POR,1. Primeira Liga,2nd,18.2,495,608,81.4,7229,1379,288,331,87.0,146,171,85.4,37,50,74.0,5,2.7,1.5,+2.3,22,24,21,0,55,Luis Díaz,FW
2021-2022,24,Porto,pt POR,1. Primeira Liga,1st,16.6,536,672,79.8,7675,1715,335,388,86.3,149,185,80.5,29,40,72.5,4,5.4,4.1,-1.4,39,30,23,4,61,Luis Díaz,FW
2021-2022,24,Liverpool,eng ENG,1. Premier League,2nd,10.6,392,455,86.2,5406,1093,240,264,90.9,116,133,87.2,22,25,88.0,3,2.6,1.5,+0.4,20,14,22,4,38,Luis Díaz,FW
2022-2023,25,Liverpool,eng ENG,1. Premier League,5th,11.1,376,462,81.4,5698,1124,215,256,84.0,127,150,84.7,25,27,92.6,2,1.5,1.3,+0.5,13,25,13,1,49,Luis Díaz,FW
2023-2024,26,Liverpool,eng ENG,1. Premier League,3rd,29.2,898,1075,83.5,13772,2931,527,584,90.2,274,320,85.6,68,91,74.7,5,5.7,4.7,-0.7,64,62,45,3,113,Luis Díaz,FW
2024-2025,27,Liverpool,eng ENG,1. Premier League,1st,12.4,333,389,85.6,5160,1201,194,216,89.8,97,115,84.3,27,32,84.4,2,1.9,1.8,+0.1,24,27,18,2,49,Luis Díaz,FW
2018-2019,17,RB Salzburg,at AUT,1. Bundesliga,1st,8.0,,,,,,,,,,,,,,,3,,,,,,,,,Dominik Szoboszlai,MF
2019-2020,18,RB Salzburg,at AUT,1. Bundesliga,1st,18.5,,,,,,,,,,,,,,,10,,,,,,,,,Dominik Szoboszlai,MF
2020-2021,19,RB Salzburg,at AUT,1. Bundesliga,1st,8.9,,,,,,,,,,,,,,,7,,,,,,,,,Dominik Szoboszlai,MF
2021-2022,20,RB Leipzig,de GER,1. Bundesliga,4th,17.1,742,965,76.9,11212,3186,416,477,87.2,205,265,77.4,73,122,59.8,8,5.4,6.0,+2.6,39,50,39,9,85,Dominik Szoboszlai,MF
2022-2023,21,RB Leipzig,de GER,1. Bundesliga,3rd,27.2,1262,1580,79.9,21421,5686,665,757,87.8,405,491,82.5,145,210,69.0,8,8.1,8.6,-0.1,70,107,46,9,151,Dominik Szoboszlai,MF
