Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Player,Position
2022-2023,25,Liverpool,eng ENG,1. Premier League,5th,17,11,996,11.1,4,2,6,4,0,0,2,0,2.5,2.5,1.5,4.0,39,49,116,0.36,0.18,0.54,0.36,0.54,0.22,0.14,0.36,0.22,0.36,Luis Díaz,FW
2023-2024,26,Liverpool,eng ENG,1. Premier League,3rd,37,32,2629,29.2,8,5,13,8,0,0,3,0,11.9,11.9,5.7,17.5,137,113,302,0.27,0.17,0.45,0.27,0.45,0.41,0.19,0.60,0.41,0.60,Luis Díaz,FW
2024-2025,27,Liverpool,eng ENG,1. Premier League,1st,18,13,1115,12.4,8,2,10,8,0,0,1,0,5.3,5.3,1.9,7.2,51,49,111,0.65,0.16,0.81,0.65,0.81,0.42,0.16,0.58,0.42,0.58,Luis Díaz,FW
2018-2019,17,RB Salzburg,at AUT,1. Bundesliga,1st,16,7,724,8.0,3,3,6,3,0,0,1,0,,,,,,,,0.37,0.37,0.75,0.37,0.75,,,,,,Dominik Szoboszlai,MF
2019-2020,18,RB Salzburg,at AUT,1. Bundesliga,1st,27,18,1664,18.5,9,10,19,6,3,3,3,0,,,,,,,,0.49,0.54,1.03,0.32,0.87,,,,,,Dominik Szoboszlai,MF
2020-2021,19,RB Salzburg,at AUT,1. Bundesliga,1st,12,11,800,8.9,4,7,11,1,3,3,0,0,,,,,,,,0.45,0.79,1.24,0.11,0.90,,,,,,Dominik Szoboszlai,MF
2021-2022,20,RB Leipzig,de GER,1. Bundesliga,4th,31,15,1543,17.1,6,8,14,6,0,1,2,0,4.8,4.0,5.4,9.4,44,85,130,0.35,0.47,0.82,0.35,0.82,0.28,0.32,0.60,0.23,0.55,Dominik Szoboszlai,MF
2022-2023,21,RB Leipzig,de GER,1. Bundesliga,3rd,31,28,2444,27.2,6,8,14,5,1,1,5,2,5.5,4.7,8.1,12.9,75,151,157,0.22,0.29,0.52,0.18,0.48,0.20,0.30,0.50,0.17,0.47,Dominik Szoboszlai,MF
2023-2024,22,Liverpool,eng ENG,1. Premier League,3rd,33,25,2104,23.4,3,2,5,3,0,0,1,0,3.7,3.7,5.8,9.5,75,152,160,0.13,0.09,0.21,0.13,0.21,0.16,0.25,0.40,0.16,0.40,Dominik Szoboszlai,MF
2024-2025,23,Liverpool,eng ENG,1. Premier League,1st,17,12,1132,12.6,2,2,4,2,0,0,5,0,4.0,4.0,2.9,6.9,38,57,50,0.16,0.16,0.32,0.16,0.32,0.32,0.23,0.55,0.32,0.55,Dominik Szoboszlai,MF
