Season,Age,Squad,Country,Comp,LgRank,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Player,Position
2022-2023,23,Liverpool,eng ENG,1. Premier League,5th,21,1458,69,42.6,16.2,17,81,6,4,22,0,1.86,32,19,+13,+0.80,+0.11,32.9,19.2,+13.7,+0.84,+0.52,Cody Gakpo,FW
2023-2024,24,Liverpool,eng ENG,1. Premier League,3rd,35,1649,47,48.2,18.3,17,73,3,18,23,0,2.23,52,20,+32,+1.75,+1.09,46.4,23.8,+22.6,+1.23,+0.24,Cody Gakpo,FW
2024-2025,25,Liverpool,eng ENG,1. Premier League,1st,19,990,52,57.9,11.0,11,74,3,8,22,0,2.42,25,12,+13,+1.18,-0.69,24.2,9.4,+14.8,+1.34,-0.10,Cody Gakpo,FW
2016-2017,23,Roma,it ITA,1. Serie A,2nd,0,,,,,0,,0,0,,38,,,,,,,,,,,,Alisson,GK
2017-2018,24,Roma,it ITA,1. Serie A,3rd,37,3330,90,97.4,37.0,37,,37,0,,0,2.00,60,28,+32,+0.86,-0.14,62.2,36.1,+26.2,+0.71,+0.70,Alisson,GK
2018-2019,25,Liverpool,eng ENG,1. Premier League,2nd,38,3420,90,100.0,38.0,38,90,38,0,,0,2.55,89,22,+67,+1.76,,73.7,28.8,+44.9,+1.18,,Alisson,GK
2019-2020,26,Liverpool,eng ENG,1. Premier League,1st,29,2543,88,74.4,28.3,29,88,27,0,,0,2.48,61,23,+38,+1.34,-0.09,50.0,27.3,+22.7,+0.80,-0.06,Alisson,GK
2020-2021,27,Liverpool,eng ENG,1. Premier League,3rd,33,2970,90,86.8,33.0,33,90,33,0,,0,1.88,58,32,+26,+0.79,+0.79,58.3,36.7,+21.6,+0.66,+0.07,Alisson,GK
2021-2022,28,Liverpool,eng ENG,1. Premier League,2nd,36,3240,90,94.7,36.0,36,90,36,0,,0,2.44,87,24,+63,+1.75,-0.75,84.1,32.1,+52.0,+1.44,-0.02,Alisson,GK
2022-2023,29,Liverpool,eng ENG,1. Premier League,5th,37,3330,90,97.4,37.0,37,90,37,0,,0,1.78,71,43,+28,+0.76,+0.76,67.5,48.9,+18.6,+0.50,-1.67,Alisson,GK
2023-2024,30,Liverpool,eng ENG,1. Premier League,3rd,28,2520,90,73.7,28.0,28,90,28,0,,0,2.00,60,30,+30,+1.07,-0.43,62.1,35.4,+26.7,+0.95,-0.58,Alisson,GK
2024-2025,31,Liverpool,eng ENG,1. Premier League,1st,11,978,89,57.2,10.9,11,89,10,0,,0,2.36,28,10,+18,+1.66,+0.43,27.1,8.2,+18.9,+1.74,+0.84,Alisson,GK
2017-2018,16,Liverpool,eng ENG,Jr. PL2 — Div. 1,2nd,5,406,81,20.5,4.5,4,90,4,1,45,1,0.60,5,9,-4,-0.89,-2.03,,,,,,Curtis Jones,MF
2017-2018,16,Liverpool,eng ENG,1. Premier League,4th,0,,,,,0,,0,0,,1,,,,,,,,,,,,Curtis Jones,MF
2018-2019,17,Liverpool,eng ENG,Jr. PL2 — Div. 1,4th,13,1083,83,54.7,12.0,13,83,8,0,,0,1.69,23,13,+10,+0.83,+0.73,,,,,,Curtis Jones,MF
2018-2019,17,Liverpool,eng ENG,1. Premier League,2nd,0,,,,,0,,0,0,,1,,,,,,,,,,,,Curtis Jones,MF
2019-2020,18,Liverpool,eng ENG,Jr. PL2 — Div. 1,5th,14,1183,85,77.3,13.1,14,85,12,0,,0,1.64,31,28,+3,+0.23,+1.01,,,,,,Curtis Jones,MF
2019-2020,18,Liverpool,eng ENG,1. Premier League,1st,6,126,21,3.7,1.4,1,68,0,5,12,10,2.67,4,1,+3,+2.14,+0.80,2.6,0.5,+2.1,+1.49,+0.70,Curtis Jones,MF
