Season,Age,Squad,Country,Comp,LgRank,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Player,Position
2016-2017,22,Hull City,eng ENG,1. Premier League,18th,30.4,,,,,,,,,,,,,,,,,,,,,,,Andrew Robertson,DF
2017-2018,23,Liverpool,eng ENG,1. Premier League,4th,21.6,1853,60,376,898,598,46,1853,17,9,52.9,8,47.1,1063,5265,2984,76,50,10,22,12,1282,214,Andrew Robertson,DF
2018-2019,24,Liverpool,eng ENG,1. Premier League,2nd,35.7,3126,64,649,1560,945,87,3126,48,28,58.3,20,41.7,1928,9048,5551,124,117,12,31,23,2163,263,Andrew Robertson,DF
2019-2020,25,Liverpool,eng ENG,1. Premier League,1st,34.6,3296,89,622,1575,1129,83,3296,44,22,50.0,22,50.0,2152,10659,6603,149,115,20,50,9,2317,277,Andrew Robertson,DF
2020-2021,26,Liverpool,eng ENG,1. Premier League,3rd,37.6,3588,103,756,1647,1226,97,3588,53,28,52.8,25,47.2,2146,10868,6389,119,101,10,42,11,2425,289,Andrew Robertson,DF
2021-2022,27,Liverpool,eng ENG,1. Premier League,2nd,28.2,2556,77,528,1172,882,88,2556,23,13,56.5,10,43.5,1436,7043,4330,96,85,19,24,15,1731,239,Andrew Robertson,DF
2022-2023,28,Liverpool,eng ENG,1. Premier League,5th,28.7,2483,79,691,1084,727,59,2483,42,17,40.5,23,54.8,1385,6702,3934,80,60,10,31,7,1637,194,Andrew Robertson,DF
2023-2024,29,Liverpool,eng ENG,1. Premier League,3rd,18.8,1713,67,387,789,548,55,1713,17,5,29.4,12,70.6,979,4623,2638,63,40,6,18,6,1160,130,Andrew Robertson,DF
2024-2025,30,Liverpool,eng ENG,1. Premier League,1st,15.3,1206,47,307,564,343,27,1206,7,2,28.6,4,57.1,636,2774,1548,32,26,3,15,6,805,46,Andrew Robertson,DF
2017-2018,18,Arg Juniors,ar ARG,1. Liga Argentina,12th,14.6,988,11,85,637,285,19,988,41,29,70.7,12,29.3,712,3462,1609,32,34,3,29,40,680,66,Alexis Mac Allister,MF
2018-2019,19,Arg Juniors,ar ARG,1. Liga Argentina,26th,17.1,981,6,63,495,444,36,980,58,31,53.4,27,46.6,567,3047,1418,32,41,4,40,31,625,105,Alexis Mac Allister,MF
2019-2020,20,Boca Juniors,ar ARG,1. Liga Argentina,1st,7.9,449,6,47,233,174,15,449,21,9,42.9,12,57.1,240,1437,603,15,19,1,26,8,284,38,Alexis Mac Allister,MF
2019-2020,20,Brighton,eng ENG,1. Premier League,15th,3.9,169,1,26,68,79,7,169,4,2,50.0,2,50.0,73,278,115,2,3,1,7,7,85,13,Alexis Mac Allister,MF
2020-2021,21,Brighton,eng ENG,1. Premier League,16th,12.4,563,8,95,258,220,34,563,26,16,61.5,10,38.5,303,1505,680,15,12,0,28,16,368,55,Alexis Mac Allister,MF
2021-2022,22,Brighton,eng ENG,1. Premier League,9th,23.6,1368,41,222,652,510,49,1365,42,21,50.0,21,50.0,719,3238,1502,30,38,2,43,23,854,66,Alexis Mac Allister,MF
2022-2023,23,Brighton,eng ENG,1. Premier League,6th,32.1,2182,48,367,1194,644,63,2176,72,42,58.3,21,29.2,1319,6135,3072,69,74,8,47,36,1644,77,Alexis Mac Allister,MF
2023-2024,24,Liverpool,eng ENG,1. Premier League,3rd,28.9,2313,73,392,1382,560,32,2312,34,18,52.9,12,35.3,1346,5738,3006,44,45,4,30,35,1626,48,Alexis Mac Allister,MF
2024-2025,25,Liverpool,eng ENG,1. Premier League,1st,14.7,958,27,161,522,282,33,958,23,8,34.8,14,60.9,479,1912,980,18,21,1,16,14,641,39,Alexis Mac Allister,MF
2019-2020,22,Porto,pt POR,1. Primeira Liga,1st,19.7,921,8,95,404,449,77,921,72,45,62.5,27,37.5,638,4374,1905,66,46,27,52,38,702,192,Luis Díaz,FW
2020-2021,23,Porto,pt POR,1. Primeira Liga,2nd,18.2,834,9,91,359,411,88,834,84,58,69.0,24,28.6,569,3831,1876,66,40,27,44,24,579,153,Luis Díaz,FW
2021-2022,24,Porto,pt POR,1. Primeira Liga,1st,16.6,885,8,36,332,528,143,884,73,46,63.0,27,37.0,608,4058,2162,90,35,55,41,19,674,186,Luis Díaz,FW
2021-2022,24,Liverpool,eng ENG,1. Premier League,2nd,10.6,595,4,32,219,349,77,595,49,31,63.3,18,36.7,399,2712,1293,53,22,31,27,26,476,127,Luis Díaz,FW
