Season,Age,Squad,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Player,Position
2021-2022,28,Liverpool,eng ENG,1. Premier League,2nd,36.0,1388,1154,234,62,0,3,0,0,0,0,0,0,1214,0,0,Alisson,GK
2022-2023,29,Liverpool,eng ENG,1. Premier League,5th,37.0,1453,1199,250,57,0,2,0,0,0,0,0,0,1241,4,1,Alisson,GK
2023-2024,30,Liverpool,eng ENG,1. Premier League,3rd,28.0,1142,983,154,38,0,5,0,0,0,0,0,0,985,5,3,Alisson,GK
2024-2025,31,Liverpool,eng ENG,1. Premier League,1st,10.9,344,302,41,12,1,0,0,0,0,0,0,0,291,1,0,Alisson,GK
2017-2018,16,Liverpool,eng ENG,Jr. PL2 — Div. 1,2nd,4.5,,,,,,,,,,,,,,,,Curtis Jones,MF
2018-2019,17,Liverpool,eng ENG,Jr. PL2 — Div. 1,4th,12.0,,,,,,,,,,,,,,,,Curtis Jones,MF
2019-2020,18,Liverpool,eng ENG,Jr. PL2 — Div. 1,5th,13.1,,,,,,,,,,,,,,,,Curtis Jones,MF
2019-2020,18,Liverpool,eng ENG,1. Premier League,1st,1.4,123,123,0,0,0,2,0,0,0,0,0,0,107,0,1,Curtis Jones,MF
2020-2021,19,Liverpool,eng ENG,1. Premier League,3rd,13.1,983,966,15,2,1,2,7,8,0,0,0,0,900,2,10,Curtis Jones,MF
2021-2022,20,Liverpool,eng ENG,1. Premier League,2nd,9.5,599,582,16,5,1,3,6,5,4,0,2,0,538,1,10,Curtis Jones,MF
2022-2023,21,Liverpool,eng ENG,Jr. PL2 — Div. 1,2nd,0.5,,,,,,,,,,,,,,,,Curtis Jones,MF
2022-2023,21,Liverpool,eng ENG,1. Premier League,5th,11.5,677,664,12,2,5,3,9,9,0,0,0,0,611,1,7,Curtis Jones,MF
2023-2024,22,Liverpool,eng ENG,1. Premier League,3rd,13.0,776,749,25,4,4,2,4,20,1,0,0,0,707,2,5,Curtis Jones,MF
2024-2025,23,Liverpool,eng ENG,1. Premier League,1st,9.7,517,491,25,3,0,1,4,8,1,0,0,0,486,1,3,Curtis Jones,MF
2016-2017,17,Liverpool,eng ENG,Jr. PL2 — Div. 1,3rd,6.0,,,,,,,,,,,,,,,,Caoimhín Kelleher,GK
2017-2018,18,Liverpool,eng ENG,Jr. PL2 — Div. 1,2nd,5.0,,,,,,,,,,,,,,,,Caoimhín Kelleher,GK
2018-2019,19,Liverpool,eng ENG,Jr. PL2 — Div. 1,4th,11.0,,,,,,,,,,,,,,,,Caoimhín Kelleher,GK
2019-2020,20,Liverpool,eng ENG,Jr. PL2 — Div. 1,5th,6.0,,,,,,,,,,,,,,,,Caoimhín Kelleher,GK
2020-2021,21,Liverpool,eng ENG,Jr. PL2 — Div. 1,7th,5.0,,,,,,,,,,,,,,,,Caoimhín Kelleher,GK
2020-2021,21,Liverpool,eng ENG,1. Premier League,3rd,2.0,64,47,17,3,0,0,0,0,0,0,0,0,51,0,0,Caoimhín Kelleher,GK
2021-2022,22,Liverpool,eng ENG,1. Premier League,2nd,2.0,91,74,17,4,0,0,0,0,0,0,0,0,83,0,0,Caoimhín Kelleher,GK
2022-2023,23,Liverpool,eng ENG,Jr. PL2 — Div. 1,2nd,1.0,,,,,,,,,,,,,,,,Caoimhín Kelleher,GK
2022-2023,23,Liverpool,eng ENG,1. Premier League,5th,1.0,24,22,2,0,0,0,0,0,0,0,0,0,23,0,0,Caoimhín Kelleher,GK
2023-2024,24,Liverpool,eng ENG,1. Premier League,3rd,10.0,442,401,38,10,0,0,0,0,0,0,0,0,359,3,0,Caoimhín Kelleher,GK
2024-2025,25,Liverpool,eng ENG,1. Premier League,1st,8.0,296,265,31,16,0,0,0,0,0,0,0,0,221,0,1,Caoimhín Kelleher,GK
2019-2020,20,Almería,es ESP,2. La Liga 2,4th,26.9,511,461,47,3,1,7,7,1,0,0,0,0,312,3,13,Darwin Núñez,FW
2020-2021,21,Benfica,pt POR,1. Primeira Liga,3rd,19.9,396,389,5,1,1,2,12,3,0,0,0,0,263,2,11,Darwin Núñez,FW
2021-2022,22,Benfica,pt POR,1. Primeira Liga,3rd,22.0,469,458,10,2,2,6,51,4,1,0,0,0,293,1,23,Darwin Núñez,FW
2022-2023,23,Liverpool,eng ENG,1. Premier League,5th,18.8,401,386,11,0,2,8,18,8,1,0,0,0,258,4,22,Darwin Núñez,FW
2023-2024,24,Liverpool,eng ENG,1. Premier League,3rd,22.7,493,472,17,2,6,1,19,5,0,0,0,0,341,4,18,Darwin Núñez,FW
2024-2025,25,Liverpool,eng ENG,1. Premier League,1st,8.4,139,136,2,0,1,5,1,2,0,0,0,0,97,1,9,Darwin Núñez,FW
2014-2015,17,Paços,pt POR,1. Primeira Liga,8th,7.1,,,,,,,,,,,,,,,,Diogo Jota,FW
2015-2016,18,Paços,pt POR,1. Primeira Liga,7th,30.6,,,,,,,,,,,,,,,,Diogo Jota,FW
2016-2017,19,Porto,pt POR,1. Primeira Liga,2nd,16.1,,,,,,,0,,,,,,,,,Diogo Jota,FW
2017-2018,20,Wolves,eng ENG,2. Championship,1st,40.1,,,,,,,53,,,,,,,,,Diogo Jota,FW
2018-2019,21,Wolves,eng ENG,1. Premier League,7th,26.2,789,752,33,0,3,1,36,4,0,0,0,0,574,4,29,Diogo Jota,FW
2019-2020,22,Wolves,eng ENG,1. Premier League,7th,25.4,886,828,52,0,4,10,38,2,0,0,0,0,682,6,27,Diogo Jota,FW
2020-2021,23,Liverpool,eng ENG,1. Premier League,3rd,12.4,449,443,2,0,1,2,18,1,0,0,0,0,321,4,18,Diogo Jota,FW
2021-2022,24,Liverpool,eng ENG,1. Premier League,2nd,26.3,770,765,0,0,10,1,21,0,0,0,0,0,559,5,23,Diogo Jota,FW
2022-2023,25,Liverpool,eng ENG,1. Premier League,5th,12.6,381,379,2,0,3,1,8,0,0,0,0,0,286,0,14,Diogo Jota,FW
2023-2024,26,Liverpool,eng ENG,1. Premier League,3rd,12.7,394,393,1,0,5,1,9,1,0,0,0,0,287,0,22,Diogo Jota,FW
2024-2025,27,Liverpool,eng ENG,1. Premier League,1st,6.7,169,166,2,0,0,2,7,1,0,0,0,0,118,1,9,Diogo Jota,FW
2014-2015,17,Charlton Ath,eng ENG,2. Championship,12th,16.5,,,,,,,,,,,,,,,,Joe Gomez,DF
2015-2016,18,Liverpool,eng ENG,1. Premier League,8th,4.9,,,,,,,,,,,,,,,,Joe Gomez,DF
2016-2017,19,Liverpool,eng ENG,Jr. PL2 — Div. 1,3rd,7.5,,,,,,,,,,,,,,,,Joe Gomez,DF
2017-2018,20,Liverpool,eng ENG,1. Premier League,4th,21.1,1625,1368,255,14,0,6,45,241,0,0,0,0,1315,2,19,Joe Gomez,DF
2018-2019,21,Liverpool,eng ENG,Jr. PL2 — Div. 1,4th,0.7,,,,,,,,,,,,,,,,Joe Gomez,DF
2018-2019,21,Liverpool,eng ENG,1. Premier League,2nd,11.8,839,775,61,18,0,3,7,43,0,0,0,0,717,3,9,Joe Gomez,DF
2019-2020,22,Liverpool,eng ENG,1. Premier League,1st,22.3,2015,1968,44,29,1,15,9,15,0,0,0,0,1766,3,10,Joe Gomez,DF
2020-2021,23,Liverpool,eng ENG,1. Premier League,3rd,6.6,558,543,14,13,0,9,0,1,0,0,0,0,500,1,1,Joe Gomez,DF
2021-2022,24,Liverpool,eng ENG,1. Premier League,2nd,3.7,292,251,39,7,0,1,19,32,0,0,0,0,230,2,3,Joe Gomez,DF
2022-2023,25,Liverpool,eng ENG,1. Premier League,5th,16.3,1361,1316,39,6,2,11,4,30,0,0,0,0,1166,6,5,Joe Gomez,DF
2023-2024,26,Liverpool,eng ENG,1. Premier League,3rd,19.8,1345,1172,169,14,3,9,39,153,0,0,0,0,1114,4,29,Joe Gomez,DF
2024-2025,27,Liverpool,eng ENG,1. Premier League,1st,5.8,425,406,18,12,1,5,2,6,0,0,0,0,377,1,2,Joe Gomez,DF
2015-2016,19,Olympiacos,gr GRE,1. Super League,1st,2.2,,,,,,,,,,,,,,,,Kostas Tsimikas,DF
2016-2017,20,Olympiacos,gr GRE,1. Super League,1st,0.7,,,,,,,0,,,,,,,,,Kostas Tsimikas,DF
2016-2017,20,Esbjerg,dk DEN,1. Danish Superliga,14th,7.7,,,,,,,0,,,,,,,,,Kostas Tsimikas,DF
2017-2018,21,Willem II,nl NED,1. Eredivisie,13th,31.3,,,,,,,0,,,,,,,,,Kostas Tsimikas,DF
2018-2019,22,Olympiacos,gr GRE,1. Super League,2nd,14.0,,,,,,,,,,,,,,,,Kostas Tsimikas,DF
2019-2020,23,Olympiacos,gr GRE,1. Super League,1st,25.7,,,,,,,,,,,,,,,,Kostas Tsimikas,DF
2020-2021,24,Liverpool,eng ENG,1. Premier League,3rd,0.1,9,7,2,0,0,0,2,2,0,0,0,0,6,0,1,Kostas Tsimikas,DF
2021-2022,25,Liverpool,eng ENG,1. Premier League,2nd,9.7,705,573,131,11,0,2,116,76,44,7,35,0,508,1,24,Kostas Tsimikas,DF
