Season,Age,Squad,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Player,Position
2019-2020,17,Genoa,it ITA,1. Serie A,17th,1.2,59,68,86.8,1113,247,25,27,92.6,24,29,82.8,8,9,88.9,0,0.0,0.0,0.0,0,2,0,0,3,Nicolò Rovella,MF
2020-2021,18,Genoa,it ITA,1. Serie A,11th,13.2,710,844,84.1,12704,3236,323,349,92.6,279,315,88.6,92,142,64.8,2,1.6,0.8,+0.4,16,53,11,4,59,Nicolò Rovella,MF
2021-2022,19,Genoa,it ITA,1. Serie A,19th,16.3,762,977,78.0,14063,3760,344,373,92.2,269,327,82.3,121,226,53.5,3,2.3,2.5,+0.7,30,64,8,1,84,Nicolò Rovella,MF
2022-2023,20,Monza,it ITA,1. Serie A,11th,19.3,1206,1363,88.5,22554,5545,496,534,92.9,549,594,92.4,145,193,75.1,2,2.2,1.6,-0.2,22,105,15,2,99,Nicolò Rovella,MF
2022-2023,20,Juventus,it ITA,1. Serie A,7th,0.3,22,25,88.0,448,82,7,8,87.5,11,12,91.7,3,4,75.0,0,0.0,0.0,0.0,0,3,0,0,1,Nicolò Rovella,MF
2023-2024,21,Lazio,it ITA,1. Serie A,7th,14.6,851,976,87.2,14115,3415,412,437,94.3,351,381,92.1,66,104,63.5,2,0.5,0.6,+1.5,10,68,5,0,56,Nicolò Rovella,MF
2024-2025,22,Lazio,it ITA,1. Serie A,4th,13.8,924,1028,89.9,17259,4249,355,378,93.9,463,488,94.9,96,136,70.6,0,0.9,1.0,-0.9,14,81,10,1,83,Nicolò Rovella,MF
2012-2013,17,Roma,it ITA,1. Serie A,6th,1.1,,,,,,,,,,,,,,,0,,,,,,,,,Alessio Romagnoli,DF
2013-2014,18,Roma,it ITA,1. Serie A,2nd,7.8,,,,,,,,,,,,,,,0,,,,,,,,,Alessio Romagnoli,DF
2014-2015,19,Sampdoria,it ITA,1. Serie A,7th,28.2,,,,,,,,,,,,,,,2,,,,,,,,,Alessio Romagnoli,DF
2015-2016,20,Milan,it ITA,1. Serie A,7th,32.7,,,,,,,,,,,,,,,0,,,,,,,,,Alessio Romagnoli,DF
2016-2017,21,Milan,it ITA,1. Serie A,6th,26.3,,,,,,,,,,,,,,,1,,,,,,,,,Alessio Romagnoli,DF
2017-2018,22,Milan,it ITA,1. Serie A,6th,26.1,1356,1491,90.9,27291,9911,382,405,94.3,800,834,95.9,162,221,73.3,0,0.3,0.3,-0.3,7,72,0,0,81,Alessio Romagnoli,DF
2018-2019,23,Milan,it ITA,1. Serie A,5th,31.6,1615,1776,90.9,30490,10433,576,612,94.1,873,925,94.4,154,209,73.7,0,0.2,0.4,-0.2,6,50,1,1,86,Alessio Romagnoli,DF
2019-2020,24,Milan,it ITA,1. Serie A,6th,34.3,1808,1994,90.7,34135,12773,629,662,95.0,977,1040,93.9,179,249,71.9,0,1.2,0.5,-1.2,11,113,5,0,130,Alessio Romagnoli,DF
2020-2021,25,Milan,it ITA,1. Serie A,2nd,21.2,920,1029,89.4,16835,5763,314,333,94.3,534,571,93.5,61,99,61.6,1,0.8,0.9,+0.2,3,40,2,1,62,Alessio Romagnoli,DF
2021-2022,26,Milan,it ITA,1. Serie A,1st,15.7,893,999,89.4,16845,6188,291,323,90.1,505,540,93.5,80,108,74.1,0,0.1,0.5,-0.1,3,66,3,0,71,Alessio Romagnoli,DF
2022-2023,27,Lazio,it ITA,1. Serie A,2nd,32.5,1673,1849,90.5,28906,11821,753,789,95.4,717,764,93.8,153,223,68.6,0,0.1,0.4,-0.1,2,91,4,0,62,Alessio Romagnoli,DF
2023-2024,28,Lazio,it ITA,1. Serie A,7th,26.8,1604,1759,91.2,27365,9970,670,703,95.3,804,849,94.7,96,153,62.7,0,0.6,0.6,-0.6,6,82,5,1,87,Alessio Romagnoli,DF
2024-2025,29,Lazio,it ITA,1. Serie A,4th,12.4,707,769,91.9,12519,3923,270,288,93.8,386,406,95.1,39,56,69.6,0,0.1,0.1,-0.1,4,34,1,0,28,Alessio Romagnoli,DF
2019-2020,19,Benfica,pt POR,1. Primeira Liga,2nd,10.3,447,637,70.2,8149,2746,216,260,83.1,176,236,74.6,49,102,48.0,4,2.6,2.0,+1.4,14,33,22,14,43,Nuno Tavares,DF
2020-2021,20,Benfica,pt POR,1. Primeira Liga,3rd,7.0,395,512,77.1,6295,2092,203,239,84.9,145,190,76.3,32,52,61.5,0,1.0,1.1,-1.0,9,32,14,7,40,Nuno Tavares,DF
