Season,Age,Squad,Country,Comp,LgRank,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Player,Position
2022-2023,23,Fortuna Sittard,nl NED,1. Eredivisie,13th,17.9,51,2.86,35,0,10,3,3,0,8,0.45,4,0,3,1,0,0,Tijjani Noslin,"FW,MF"
2023-2024,24,Fortuna Sittard,nl NED,1. Eredivisie,10th,11.3,33,2.91,21,3,7,0,1,1,3,0.26,2,0,1,0,0,0,Tijjani Noslin,"FW,MF"
2023-2024,24,Hellas Verona,it ITA,1. Serie A,13th,14.9,55,3.70,47,0,2,2,4,0,7,0.47,5,0,1,0,1,0,Tijjani Noslin,"FW,MF"
2024-2025,25,Lazio,it ITA,1. Serie A,4th,6.0,18,3.00,14,0,2,1,1,0,3,0.50,2,0,1,0,0,0,Tijjani Noslin,"FW,MF"
2015-2016,22,Lazio,it ITA,1. Serie A,8th,6.5,,,,,,,,,,,,,,,,,Patric,DF
2016-2017,23,Lazio,it ITA,1. Serie A,5th,11.3,,,,,,,,,,,,,,,,,Patric,DF
2017-2018,24,Lazio,it ITA,1. Serie A,5th,6.6,14,2.51,14,0,0,0,0,0,3,0.54,3,0,0,0,0,0,Patric,DF
2018-2019,25,Lazio,it ITA,1. Serie A,8th,12.1,18,1.49,16,1,0,0,0,1,0,0.00,0,0,0,0,0,0,Patric,DF
2019-2020,26,Lazio,it ITA,1. Serie A,4th,18.6,28,1.51,27,0,1,0,0,0,3,0.16,3,0,0,0,0,0,Patric,DF
2020-2021,27,Lazio,it ITA,1. Serie A,6th,17.7,32,1.80,30,0,0,1,0,1,4,0.23,4,0,0,0,0,0,Patric,DF
2021-2022,28,Lazio,it ITA,1. Serie A,5th,18.3,13,0.71,12,0,0,1,0,0,2,0.11,1,0,0,1,0,0,Patric,DF
2022-2023,29,Lazio,it ITA,1. Serie A,2nd,15.7,6,0.38,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Patric,DF
2023-2024,30,Lazio,it ITA,1. Serie A,7th,17.9,9,0.50,7,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Patric,DF
2024-2025,31,Lazio,it ITA,1. Serie A,4th,6.5,10,1.54,10,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Patric,DF
2019-2020,18,Manchester City,eng ENG,Jr. PL2 — Div. 1,9th,9.6,,,,,,,,,,,,,,,,,Fisayo Dele-Bashiru,MF
2020-2021,19,Sheffield Weds,eng ENG,2. Championship,24th,3.2,6,1.87,3,0,2,0,1,0,0,0.00,0,0,0,0,0,0,Fisayo Dele-Bashiru,MF
2021-2022,20,Sheffield Weds,eng ENG,3. League One,4th,15.7,,,,,,,,,,,,,,,,,Fisayo Dele-Bashiru,MF
2022-2023,21,Sheffield Weds,eng ENG,3. League One,3rd,15.5,,,,,,,,,,,,,,,,,Fisayo Dele-Bashiru,MF
2023-2024,22,Hatayspor,tr TUR,1. Süper Lig,15th,33.7,,,,,,,,,,,,,,,,,Fisayo Dele-Bashiru,MF
2024-2025,23,Lazio,it ITA,1. Serie A,4th,4.3,15,2.81,10,0,4,1,0,0,0,0.00,0,0,0,0,0,0,Fisayo Dele-Bashiru,MF
2013-2014,21,Fiorentina,it ITA,1. Serie A,4th,1.7,,,,,,,,,,,,,,,,,Matías Vecino,MF
2013-2014,21,Cagliari,it ITA,1. Serie A,15th,7.6,,,,,,,,,,,,,,,,,Matías Vecino,MF
2014-2015,22,Empoli,it ITA,1. Serie A,15th,33.2,,,,,,,,,,,,,,,,,Matías Vecino,MF
2015-2016,23,Fiorentina,it ITA,1. Serie A,5th,26.6,,,,,,,,,,,,,,,,,Matías Vecino,MF
2016-2017,24,Fiorentina,it ITA,1. Serie A,8th,26.2,,,,,,,,,,,,,,,,,Matías Vecino,MF
2017-2018,25,Inter,it ITA,1. Serie A,4th,23.7,75,3.16,67,0,1,3,2,2,6,0.25,6,0,0,0,0,0,Matías Vecino,MF
2018-2019,26,Inter,it ITA,1. Serie A,4th,22.4,69,3.08,50,2,4,9,2,2,9,0.40,4,0,1,3,0,1,Matías Vecino,MF
2019-2020,27,Inter,it ITA,1. Serie A,2nd,14.2,34,2.39,26,0,1,5,2,0,4,0.28,4,0,0,0,0,0,Matías Vecino,MF
2020-2021,28,Inter,it ITA,1. Serie A,1st,3.1,8,2.54,7,0,0,1,0,0,1,0.32,1,0,0,0,0,0,Matías Vecino,MF
2021-2022,29,Inter,it ITA,1. Serie A,2nd,4.2,15,3.61,14,0,0,1,0,0,4,0.96,4,0,0,0,0,0,Matías Vecino,MF
2022-2023,30,Lazio,it ITA,1. Serie A,2nd,18.8,29,1.54,27,0,1,1,0,0,3,0.16,3,0,0,0,0,0,Matías Vecino,MF
2023-2024,31,Lazio,it ITA,1. Serie A,7th,12.8,26,2.03,23,0,0,2,0,1,2,0.16,1,0,0,1,0,0,Matías Vecino,MF
2024-2025,32,Lazio,it ITA,1. Serie A,4th,5.4,16,2.96,13,0,0,2,0,1,2,0.37,2,0,0,0,0,0,Matías Vecino,MF
2007-2008,20,Barcelona,es ESP,1. La Liga,3rd,0.2,,,,,,,,,,,,,,,,,Pedro,"FW,MF"
2008-2009,21,Barcelona,es ESP,1. La Liga,1st,3.9,,,,,,,,,,,,,,,,,Pedro,"FW,MF"
2009-2010,22,Barcelona,es ESP,1. La Liga,1st,23.2,,,,,,,,,,,,,,,,,Pedro,"FW,MF"
2010-2011,23,Barcelona,es ESP,1. La Liga,1st,23.6,,,,,,,,,,,,,,,,,Pedro,"FW,MF"
2011-2012,24,Barcelona,es ESP,1. La Liga,2nd,18.0,,,,,,,,,,,,,,,,,Pedro,"FW,MF"
2012-2013,25,Barcelona,es ESP,1. La Liga,1st,23.0,,,,,,,,,,,,,,,,,Pedro,"FW,MF"
2013-2014,26,Barcelona,es ESP,1. La Liga,2nd,26.1,,,,,,,,,,,,,,,,,Pedro,"FW,MF"
2014-2015,27,Barcelona,es ESP,1. La Liga,1st,17.3,,,,,,,,,,,,,,,,,Pedro,"FW,MF"
2015-2016,28,Chelsea,eng ENG,1. Premier League,10th,22.6,,,,,,,,,,,,,,,,,Pedro,"FW,MF"
2016-2017,29,Chelsea,eng ENG,1. Premier League,1st,23.8,,,,,,,,,,,,,,,,,Pedro,"FW,MF"
2017-2018,30,Chelsea,eng ENG,1. Premier League,5th,16.9,65,3.84,52,1,4,5,2,1,2,0.12,2,0,0,0,0,0,Pedro,"FW,MF"
2018-2019,31,Chelsea,eng ENG,1. Premier League,3rd,19.8,81,4.10,68,1,7,2,1,2,8,0.40,6,0,2,0,0,0,Pedro,"FW,MF"
2019-2020,32,Chelsea,eng ENG,1. Premier League,4th,7.3,35,4.77,23,1,3,6,2,0,4,0.54,2,0,1,1,0,0,Pedro,"FW,MF"
2020-2021,33,Roma,it ITA,1. Serie A,7th,17.7,71,4.25,50,5,6,5,4,1,9,0.54,4,1,2,0,2,0,Pedro,"FW,MF"
2021-2022,34,Lazio,it ITA,1. Serie A,5th,22.6,64,2.83,54,0,4,3,2,1,9,0.40,8,0,1,0,0,0,Pedro,"FW,MF"
2022-2023,35,Lazio,it ITA,1. Serie A,2nd,21.1,53,2.52,36,1,6,6,2,2,7,0.33,5,0,0,1,1,0,Pedro,"FW,MF"
2023-2024,36,Lazio,it ITA,1. Serie A,7th,9.1,27,2.97,21,1,3,0,2,0,1,0.11,1,0,0,0,0,0,Pedro,"FW,MF"
2024-2025,37,Lazio,it ITA,1. Serie A,4th,5.2,21,4.04,17,3,0,1,0,0,1,0.19,1,0,0,0,0,0,Pedro,"FW,MF"
2018-2019,19,Roma,it ITA,1. Serie A,6th,1.8,3,1.67,3,0,0,0,0,0,1,0.56,1,0,0,0,0,0,Luca Pellegrini,DF
2018-2019,19,Cagliari,it ITA,1. Serie A,15th,10.4,17,1.63,13,1,2,0,0,1,1,0.10,1,0,0,0,0,0,Luca Pellegrini,DF
2019-2020,20,Cagliari,it ITA,1. Serie A,14th,21.2,52,2.45,39,5,4,1,3,0,9,0.42,7,1,0,0,1,0,Luca Pellegrini,DF
2020-2021,21,Genoa,it ITA,1. Serie A,11th,7.1,12,1.73,9,0,3,0,0,0,1,0.14,1,0,0,0,0,0,Luca Pellegrini,DF
2021-2022,22,Juventus,it ITA,1. Serie A,4th,12.3,30,2.44,20,5,1,0,3,1,4,0.32,4,0,0,0,0,0,Luca Pellegrini,DF
2022-2023,23,Eint Frankfurt,de GER,1. Bundesliga,7th,6.2,14,2.27,6,5,1,0,2,0,0,0.00,0,0,0,0,0,0,Luca Pellegrini,DF
2022-2023,23,Lazio,it ITA,1. Serie A,2nd,2.0,16,8.00,13,1,2,0,0,0,2,1.00,1,0,1,0,0,0,Luca Pellegrini,DF
2023-2024,24,Lazio,it ITA,1. Serie A,7th,8.7,14,1.61,6,1,3,1,3,0,1,0.11,0,0,0,0,1,0,Luca Pellegrini,DF
2024-2025,25,Lazio,it ITA,1. Serie A,4th,4.2,18,4.01,11,2,1,2,1,1,8,1.78,4,0,1,2,1,0,Luca Pellegrini,DF
2017-2018,19,Perugia,it ITA,2. Serie B,8th,0.1,,,,,,,,,,,,,,,,,Nicolò Casale,DF
2019-2020,21,Venezia,it ITA,2. Serie B,11th,16.2,11,0.68,11,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Nicolò Casale,DF
2020-2021,22,Empoli,it ITA,2. Serie B,1st,20.6,17,0.83,15,1,1,0,0,0,1,0.05,1,0,0,0,0,0,Nicolò Casale,DF
2021-2022,23,Hellas Verona,it ITA,1. Serie A,9th,28.7,34,1.18,33,1,0,0,0,0,5,0.17,5,0,0,0,0,0,Nicolò Casale,DF
2022-2023,24,Lazio,it ITA,1. Serie A,2nd,27.1,12,0.44,10,1,0,1,0,0,4,0.15,3,0,0,1,0,0,Nicolò Casale,DF
2023-2024,25,Lazio,it ITA,1. Serie A,7th,17.3,12,0.69,9,0,0,3,0,0,1,0.06,0,0,0,1,0,0,Nicolò Casale,DF
2024-2025,26,Lazio,it ITA,1. Serie A,4th,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Nicolò Casale,DF
2024-2025,26,Bologna,it ITA,1. Serie A,7th,2.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Nicolò Casale,DF
2021-2022,17,Rennes,fr FRA,1. Ligue 1,4th,1.0,3,3.10,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Loum Tchaouna,"FW,MF"
2022-2023,18,Dijon,fr FRA,2. Ligue 2,18th,18.0,55,3.05,30,7,9,6,3,0,4,0.22,2,0,0,2,0,0,Loum Tchaouna,"FW,MF"
2023-2024,19,Salernitana,it ITA,1. Serie A,20th,23.3,56,2.40,42,1,5,6,2,0,7,0.30,4,0,2,1,0,0,Loum Tchaouna,"FW,MF"
2024-2025,20,Lazio,it ITA,1. Serie A,4th,3.5,18,4.31,15,1,0,0,0,2,4,0.96,4,0,0,0,0,0,Loum Tchaouna,"FW,MF"
2014-2015,17,Bari,it ITA,2. Serie B,10th,0.2,,,,,,,,,,,,,,,,,Gaetano Castrovilli,"MF,FW"
2016-2017,19,Bari,it ITA,2. Serie B,12th,1.8,,,,,,,,,,,,,,,,,Gaetano Castrovilli,"MF,FW"
