Season,Age,Squad,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Player,Position
2015-2016,28,Chelsea,eng ENG,1. Premier League,10th,22.6,3,0,,23,,,,,,,,,,,,,Pedro,"FW,MF"
2016-2017,29,Chelsea,eng ENG,1. Premier League,1st,23.8,6,0,0,32,40,8,72,21,36,1,0,0,,,,,Pedro,"FW,MF"
2017-2018,30,Chelsea,eng ENG,1. Premier League,5th,16.9,1,0,0,9,18,15,46,13,11,0,0,0,99,0,18,0.0,Pedro,"FW,MF"
2018-2019,31,Chelsea,eng ENG,1. Premier League,3rd,19.8,2,0,0,17,26,8,61,18,14,0,0,0,94,8,14,36.4,Pedro,"FW,MF"
2019-2020,32,Chelsea,eng ENG,1. Premier League,4th,7.3,1,0,0,8,11,0,20,9,7,0,0,0,52,2,4,33.3,Pedro,"FW,MF"
2020-2021,33,Roma,it ITA,1. Serie A,7th,17.7,5,1,1,25,34,7,35,9,14,2,0,0,67,3,12,20.0,Pedro,"FW,MF"
2021-2022,34,Lazio,it ITA,1. Serie A,5th,22.6,5,0,0,31,39,6,31,6,23,1,0,0,117,3,12,20.0,Pedro,"FW,MF"
2022-2023,35,Lazio,it ITA,1. Serie A,2nd,21.1,1,0,0,26,30,5,34,6,24,1,0,0,89,1,5,16.7,Pedro,"FW,MF"
2023-2024,36,Lazio,it ITA,1. Serie A,7th,9.1,4,0,0,13,19,4,20,3,12,0,0,0,49,2,10,16.7,Pedro,"FW,MF"
2024-2025,37,Lazio,it ITA,1. Serie A,4th,5.2,1,0,0,9,8,1,20,1,5,0,0,0,25,1,2,33.3,Pedro,"FW,MF"
2018-2019,19,Roma,it ITA,1. Serie A,6th,1.8,2,0,0,4,1,0,6,3,1,0,1,0,12,3,4,42.9,Luca Pellegrini,DF
2018-2019,19,Cagliari,it ITA,1. Serie A,15th,10.4,3,1,1,17,9,1,58,18,19,0,1,0,55,9,17,34.6,Luca Pellegrini,DF
2019-2020,20,Cagliari,it ITA,1. Serie A,14th,21.2,10,0,0,32,22,0,114,21,15,1,1,0,122,18,19,48.6,Luca Pellegrini,DF
2020-2021,21,Genoa,it ITA,1. Serie A,11th,7.1,2,0,0,10,16,0,29,8,6,0,0,1,50,4,13,23.5,Luca Pellegrini,DF
2021-2022,22,Juventus,it ITA,1. Serie A,4th,12.3,6,0,0,23,21,0,54,5,10,0,0,0,73,9,8,52.9,Luca Pellegrini,DF
2022-2023,23,Eint Frankfurt,de GER,1. Bundesliga,7th,6.2,1,0,0,8,8,0,54,7,8,0,0,0,53,5,3,62.5,Luca Pellegrini,DF
2022-2023,23,Lazio,it ITA,1. Serie A,2nd,2.0,3,0,0,5,1,0,15,7,0,0,0,0,12,3,7,30.0,Luca Pellegrini,DF
2023-2024,24,Lazio,it ITA,1. Serie A,7th,8.7,7,1,1,19,13,0,28,9,13,0,0,0,50,13,7,65.0,Luca Pellegrini,DF
2024-2025,25,Lazio,it ITA,1. Serie A,4th,4.2,1,0,0,8,5,0,28,6,3,1,0,0,21,5,4,55.6,Luca Pellegrini,DF
2017-2018,19,Perugia,it ITA,2. Serie B,8th,0.1,0,0,,,,,,,,,,,,,,,Nicolò Casale,DF
2019-2020,21,Venezia,it ITA,2. Serie B,11th,16.2,2,0,0,14,18,0,2,16,16,0,0,0,90,39,30,56.5,Nicolò Casale,DF
2020-2021,22,Empoli,it ITA,2. Serie B,1st,20.6,2,0,0,23,12,1,22,30,23,0,0,0,126,55,48,53.4,Nicolò Casale,DF
2021-2022,23,Hellas Verona,it ITA,1. Serie A,9th,28.7,10,0,0,44,24,0,15,49,30,0,0,0,197,69,61,53.1,Nicolò Casale,DF
2022-2023,24,Lazio,it ITA,1. Serie A,2nd,27.1,6,0,0,22,7,0,0,17,20,0,0,0,142,45,27,62.5,Nicolò Casale,DF
2023-2024,25,Lazio,it ITA,1. Serie A,7th,17.3,5,0,0,24,6,0,0,12,9,0,1,0,74,23,24,48.9,Nicolò Casale,DF
2024-2025,26,Lazio,it ITA,1. Serie A,4th,1.5,0,0,0,2,0,0,0,1,3,0,0,0,1,6,0,100.0,Nicolò Casale,DF
2024-2025,26,Bologna,it ITA,1. Serie A,7th,2.9,0,0,0,4,2,0,0,2,1,0,0,1,12,10,12,45.5,Nicolò Casale,DF
2021-2022,17,Rennes,fr FRA,1. Ligue 1,4th,1.0,0,0,0,0,1,2,4,2,1,0,0,0,7,2,0,100.0,Loum Tchaouna,"FW,MF"
2022-2023,18,Dijon,fr FRA,2. Ligue 2,18th,18.0,1,0,0,15,17,7,58,7,11,0,0,0,83,22,55,28.6,Loum Tchaouna,"FW,MF"
2023-2024,19,Salernitana,it ITA,1. Serie A,20th,23.3,4,0,0,15,30,6,70,4,10,0,0,0,69,27,66,29.0,Loum Tchaouna,"FW,MF"
2024-2025,20,Lazio,it ITA,1. Serie A,4th,3.5,2,0,0,7,0,0,25,3,3,0,0,0,11,3,15,16.7,Loum Tchaouna,"FW,MF"
2014-2015,17,Bari,it ITA,2. Serie B,10th,0.2,0,0,,,,,,,,,,,,,,,Gaetano Castrovilli,"MF,FW"
2016-2017,19,Bari,it ITA,2. Serie B,12th,1.8,0,0,,,,,,,,,,,,,,,Gaetano Castrovilli,"MF,FW"
2017-2018,20,Cremonese,it ITA,2. Serie B,14th,17.3,3,0,0,,0,0,0,0,0,0,0,0,,,,,Gaetano Castrovilli,"MF,FW"
