Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Player,Position
2019-2020,25,Lazio,it ITA,1. Serie A,4th,32,29,2548,28.3,0,3,3,0,0,0,6,0,1.3,1.3,3.2,4.5,140,39,267,0.00,0.11,0.11,0.00,0.11,0.05,0.11,0.16,0.05,0.16,Manuel Lazzari,DF
2020-2021,26,Lazio,it ITA,1. Serie A,6th,32,30,2613,29.0,2,5,7,2,0,0,2,1,2.1,2.1,3.4,5.6,130,37,202,0.07,0.17,0.24,0.07,0.24,0.07,0.12,0.19,0.07,0.19,Manuel Lazzari,DF
2021-2022,27,Lazio,it ITA,1. Serie A,5th,31,16,1665,18.5,3,3,6,3,0,0,3,0,0.8,0.8,2.1,2.8,80,50,107,0.16,0.16,0.32,0.16,0.32,0.04,0.11,0.15,0.04,0.15,Manuel Lazzari,DF
2022-2023,28,Lazio,it ITA,1. Serie A,2nd,28,22,1879,20.9,0,0,0,0,0,0,8,0,0.3,0.3,0.7,1.0,98,64,74,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Manuel Lazzari,DF
2023-2024,29,Lazio,it ITA,1. Serie A,7th,24,19,1671,18.6,0,2,2,0,0,0,4,1,1.0,1.0,1.3,2.3,73,62,104,0.00,0.11,0.11,0.00,0.11,0.06,0.07,0.13,0.06,0.13,Manuel Lazzari,DF
2024-2025,30,Lazio,it ITA,1. Serie A,4th,15,11,892,9.9,0,1,1,0,0,0,1,0,0.1,0.1,0.9,1.0,48,51,74,0.00,0.10,0.10,0.00,0.10,0.01,0.10,0.10,0.01,0.10,Manuel Lazzari,DF
2013-2014,20,Voždovac,rs SRB,1. SuperLiga,7th,27,24,2116,23.5,6,2,8,6,0,0,1,1,,,,,,,,0.26,0.09,0.34,0.26,0.34,,,,,,Adam Marušić,DF
2014-2015,21,Kortrijk,be BEL,1. Pro League,6th,34,27,2385,26.5,6,3,9,6,0,0,8,1,,,,,,,,0.23,0.11,0.34,0.23,0.34,,,,,,Adam Marušić,DF
2015-2016,22,Kortrijk,be BEL,1. Pro League,7th,35,31,2833,31.5,4,0,4,3,1,2,6,0,,,,,,,,0.13,0.00,0.13,0.10,0.10,,,,,,Adam Marušić,DF
2016-2017,23,Oostende,be BEL,1. First Division A,4th,35,33,2999,33.3,5,4,9,5,0,0,6,0,,,,,,,,0.15,0.12,0.27,0.15,0.27,,,,,,Adam Marušić,DF
