Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Player,Position
2016-2017,23,Oostende,be BEL,1. First Division A,4th,33.3,,0,,,,,,,,,,,0,,,,Adam Marušić,DF
2017-2018,24,Lazio,it ITA,1. Serie A,5th,28.0,28,21,17,8,3,12,28,42.9,16,22,2,20,31,59,33,0,Adam Marušić,DF
2018-2019,25,Lazio,it ITA,1. Serie A,8th,23.5,32,15,14,14,4,16,25,64.0,9,25,4,21,24,56,36,0,Adam Marušić,DF
2019-2020,26,Lazio,it ITA,1. Serie A,4th,10.5,11,6,7,4,0,4,11,36.4,7,14,2,12,14,25,16,0,Adam Marušić,DF
2020-2021,27,Lazio,it ITA,1. Serie A,6th,33.0,38,22,22,15,1,20,40,50.0,20,38,6,32,40,78,54,0,Adam Marušić,DF
2021-2022,28,Lazio,it ITA,1. Serie A,5th,30.2,30,18,16,12,2,13,32,40.6,19,19,8,11,41,71,71,0,Adam Marušić,DF
2022-2023,29,Lazio,it ITA,1. Serie A,2nd,30.7,41,30,23,14,4,25,39,64.1,14,20,6,14,38,79,63,1,Adam Marušić,DF
2023-2024,30,Lazio,it ITA,1. Serie A,7th,34.4,45,31,24,19,2,27,49,55.1,22,27,7,20,29,74,63,2,Adam Marušić,DF
2024-2025,31,Lazio,it ITA,1. Serie A,4th,10.4,15,8,9,6,0,7,13,53.8,6,6,3,3,7,22,26,0,Adam Marušić,DF
2021-2022,22,Fortuna Sittard,nl NED,1. Eredivisie,15th,9.1,11,5,3,5,3,3,22,13.6,19,10,2,8,3,14,8,0,Tijjani Noslin,"FW,MF"
2022-2023,23,Fortuna Sittard,nl NED,1. Eredivisie,13th,17.9,48,30,30,13,5,23,49,46.9,26,29,5,24,21,69,32,0,Tijjani Noslin,"FW,MF"
2023-2024,24,Fortuna Sittard,nl NED,1. Eredivisie,10th,11.3,16,9,4,10,2,9,17,52.9,8,19,2,17,8,24,5,0,Tijjani Noslin,"FW,MF"
2023-2024,24,Hellas Verona,it ITA,1. Serie A,13th,14.9,18,8,5,7,6,6,16,37.5,10,17,2,15,2,20,14,0,Tijjani Noslin,"FW,MF"
2024-2025,25,Lazio,it ITA,1. Serie A,4th,6.0,4,3,1,1,2,0,3,0.0,3,13,1,12,0,4,7,0,Tijjani Noslin,"FW,MF"
2015-2016,22,Lazio,it ITA,1. Serie A,8th,6.5,,,,,,,,,,,,,,,,,Patric,DF
2016-2017,23,Lazio,it ITA,1. Serie A,5th,11.3,,17,,,,,,,,,,,10,,,,Patric,DF
2017-2018,24,Lazio,it ITA,1. Serie A,5th,6.6,11,6,8,2,1,4,6,66.7,2,3,0,3,3,14,32,0,Patric,DF
2018-2019,25,Lazio,it ITA,1. Serie A,8th,12.1,19,11,8,8,3,8,15,53.3,7,14,7,7,12,31,29,1,Patric,DF
