Season,Age,Squad,Country,Comp,LgRank,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Player,Position
2019-2020,25,Napoli,it ITA,1. Serie A,7th,20,1481,74,43.3,16.5,17,83,11,3,22,14,2.00,24,17,+7,+0.43,+0.24,21.3,15.7,+5.6,+0.34,-0.18,Elseid Hysaj,DF
2020-2021,26,Napoli,it ITA,1. Serie A,5th,24,1768,74,51.7,19.6,20,84,13,4,23,8,2.21,48,18,+30,+1.53,+0.71,32.4,21.7,+10.7,+0.54,-0.24,Elseid Hysaj,DF
2021-2022,27,Lazio,it ITA,1. Serie A,5th,29,2027,70,59.3,22.5,24,81,15,5,15,7,1.48,42,40,+2,+0.09,-1.01,29.8,32.9,-3.0,-0.13,-0.82,Elseid Hysaj,DF
2022-2023,28,Lazio,it ITA,1. Serie A,2nd,34,1998,59,58.4,22.2,22,82,14,12,16,3,2.09,38,17,+21,+0.95,+0.38,31.4,22.9,+8.5,+0.38,+0.30,Elseid Hysaj,DF
2023-2024,29,Lazio,it ITA,1. Serie A,7th,22,1199,55,35.1,13.3,11,78,7,11,31,15,1.64,20,21,-1,-0.08,-0.52,15.6,17.7,-2.1,-0.16,-0.42,Elseid Hysaj,DF
2024-2025,30,Lazio,it ITA,1. Serie A,4th,2,10,5,0.6,0.1,0,,0,2,5,2,0.50,1,0,+1,+9.00,+8.74,0.7,0.3,+0.4,+3.55,+3.05,Elseid Hysaj,DF
2015-2016,18,Hajduk Split,hr CRO,1. 1. HNL,3rd,4,148,37,4.6,1.6,2,,1,2,,15,2.25,3,3,0,0.00,-0.52,,,,,,Toma Bašić,MF
2016-2017,19,Hajduk Split,hr CRO,1. 1. HNL,3rd,28,1604,57,49.5,17.8,17,,7,11,,6,1.75,32,19,+13,+0.73,-0.70,,,,,,Toma Bašić,MF
2017-2018,20,Hajduk Split,hr CRO,1. 1. HNL,3rd,27,1915,71,59.1,21.3,23,,13,4,,2,1.96,50,13,+37,+1.74,+2.08,,,,,,Toma Bašić,MF
2018-2019,21,Hajduk Split,hr CRO,1. 1. HNL,4th,1,90,90,2.8,1.0,1,90,1,0,,1,1.00,1,1,0,0.00,-0.57,,,,,,Toma Bašić,MF
2018-2019,21,Bordeaux,fr FRA,1. Ligue 1,14th,23,1333,58,39.0,14.8,16,75,6,7,19,8,0.78,11,18,-7,-0.47,-0.43,14.5,23.6,-9.1,-0.61,-0.41,Toma Bašić,MF
2019-2020,22,Bordeaux,fr FRA,1. Ligue 1,12th,15,991,66,39.3,11.0,11,83,6,4,19,6,1.53,14,14,0,0.00,-0.35,13.0,16.2,-3.2,-0.29,-0.09,Toma Bašić,MF
2020-2021,23,Bordeaux,fr FRA,1. Ligue 1,12th,34,2601,77,76.1,28.9,32,80,20,2,25,1,1.24,31,41,-10,-0.35,+0.09,34.2,41.3,-7.2,-0.25,+0.21,Toma Bašić,MF
2021-2022,24,Bordeaux,fr FRA,1. Ligue 1,20th,3,209,70,6.1,2.3,3,70,0,0,,0,0.67,3,3,0,0.00,+1.09,1.3,3.5,-2.3,-0.98,-0.43,Toma Bašić,MF
2021-2022,24,Lazio,it ITA,1. Serie A,5th,29,982,34,28.7,10.9,9,73,2,20,16,7,1.69,22,21,+1,+0.09,-0.57,15.2,15.0,+0.2,+0.02,-0.25,Toma Bašić,MF
2022-2023,25,Lazio,it ITA,1. Serie A,2nd,25,513,21,15.0,5.7,4,51,0,21,15,13,2.00,5,6,-1,-0.18,-1.14,7.8,5.2,+2.6,+0.45,+0.23,Toma Bašić,MF
2023-2024,26,Salernitana,it ITA,1. Serie A,20th,15,1162,77,34.0,12.9,14,83,9,1,4,0,0.20,6,23,-17,-1.32,-0.04,9.2,24.3,-15.1,-1.17,-0.01,Toma Bašić,MF
2023-2024,26,Lazio,it ITA,1. Serie A,7th,0,,,,,0,,0,0,,16,,,,,,,,,,,,Toma Bašić,MF
2024-2025,27,Lazio,it ITA,1. Serie A,4th,0,,,,,0,,0,0,,1,,,,,,,,,,,,Toma Bašić,MF
2013-2014,18,Crotone,it ITA,2. Serie B,6th,35,2496,71,66.0,27.7,27,,,8,,,,,,,,,,,,,,Danilo Cataldi,MF
2014-2015,19,Lazio,it ITA,1. Serie A,3rd,16,996,62,29.1,11.1,11,,7,5,,10,1.94,23,10,+13,+1.17,+0.43,,,,,,Danilo Cataldi,MF
2015-2016,20,Lazio,it ITA,1. Serie A,8th,20,1346,67,39.4,15.0,16,,8,4,,16,1.50,20,18,+2,+0.13,+0.22,,,,,,Danilo Cataldi,MF
2016-2017,21,Lazio,it ITA,1. Serie A,5th,11,662,60,19.4,7.4,5,,3,6,,6,1.92,16,8,+8,+1.09,+0.60,,,,,,Danilo Cataldi,MF
2016-2017,21,Genoa,it ITA,1. Serie A,16th,13,931,72,27.2,10.3,10,,8,3,,4,0.69,7,24,-17,-1.64,-1.32,,,,,,Danilo Cataldi,MF
2017-2018,22,Benevento,it ITA,1. Serie A,20th,29,2282,79,66.7,25.4,25,,20,4,,4,0.31,15,57,-42,-1.66,-0.94,21.4,50.0,-28.6,-1.13,-0.64,Danilo Cataldi,MF
2018-2019,23,Lazio,it ITA,1. Serie A,8th,12,578,48,16.9,6.4,4,87,3,8,29,26,1.67,12,12,0,0.00,-0.32,11.0,10.9,+0.1,+0.02,-0.41,Danilo Cataldi,MF
2019-2020,24,Lazio,it ITA,1. Serie A,4th,21,592,28,17.3,6.6,3,69,0,18,21,12,2.10,18,7,+11,+1.67,+0.84,12.7,13.7,-1.0,-0.15,-0.72,Danilo Cataldi,MF
2020-2021,25,Lazio,it ITA,1. Serie A,6th,19,568,30,16.6,6.3,4,66,0,15,20,14,1.53,7,14,-7,-1.11,-1.52,9.8,10.5,-0.7,-0.12,-0.48,Danilo Cataldi,MF
2021-2022,26,Lazio,it ITA,1. Serie A,5th,32,1707,53,49.9,19.0,19,73,1,13,24,2,1.69,40,29,+11,+0.58,+0.16,26.9,21.3,+5.6,+0.30,+0.19,Danilo Cataldi,MF
2022-2023,27,Lazio,it ITA,1. Serie A,2nd,29,1921,66,56.2,21.3,26,72,4,3,18,2,1.97,37,15,+22,+1.03,+0.55,30.1,22.4,+7.7,+0.36,+0.23,Danilo Cataldi,MF
2023-2024,28,Lazio,it ITA,1. Serie A,7th,28,1361,49,39.8,15.1,15,74,3,13,19,9,1.68,19,20,-1,-0.07,-0.55,18.7,18.8,0.0,0.00,-0.20,Danilo Cataldi,MF
2024-2025,29,Lazio,it ITA,1. Serie A,4th,0,,,,,0,,0,0,,2,,,,,,,,,,,,Danilo Cataldi,MF
2024-2025,29,Fiorentina,it ITA,1. Serie A,6th,13,884,68,54.6,9.8,12,73,3,1,12,0,1.50,19,13,+6,+0.61,-0.25,16.1,9.8,+6.2,+0.64,+0.54,Danilo Cataldi,MF
2017-2018,15,Atromitos,gr GRE,1. Super League,4th,1,15,15,0.6,0.2,0,,0,1,,0,3.00,0,0,0,0.00,-0.74,,,,,,Christos Mandas,GK
2018-2019,16,Atromitos,gr GRE,1. Super League,4th,1,90,90,3.3,1.0,1,90,1,0,,6,3.00,2,0,+2,+2.00,+1.62,,,,,,Christos Mandas,GK
2019-2020,17,Atromitos,gr GRE,1. Super League,8th,12,1080,90,36.4,12.0,12,90,12,0,,20,1.50,19,14,+5,+0.42,+0.75,,,,,,Christos Mandas,GK
2020-2021,18,Atromitos,gr GRE,1. Super League,8th,14,1182,84,39.8,13.1,12,88,11,2,61,15,1.07,11,13,-2,-0.15,+0.25,,,,,,Christos Mandas,GK
2021-2022,19,Atromitos,gr GRE,1. Super League,12th,0,,,,,0,,0,0,,10,,,,,,,,,,,,Christos Mandas,GK
2021-2022,19,OFI Crete,gr GRE,1. Super League,8th,1,90,90,3.0,1.0,1,90,1,0,,2,0.00,0,5,-5,-5.00,-5.00,,,,,,Christos Mandas,GK
2022-2023,20,OFI Crete,gr GRE,1. Super League,6th,26,2340,90,78.8,26.0,26,90,26,0,,7,1.31,31,31,0,0.00,+0.57,,,,,,Christos Mandas,GK
2023-2024,21,OFI Crete,gr GRE,1. Super League,10th,2,180,90,6.1,2.0,2,90,2,0,,0,1.50,3,5,-2,-1.00,-0.61,,,,,,Christos Mandas,GK
2023-2024,21,Lazio,it ITA,1. Serie A,7th,9,721,80,21.1,8.0,8,90,8,1,1,26,2.11,14,6,+8,+1.00,+0.93,11.5,8.0,+3.5,+0.44,+0.41,Christos Mandas,GK
2024-2025,22,Lazio,it ITA,1. Serie A,4th,0,,,,,0,,0,0,,18,,,,,,,,,,,,Christos Mandas,GK
