Season,Age,Squad,Country,Comp,LgRank,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Player,Position
2024-2025,27,Lazio,it ITA,1. Serie A,4th,10.0,325,3,34,171,124,32,325,19,8,42.1,9,47.4,182,981,319,9,5,4,15,13,258,43,Boulaye Dia,"MF,FW"
2016-2017,22,SPAL,it ITA,2. Serie B,1st,37.0,,,,,,,,,,,,,,,,,,,,,,,Manuel Lazzari,DF
2017-2018,23,SPAL,it ITA,1. Serie A,17th,34.6,1914,92,475,779,695,42,1914,158,89,56.3,69,43.7,1085,10904,6338,212,143,27,48,56,1216,239,Manuel Lazzari,DF
2018-2019,24,SPAL,it ITA,1. Serie A,13th,31.5,1812,64,351,721,776,65,1812,118,64,54.2,54,45.8,1201,10569,6455,239,140,42,60,42,1260,234,Manuel Lazzari,DF
2019-2020,25,Lazio,it ITA,1. Serie A,4th,28.3,1272,42,279,407,599,84,1272,62,32,51.6,30,48.4,790,5909,3870,140,85,40,39,17,853,267,Manuel Lazzari,DF
2020-2021,26,Lazio,it ITA,1. Serie A,6th,29.0,1398,43,295,546,576,65,1398,58,31,53.4,27,46.6,810,6712,4060,130,80,29,41,22,890,202,Manuel Lazzari,DF
2021-2022,27,Lazio,it ITA,1. Serie A,5th,18.5,1179,35,283,571,345,38,1179,58,29,50.0,29,50.0,693,4764,2960,80,64,15,24,6,775,107,Manuel Lazzari,DF
2022-2023,28,Lazio,it ITA,1. Serie A,2nd,20.9,1380,52,433,657,310,27,1380,41,18,43.9,18,43.9,789,5925,3933,98,62,15,25,3,921,74,Manuel Lazzari,DF
2023-2024,29,Lazio,it ITA,1. Serie A,7th,18.6,1138,30,325,541,283,18,1138,24,11,45.8,10,41.7,609,4072,2553,73,53,6,19,5,727,104,Manuel Lazzari,DF
2024-2025,30,Lazio,it ITA,1. Serie A,4th,9.9,621,13,105,285,238,8,621,14,7,50.0,5,35.7,366,2356,1397,48,42,2,20,2,407,74,Manuel Lazzari,DF
2013-2014,20,Voždovac,rs SRB,1. SuperLiga,7th,23.5,,,,,,,,,,,,,,,,,,,,,,,Adam Marušić,DF
2014-2015,21,Kortrijk,be BEL,1. Pro League,6th,26.5,,,,,,,,,,,,,,,,,,,,,,,Adam Marušić,DF
2015-2016,22,Kortrijk,be BEL,1. Pro League,7th,31.5,,,,,,,,,,,,,,,,,,,,,,,Adam Marušić,DF
2016-2017,23,Oostende,be BEL,1. First Division A,4th,33.3,,,,,,,,,,,,,,,,,,,,,,,Adam Marušić,DF
2017-2018,24,Lazio,it ITA,1. Serie A,5th,28.0,1442,36,362,504,593,100,1442,63,29,46.0,34,54.0,785,4521,2648,104,49,39,20,26,843,229,Adam Marušić,DF
2018-2019,25,Lazio,it ITA,1. Serie A,8th,23.5,1204,43,270,500,443,47,1204,49,22,44.9,27,55.1,625,3579,2061,67,52,12,24,21,706,141,Adam Marušić,DF
2019-2020,26,Lazio,it ITA,1. Serie A,4th,10.5,487,26,144,170,175,25,487,16,8,50.0,8,50.0,237,1281,589,11,16,5,3,6,279,64,Adam Marušić,DF
2020-2021,27,Lazio,it ITA,1. Serie A,6th,33.0,1865,92,546,854,482,59,1865,51,24,47.1,27,52.9,1021,6096,3045,53,40,11,25,20,1186,201,Adam Marušić,DF
2021-2022,28,Lazio,it ITA,1. Serie A,5th,30.2,2120,116,737,1064,333,15,2120,25,14,56.0,11,44.0,1173,4684,2290,52,27,6,19,16,1385,73,Adam Marušić,DF
2022-2023,29,Lazio,it ITA,1. Serie A,2nd,30.7,2049,100,795,1005,260,17,2049,15,10,66.7,3,20.0,1065,4702,2669,38,39,4,13,13,1334,43,Adam Marušić,DF
2023-2024,30,Lazio,it ITA,1. Serie A,7th,34.4,2103,102,695,1028,391,22,2103,32,14,43.8,14,43.8,979,4378,2368,35,31,3,24,5,1334,108,Adam Marušić,DF
2024-2025,31,Lazio,it ITA,1. Serie A,4th,10.4,637,30,189,318,137,5,637,8,6,75.0,2,25.0,276,948,432,6,6,0,3,7,411,38,Adam Marušić,DF
2021-2022,22,Fortuna Sittard,nl NED,1. Eredivisie,15th,9.1,322,9,47,133,153,36,322,32,13,40.6,19,59.4,183,1120,575,18,16,5,39,8,205,64,Tijjani Noslin,"FW,MF"
2022-2023,23,Fortuna Sittard,nl NED,1. Eredivisie,13th,17.9,771,48,203,305,289,70,771,69,36,52.2,27,39.1,439,2785,1469,51,32,18,57,30,461,109,Tijjani Noslin,"FW,MF"
