Season,Age,Squad,Country,Comp,LgRank,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Player,Position
2017-2018,24,Lazio,it ITA,1. Serie A,5th,6.6,358,334,21,4,0,3,12,17,0,0,0,0,308,3,3,Patric,DF
2018-2019,25,Lazio,it ITA,1. Serie A,8th,12.1,722,666,53,13,2,5,31,39,1,0,1,0,578,3,17,Patric,DF
2019-2020,26,Lazio,it ITA,1. Serie A,4th,18.6,1227,1184,42,22,2,8,11,20,0,0,0,0,1081,1,9,Patric,DF
2020-2021,27,Lazio,it ITA,1. Serie A,6th,17.7,1229,1167,60,32,1,8,30,26,0,0,0,0,1054,2,9,Patric,DF
2021-2022,28,Lazio,it ITA,1. Serie A,5th,18.3,1452,1402,50,37,1,14,1,11,0,0,0,0,1353,0,1,Patric,DF
2022-2023,29,Lazio,it ITA,1. Serie A,2nd,15.7,1063,979,82,43,0,18,0,0,0,0,0,0,947,2,1,Patric,DF
2023-2024,30,Lazio,it ITA,1. Serie A,7th,17.9,1199,1143,51,34,2,11,11,16,0,0,0,0,1051,5,4,Patric,DF
2024-2025,31,Lazio,it ITA,1. Serie A,4th,6.5,394,379,12,11,0,4,2,0,0,0,0,0,349,3,0,Patric,DF
2019-2020,18,Manchester City,eng ENG,Jr. PL2 — Div. 1,9th,9.6,,,,,,,,,,,,,,,,Fisayo Dele-Bashiru,MF
2020-2021,19,Sheffield Weds,eng ENG,2. Championship,24th,3.2,57,56,1,0,0,0,4,1,0,0,0,0,42,0,3,Fisayo Dele-Bashiru,MF
2021-2022,20,Sheffield Weds,eng ENG,3. League One,4th,15.7,,,,,,,10,,,,,,,,,Fisayo Dele-Bashiru,MF
2022-2023,21,Sheffield Weds,eng ENG,3. League One,3rd,15.5,,,,,,,15,,,,,,,,,Fisayo Dele-Bashiru,MF
2023-2024,22,Hatayspor,tr TUR,1. Süper Lig,15th,33.7,,,,,,,27,,,,,,,,,Fisayo Dele-Bashiru,MF
